-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  38.196   Longitude -120.6805 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 479.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.23,8.92,9.01,13.11,17.29,25.02,26.09,25.73,22.62,14.16,11.46,8.47,15.96
T2M,1982,4.36,8.36,7.54,10.51,16.31,19.19,24.33,24.83,20.41,15.1,8.73,6.29,13.87
T2M,1983,7.74,8.02,8.47,9.43,15.02,19.55,22.68,24.98,22.78,17.25,9.21,7.15,14.4
T2M,1984,7.94,7.85,10.4,11.15,19.12,21.79,27.73,25.58,24.58,13.86,8.61,5.81,15.4
T2M,1985,6.41,8.03,7.55,15.27,16.54,24.69,27.42,23.8,18.63,15.92,8.27,8.22,15.1
T2M,1986,10.26,8.8,11.61,11.64,16.38,22.38,24.85,25.88,17.98,16.27,13.23,8.8,15.73
T2M,1987,6.27,8.33,9.24,15.87,19.21,23.73,22.68,25.16,22.69,19.44,10.44,5.67,15.76
T2M,1988,7.17,10.59,11.88,14.04,16.18,22.27,27.92,25.62,23.12,18.99,10.12,6.67,16.23
T2M,1989,6.05,6.12,10.04,14.94,16.65,22.34,25.48,23.4,20.19,15.31,12.0,9.66,15.23
T2M,1990,7.27,6.23,10.58,15.12,16.35,21.1,26.24,24.62,22.02,18.51,12.01,5.44,15.51
T2M,1991,7.76,11.96,6.82,11.17,14.62,20.07,25.99,23.42,23.86,19.66,11.83,8.46,15.48
T2M,1992,7.65,9.53,10.57,14.83,20.98,22.15,24.49,26.37,22.79,18.66,11.35,5.58,16.26
T2M,1993,6.23,7.12,11.8,11.95,16.48,20.7,24.12,24.45,22.57,17.87,11.15,7.62,15.23
T2M,1994,9.01,6.8,11.62,13.43,16.6,22.68,26.1,25.67,21.99,15.98,6.93,6.69,15.35
T2M,1995,7.52,11.05,8.94,11.05,13.93,18.71,24.28,25.68,22.65,19.21,15.33,8.93,15.63
T2M,1996,7.87,9.31,10.66,13.56,16.8,22.07,27.69,26.9,21.4,16.26,11.29,8.31,16.04
T2M,1997,7.38,8.23,11.87,13.52,20.97,22.1,25.59,25.12,23.28,16.22,12.25,6.88,16.16
T2M,1998,7.8,6.37,9.78,10.65,11.83,17.81,24.76,27.1,22.33,15.61,9.51,6.14,14.19
T2M,1999,7.8,6.89,8.18,10.92,15.73,20.57,24.18,23.46,23.54,19.65,12.48,8.6,15.22
T2M,2000,8.1,8.49,9.82,13.61,17.33,23.63,23.86,25.42,21.84,15.41,8.58,9.26,15.47
T2M,2001,6.61,6.6,11.58,10.91,21.9,24.15,25.28,25.29,22.9,19.06,11.92,6.48,16.12
T2M,2002,5.83,9.33,9.33,13.24,16.65,22.62,26.73,24.61,23.18,16.72,12.49,7.48,15.71
T2M,2003,10.8,8.15,10.76,9.83,16.79,22.61,28.24,24.92,24.25,20.07,9.44,7.31,16.15
T2M,2004,6.85,7.19,13.81,14.78,18.03,22.78,25.93,25.15,22.45,15.7,9.63,8.02,15.89
T2M,2005,7.21,9.41,10.56,11.5,16.48,19.58,27.92,26.62,20.56,17.05,13.19,8.88,15.8
T2M,2006,7.22,8.96,6.23,11.37,17.45,23.26,28.65,24.4,22.48,15.89,11.01,7.56,15.4
T2M,2007,6.11,8.48,12.44,13.4,18.09,22.62,25.8,25.51,20.46,15.5,12.91,5.53,15.61
T2M,2008,5.5,7.57,10.01,12.51,17.76,23.44,26.09,26.03,23.45,18.06,12.89,5.98,15.8
T2M,2009,8.9,7.57,9.29,12.45,19.46,20.67,26.35,24.92,24.17,15.04,10.98,6.04,15.53
T2M,2010,7.75,8.01,9.24,10.02,13.38,20.94,25.12,23.49,22.66,17.08,9.5,7.69,14.62
T2M,2011,7.51,6.05,8.51,11.3,13.3,19.18,24.25,25.0,24.48,17.15,9.96,7.51,14.57
T2M,2012,9.2,8.56,9.33,12.94,17.68,21.6,25.32,26.9,23.59,17.58,12.05,6.29,15.94
