-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  39.1041   Longitude -122.2654 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 410.56 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,7.61,7.76,8.76,12.63,16.99,24.26,26.27,26.16,22.35,13.76,10.37,7.89,15.44
T2M,1982,3.66,7.4,7.2,9.72,16.49,19.75,24.67,25.01,20.28,14.87,7.82,5.7,13.59
T2M,1983,6.49,7.7,8.34,9.01,15.0,19.45,22.3,24.43,22.12,17.21,8.7,7.05,14.03
T2M,1984,6.36,6.82,9.72,10.39,17.37,21.64,27.72,24.99,23.33,13.37,8.15,4.39,14.55
T2M,1985,5.29,7.41,7.33,13.95,16.06,24.94,27.38,23.65,18.0,15.51,7.54,5.69,14.44
T2M,1986,8.3,8.99,11.31,11.43,15.55,22.21,25.03,25.73,17.94,15.73,11.76,7.09,15.13
T2M,1987,5.31,7.41,8.3,14.3,19.18,23.91,23.52,25.76,23.09,19.08,9.96,5.19,15.46
T2M,1988,5.77,8.35,10.15,12.6,15.26,21.76,28.93,25.98,23.07,19.03,9.62,5.9,15.56
T2M,1989,5.11,4.73,8.98,13.56,16.33,22.0,25.24,23.5,19.69,14.47,10.44,7.97,14.39
T2M,1990,6.34,5.67,10.05,15.2,16.1,20.36,26.55,25.04,21.76,17.57,10.61,4.22,15.01
T2M,1991,6.88,10.63,6.89,10.44,14.47,20.12,26.48,23.43,23.94,19.36,11.84,6.92,15.14
T2M,1992,6.16,8.66,10.44,13.24,20.02,21.51,24.63,26.79,22.29,17.62,10.09,5.33,15.59
T2M,1993,4.68,6.3,11.06,11.13,14.37,19.48,24.32,24.44,22.48,16.9,9.73,5.9,14.28
T2M,1994,7.14,5.98,10.43,12.62,16.89,21.98,26.66,25.19,22.18,15.75,6.14,4.77,14.7
T2M,1995,7.26,9.98,8.26,10.51,14.48,18.58,23.66,25.08,22.55,18.4,13.95,8.01,15.08
T2M,1996,7.29,8.52,10.04,12.11,15.44,21.85,27.87,27.15,21.39,16.38,10.62,8.09,15.59
T2M,1997,6.55,7.65,10.73,12.34,19.98,22.0,26.24,24.04,21.88,14.89,10.96,5.58,15.28
T2M,1998,7.63,6.47,9.12,10.42,11.56,17.79,24.73,26.98,23.16,15.12,8.91,5.01,13.96
T2M,1999,6.45,6.05,7.08,10.64,15.62,20.99,24.21,23.94,23.83,18.23,10.91,7.16,14.64
T2M,2000,6.7,8.06,9.54,12.88,16.12,23.08,24.48,25.46,21.39,15.58,8.13,7.21,14.9
T2M,2001,5.44,6.07,11.28,10.58,20.92,23.23,25.53,25.26,22.84,18.62,10.56,6.42,15.62
T2M,2002,5.13,7.86,8.67,12.3,16.05,22.78,26.9,25.37,23.04,16.93,11.03,7.37,15.33
T2M,2003,9.3,7.12,9.96,8.69,15.49,22.03,27.9,24.39,24.21,19.75,8.2,6.44,15.35
T2M,2004,6.05,7.02,12.9,13.16,17.12,22.75,26.01,25.35,22.83,15.87,9.37,7.31,15.51
T2M,2005,5.69,8.52,10.51,10.98,15.44,18.2,27.62,26.85,20.83,16.45,10.45,7.45,14.97
T2M,2006,6.37,7.68,5.86,10.88,16.89,22.46,27.86,24.69,22.54,15.68,10.04,6.08,14.79
T2M,2007,4.95,7.54,11.52,13.05,17.99,22.58,25.87,25.28,20.31,13.9,11.17,4.98,14.97
T2M,2008,4.48,7.12,8.83,10.9,17.61,23.07,26.54,26.07,23.12,16.8,11.33,5.32,15.12
T2M,2009,7.25,6.58,8.87,11.98,18.37,21.0,26.8,25.24,24.07,15.03,9.56,4.69,15.01
T2M,2010,6.54,8.08,8.44,9.4,12.33,20.33,25.62,23.9,22.6,16.31,9.01,7.03,14.17
T2M,2011,6.07,5.87,7.83,10.26,12.69,18.85,23.87,25.14,24.8,16.14,8.3,6.44,13.9
T2M,2012,6.94,7.51,7.91,11.75,17.04,21.21,24.94,26.63,23.85,17.34,10.96,5.79,15.18
T2M,2013,4.31,6.91,10.62,14.19,18.15,23.39,27.05,24.52,20.95,16.12,11.58,5.93,15.36
T2M,2014,9.55,8.83,11.16,13.7,18.46,24.05,27.08,24.98,22.52,18.08,11.27,8.4,16.56
T2M,2015,8.21,10.73,12.5,13.19,16.83,25.18,25.94,24.56,22.77,20.12,8.94,6.26,16.3
T2M,2016,6.82,9.83,10.37,13.36,17.09,23.1,26.47,25.73,22.76,15.08,10.66,5.45,15.57
T2M,2017,5.01,7.84,10.65,11.16,17.06,23.24,27.93,27.9,23.08,17.42,10.1,7.44,15.79
T2M,2018,7.94,8.24,8.77,12.41,17.75,23.3,28.8,24.75,22.08,17.13,12.05,6.87,15.89
T2M,2019,7.83,5.09,8.55,14.12,14.68,22.7,25.9,26.67,22.05,16.08,12.77,7.19,15.36
T2M,2020,7.05,9.24,8.99,14.3,17.98,23.93,26.85,27.51,24.37,20.37,10.23,7.47,16.55
QV2M,1981,5.55,5.49,5.62,6.47,6.41,5.49,4.39,4.88,5.25,5.62,6.47,6.16,5.62
QV2M,1982,4.46,5.62,5.43,5.98,7.75,7.45,5.8,5.19,5.31,5.37,5.07,5.13,5.74
QV2M,1983,5.37,6.1,6.41,5.86,8.06,7.87,6.47,6.71,6.1,5.86,6.16,6.16,6.41
QV2M,1984,5.31,5.31,5.98,5.8,6.53,5.74,4.94,5.43,4.88,5.8,5.86,4.7,5.49
QV2M,1985,4.52,5.07,5.0,6.77,5.55,5.49,5.13,4.58,6.16,4.94,4.46,4.88,5.19
QV2M,1986,5.98,6.59,7.14,6.41,7.2,6.53,5.31,4.88,5.68,5.43,4.33,4.46,5.8
QV2M,1987,4.46,5.07,5.49,6.29,6.9,4.94,5.68,4.88,4.7,5.25,5.62,5.07,5.37
QV2M,1988,5.19,5.43,5.31,5.92,5.86,6.71,5.74,5.43,3.91,4.94,5.98,4.58,5.43
QV2M,1989,4.52,4.27,6.29,7.26,6.96,6.77,5.07,5.55,5.74,5.86,5.07,4.39,5.68
QV2M,1990,5.0,4.82,5.92,6.71,6.04,6.96,6.65,6.29,5.74,4.46,4.15,3.17,5.49
QV2M,1991,4.03,5.37,5.43,5.86,6.41,6.47,6.71,6.47,5.19,4.46,5.19,4.39,5.49
QV2M,1992,4.88,6.29,6.59,7.26,8.24,7.57,6.71,5.31,5.19,6.35,5.0,4.88,6.16
QV2M,1993,4.94,5.49,7.02,6.47,7.81,7.51,6.29,5.62,4.64,6.16,3.72,4.94,5.86
QV2M,1994,5.13,4.94,5.92,6.35,7.32,5.37,5.31,4.88,5.68,5.0,4.46,4.88,5.43
QV2M,1995,6.35,6.65,5.98,6.41,8.18,8.24,7.75,5.07,5.86,4.27,5.86,6.1,6.41
QV2M,1996,5.62,6.65,6.16,6.77,7.51,7.32,6.23,5.0,4.94,5.13,5.8,6.16,6.1
QV2M,1997,5.55,5.37,6.23,6.41,7.14,6.65,5.98,6.77,6.04,5.68,6.35,4.82,6.1
QV2M,1998,6.53,5.74,6.1,6.41,6.96,9.28,8.79,5.49,6.71,4.58,5.98,4.58,6.41
QV2M,1999,5.0,5.19,5.31,5.98,6.84,6.41,5.07,6.41,4.58,4.21,6.35,4.52,5.49
QV2M,2000,5.55,6.35,5.98,7.02,7.51,7.02,5.8,5.68,6.1,5.68,4.82,4.7,5.98
QV2M,2001,4.39,5.07,6.84,5.92,6.65,5.25,6.23,6.41,6.1,5.31,6.23,5.68,5.86
QV2M,2002,4.94,5.74,5.43,6.96,6.71,6.59,6.1,5.62,4.82,4.21,5.19,5.86,5.68
QV2M,2003,6.84,5.25,6.41,5.92,8.12,8.18,6.47,6.65,5.31,4.82,5.19,5.74,6.23
QV2M,2004,5.43,5.62,7.14,6.84,7.14,6.65,6.96,6.71,5.0,5.86,5.25,5.49,6.16
QV2M,2005,5.37,6.23,6.47,6.23,8.48,7.93,8.0,5.68,5.13,5.37,5.62,5.98,6.35
QV2M,2006,5.62,5.55,5.31,7.08,8.79,9.09,7.02,5.86,4.88,4.64,6.23,4.7,6.23
QV2M,2007,4.21,5.74,6.53,6.29,6.41,5.74,7.14,6.41,6.16,6.04,5.0,4.46,5.86
QV2M,2008,4.88,5.37,5.43,5.49,6.53,5.0,6.1,6.53,4.88,4.94,6.29,4.39,5.49
QV2M,2009,4.64,5.25,5.68,5.98,7.32,6.9,5.62,5.74,5.43,5.92,5.0,4.52,5.68
QV2M,2010,5.8,6.23,5.55,5.8,6.53,8.18,7.02,6.16,5.49,6.1,5.62,5.98,6.23
QV2M,2011,5.25,4.7,6.04,6.16,6.65,8.36,7.69,5.8,5.37,6.9,4.88,3.66,5.92
QV2M,2012,4.58,4.94,5.37,6.77,6.71,6.23,6.04,5.13,4.39,5.86,6.41,5.25,5.62
QV2M,2013,4.58,4.88,6.16,6.41,6.04,6.41,6.1,6.65,6.53,3.72,4.46,3.48,5.43
QV2M,2014,3.85,5.74,6.29,6.71,5.98,5.31,6.04,6.41,6.65,6.35,6.1,6.71,6.04
QV2M,2015,5.8,6.65,6.77,6.16,6.65,6.04,6.65,6.53,5.13,6.16,5.0,5.37,6.1
QV2M,2016,5.92,6.16,6.71,7.08,7.69,6.23,5.25,4.94,4.94,6.77,6.77,4.94,6.1
