-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  37.8534   Longitude -121.9018 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 105.1 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.69,10.2,10.66,13.81,17.25,22.83,21.32,21.18,19.65,14.62,12.62,9.75,15.32
T2M,1982,5.31,9.24,9.23,11.29,15.7,17.18,20.34,20.83,19.37,15.49,9.91,7.39,13.47
T2M,1983,7.98,10.27,10.61,10.95,14.39,17.92,19.93,21.42,21.14,17.65,11.13,9.51,14.44
T2M,1984,7.5,8.85,11.49,12.4,18.19,19.89,22.98,21.43,22.58,14.7,10.38,6.84,14.79
T2M,1985,6.55,8.87,9.36,14.85,15.71,21.64,22.64,20.3,18.21,15.78,9.33,6.82,14.19
T2M,1986,10.56,10.92,12.67,12.32,15.63,19.38,21.25,21.07,17.12,16.08,13.09,8.73,14.93
T2M,1987,6.97,9.65,10.71,15.37,18.37,19.95,19.62,21.17,20.23,18.74,11.58,7.59,15.02
T2M,1988,8.01,9.91,12.1,14.15,15.66,19.98,23.21,21.18,20.05,17.15,11.65,8.01,15.1
T2M,1989,6.51,7.23,11.52,15.14,16.52,19.98,21.01,20.3,18.47,15.14,11.33,8.73,14.37
T2M,1990,8.27,7.44,11.56,15.58,16.26,19.5,21.79,21.65,20.34,17.49,11.94,5.59,14.82
T2M,1991,8.09,12.08,9.33,12.23,15.23,18.37,21.33,19.97,20.28,18.55,12.22,8.26,14.67
T2M,1992,7.69,11.04,12.21,15.15,19.49,19.74,21.64,21.88,20.37,18.17,12.04,7.26,15.57
T2M,1993,7.25,8.8,12.44,12.73,16.18,19.96,21.33,21.69,20.12,17.36,11.19,7.6,14.76
T2M,1994,8.55,8.48,12.05,13.8,16.19,19.7,20.36,20.97,20.08,16.3,8.51,7.19,14.38
T2M,1995,9.91,10.98,10.3,11.81,14.62,17.98,21.13,21.51,19.77,18.04,14.57,10.3,15.1
T2M,1996,9.3,10.82,11.49,13.9,16.58,19.52,22.49,21.9,19.26,16.31,11.86,9.98,15.3
T2M,1997,8.84,9.22,11.88,14.04,19.57,20.1,21.48,21.5,21.76,16.3,13.29,7.19,15.46
T2M,1998,9.8,9.01,10.91,11.67,12.92,16.94,20.27,22.36,20.23,15.65,10.85,6.23,13.93
T2M,1999,7.99,8.44,9.22,12.34,14.82,18.32,19.65,20.44,20.1,17.68,12.8,8.72,14.23
T2M,2000,9.29,10.23,10.68,13.8,16.71,20.02,19.55,20.65,20.48,15.38,9.78,8.37,14.58
T2M,2001,7.01,8.39,12.55,12.01,19.56,20.69,20.12,20.19,19.18,17.55,13.08,8.73,14.96
T2M,2002,6.97,9.54,10.44,13.42,15.51,19.06,20.63,20.36,20.38,16.3,12.52,9.82,14.6
T2M,2003,10.54,9.09,11.96,11.12,16.1,19.55,21.87,21.27,21.01,18.23,10.48,9.22,15.08
T2M,2004,8.09,9.3,13.83,14.87,16.74,19.47,20.76,21.44,20.93,15.81,10.74,8.74,15.08
T2M,2005,7.4,10.4,12.2,12.46,16.51,18.08,22.26,21.24,18.15,16.15,12.62,9.75,14.8
T2M,2006,8.34,9.37,8.58,12.14,16.15,19.78,22.73,19.95,19.4,15.7,11.67,7.64,14.31
T2M,2007,6.05,9.73,12.78,13.68,16.18,18.99,20.91,21.03,18.93,15.01,11.9,6.94,14.37
T2M,2008,6.8,8.6,10.59,12.9,16.55,20.06,20.56,21.25,20.35,17.04,12.71,6.83,14.53
T2M,2009,7.85,9.23,10.7,13.44,17.06,18.49,20.33,20.82,21.29,15.35,10.94,6.75,14.37
T2M,2010,8.4,9.94,10.15,11.15,13.72,18.55,19.25,18.98,20.53,16.7,10.73,9.32,13.97
T2M,2011,7.31,7.78,10.12,11.71,13.49,17.26,19.58,19.3,20.68,16.88,10.42,7.37,13.52
T2M,2012,8.57,9.84,10.55,13.6,16.14,18.94,19.71,20.19,18.55,17.19,12.67,8.12,14.51
T2M,2013,5.78,8.51,12.01,15.18,17.49,20.26,20.54,20.19,19.63,15.9,12.73,6.81,14.61
T2M,2014,10.04,10.84,13.32,14.59,18.04,19.91,21.9,20.98,20.5,19.04,13.12,10.62,16.11
T2M,2015,8.86,12.11,13.94,14.0,14.66,19.58,21.48,21.37,20.98,19.33,10.67,8.16,15.44
T2M,2016,9.29,11.23,12.15,14.02,15.97,19.28,20.12,19.36,19.8,16.34,12.69,7.28,14.8
T2M,2017,7.15,10.22,12.02,12.83,15.34,18.38,20.45,20.94,21.8,17.69,12.65,8.24,14.83
T2M,2018,9.74,9.46,10.7,12.78,15.2,18.73,21.12,19.61,19.07,17.29,13.2,8.59,14.65
T2M,2019,9.79,7.62,10.74,14.12,13.76,18.69,19.63,21.8,20.68,16.9,12.87,9.31,14.69
T2M,2020,8.65,10.51,10.62,14.23,17.94,20.37,20.34,22.65,21.73,19.63,11.52,8.88,15.6
QV2M,1981,5.49,5.8,6.1,6.47,6.71,6.53,6.65,7.32,7.14,6.29,6.96,6.47,6.53
QV2M,1982,4.88,6.23,6.04,6.65,7.93,7.63,7.57,7.45,6.9,6.59,5.49,5.49,6.59
QV2M,1983,5.74,6.65,7.02,6.53,8.0,8.42,7.87,8.42,7.93,7.32,6.65,6.71,7.26
QV2M,1984,5.74,5.86,6.53,5.86,6.65,6.47,6.96,7.63,6.41,6.77,6.23,5.13,6.35
QV2M,1985,4.76,5.43,5.43,6.84,6.23,6.96,6.9,7.02,7.14,5.86,5.0,5.13,6.04
QV2M,1986,6.41,7.14,7.69,6.77,7.32,7.39,7.2,7.45,7.14,6.47,4.7,4.64,6.71
QV2M,1987,4.7,5.31,5.98,6.35,7.26,6.29,7.26,7.2,7.02,6.9,6.1,5.19,6.29
QV2M,1988,5.49,5.68,5.55,6.16,6.29,7.26,7.57,7.63,6.1,6.77,6.53,4.76,6.29
QV2M,1989,4.7,4.82,6.77,7.26,7.02,7.02,7.02,7.39,7.51,6.77,5.62,4.7,6.41
QV2M,1990,5.37,5.0,6.29,6.84,6.65,7.51,7.87,8.12,7.87,5.74,4.64,3.54,6.29
QV2M,1991,4.58,5.92,5.86,6.1,6.29,6.77,7.87,8.3,7.87,6.35,5.74,4.7,6.35
QV2M,1992,5.13,6.84,7.32,7.57,8.12,7.93,8.12,7.75,7.26,7.57,5.37,5.07,7.02
QV2M,1993,5.62,6.1,7.69,7.08,7.93,7.81,7.39,7.63,6.84,6.84,4.46,5.19,6.71
QV2M,1994,5.37,5.31,6.41,6.53,7.26,6.41,7.26,7.45,7.87,6.35,4.94,5.19,6.35
QV2M,1995,6.84,7.2,6.59,7.02,7.87,7.93,8.54,7.26,7.87,5.98,6.9,6.59,7.2
QV2M,1996,6.23,7.39,6.9,7.45,7.63,7.63,7.63,7.39,6.96,6.29,6.41,6.59,7.02
QV2M,1997,6.41,5.98,6.84,6.71,8.0,7.57,8.0,8.61,7.93,6.59,6.96,5.0,7.08
QV2M,1998,6.96,6.41,6.84,7.02,7.45,8.73,8.79,7.87,8.3,5.98,6.59,4.76,7.14
QV2M,1999,5.43,5.74,5.74,6.04,6.47,6.84,6.96,8.0,7.02,6.29,6.71,4.76,6.35
QV2M,2000,6.23,6.71,6.35,7.02,7.63,7.93,7.57,7.69,7.45,7.14,5.43,5.19,6.84
QV2M,2001,4.64,5.43,7.14,5.98,6.96,6.59,7.63,8.18,7.81,6.77,6.84,6.04,6.65
QV2M,2002,5.43,6.16,5.98,6.84,6.77,7.32,7.93,7.45,7.02,6.1,5.86,6.35,6.59
QV2M,2003,7.26,5.74,6.77,6.23,7.32,7.75,8.0,8.67,7.57,6.41,5.74,6.04,6.96
QV2M,2004,5.86,5.98,7.51,6.59,7.14,7.51,8.36,8.54,6.84,6.96,5.68,5.68,6.9
QV2M,2005,5.74,6.71,7.26,6.59,8.24,7.81,8.54,8.0,7.14,6.9,5.8,6.47,7.14
QV2M,2006,6.1,5.98,5.8,7.39,8.24,8.79,8.48,8.06,7.2,6.04,6.96,4.82,7.02
QV2M,2007,4.33,6.23,6.59,6.29,6.53,7.08,8.73,8.42,7.63,6.9,5.68,4.82,6.59
QV2M,2008,5.31,5.92,5.98,5.68,6.59,6.1,8.12,8.18,7.02,5.92,6.9,4.94,6.41
QV2M,2009,4.88,5.8,6.23,6.1,7.45,7.69,7.63,8.06,8.06,7.02,5.68,5.13,6.65
QV2M,2010,6.16,6.77,6.23,6.41,6.59,8.0,7.75,7.69,7.2,7.2,5.98,6.41,6.84
QV2M,2011,5.68,5.13,6.65,6.65,6.59,8.0,8.24,8.18,7.87,7.81,5.68,4.03,6.71
QV2M,2012,5.0,5.25,5.74,6.9,6.65,6.84,7.63,7.57,7.39,7.26,6.84,5.86,6.59
QV2M,2013,4.88,5.43,6.41,6.47,6.53,7.63,7.93,8.73,8.24,5.25,5.37,3.97,6.41
QV2M,2014,4.64,6.47,6.65,6.9,6.77,7.2,8.42,8.91,9.16,7.39,6.84,7.32,7.2
QV2M,2015,6.35,7.51,7.51,6.41,6.96,8.24,8.85,8.85,7.26,8.24,5.68,5.74,7.26
QV2M,2016,6.53,7.02,7.57,7.69,8.18,7.69,7.51,7.87,7.26,7.75,7.63,5.68,7.39
QV2M,2017,5.8,7.08,7.51,7.51,8.3,8.79,7.93,8.61,8.12,5.49,7.14,4.58,7.26
QV2M,2018,6.77,5.49,6.41,7.26,7.63,7.75,8.18,8.0,7.39,7.08,4.76,5.8,6.9
QV2M,2019,6.41,5.68,6.71,8.36,7.93,8.73,8.54,8.79,8.24,4.76,5.43,6.53,7.2
QV2M,2020,6.41,5.98,6.16,7.02,7.39,7.45,7.63,8.3,8.12,5.92,5.37,5.19,6.77
WS2M,1981,1.91,1.79,2.25,2.52,3.24,3.68,3.59,3.43,2.98,2.21,1.98,1.9,2.62
WS2M,1982,2.21,1.85,2.19,2.48,2.73,3.34,3.43,3.39,2.62,2.0,1.91,2.21,2.54
