-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  36.9859   Longitude -119.2321 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1039.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,7.37,7.12,6.87,11.83,15.23,23.64,25.29,25.02,21.56,12.37,9.53,7.45,14.48
T2M,1982,2.73,6.98,5.14,8.94,15.13,17.93,23.0,24.02,18.73,13.14,6.83,4.63,12.3
T2M,1983,5.92,6.02,6.13,6.97,14.07,18.76,21.94,23.26,21.4,15.02,7.3,4.87,12.68
T2M,1984,6.8,6.64,9.16,9.64,18.48,20.17,26.25,24.46,22.37,11.77,6.73,3.48,13.86
T2M,1985,5.08,6.55,5.59,13.94,15.32,23.45,26.24,23.14,16.72,14.27,6.26,7.11,13.69
T2M,1986,8.87,6.38,9.69,10.04,15.43,21.94,23.4,25.14,15.87,14.37,11.43,7.45,14.23
T2M,1987,4.6,6.28,7.22,14.65,16.79,22.48,21.95,24.27,21.32,17.34,8.43,3.3,14.08
T2M,1988,5.44,9.23,10.09,11.84,14.8,20.96,26.77,24.59,21.55,18.18,8.3,4.83,14.73
T2M,1989,4.68,4.51,8.89,14.34,15.1,21.13,25.34,22.05,18.9,13.89,11.38,8.93,14.15
T2M,1990,5.77,4.52,9.37,13.18,14.46,20.51,25.34,23.05,20.31,16.89,10.74,4.08,14.08
T2M,1991,6.14,10.56,4.04,9.38,12.48,18.77,25.14,22.66,22.26,17.58,10.55,7.02,13.9
T2M,1992,6.59,7.26,8.35,13.82,19.27,20.44,22.8,25.23,21.4,16.56,9.48,3.53,14.58
T2M,1993,4.48,4.69,9.93,10.92,15.38,19.4,22.83,23.14,20.7,15.83,9.41,6.12,13.62
T2M,1994,7.78,4.88,10.19,11.65,14.94,22.18,25.82,25.37,20.38,13.58,4.81,5.31,13.97
T2M,1995,4.85,9.35,6.99,9.47,12.09,17.5,23.76,24.78,21.79,17.47,13.8,7.15,14.11
T2M,1996,6.61,7.3,8.74,12.24,15.65,21.59,26.88,26.05,20.02,14.48,9.5,6.18,14.63
T2M,1997,5.4,6.3,10.98,11.39,19.7,20.79,24.31,24.42,21.57,14.54,9.72,4.73,14.54
T2M,1998,5.8,3.62,7.48,8.29,9.87,16.56,24.45,26.17,19.9,13.56,8.06,5.33,12.49
T2M,1999,6.77,5.64,6.83,8.75,14.87,19.54,23.8,22.44,22.05,18.3,11.48,7.66,14.06
T2M,2000,6.24,6.12,8.13,12.55,16.74,23.05,23.67,24.45,20.27,13.73,6.87,8.64,14.23
T2M,2001,4.77,4.26,9.92,9.14,20.75,23.01,24.2,24.91,21.77,17.88,9.87,4.4,14.64
T2M,2002,4.88,8.21,7.58,12.03,15.85,22.42,26.77,23.83,21.55,14.76,10.69,5.02,14.49
T2M,2003,9.85,6.4,8.94,7.96,15.75,22.06,27.47,24.49,23.37,19.06,7.14,5.42,14.89
T2M,2004,5.11,4.69,12.64,12.9,16.77,22.09,25.41,24.24,20.62,13.51,7.64,6.62,14.39
T2M,2005,5.43,6.94,8.12,9.84,15.21,18.24,27.35,25.34,19.08,15.15,11.82,7.35,14.21
T2M,2006,5.08,7.08,3.81,9.55,16.65,22.76,27.74,23.72,21.18,14.17,10.21,6.53,14.08
T2M,2007,4.82,6.52,11.28,12.13,17.64,22.48,25.82,25.06,19.16,14.27,12.11,4.02,14.65
T2M,2008,3.43,5.75,8.5,11.1,15.87,22.51,26.05,25.73,22.15,16.43,11.53,4.76,14.51
