-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  39.6438   Longitude -122.4467 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 407.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,7.52,7.73,9.0,12.87,17.01,24.72,27.37,27.37,23.15,14.01,10.19,7.59,15.76
T2M,1982,3.44,7.29,7.21,9.88,17.22,21.19,25.69,26.0,20.88,15.19,7.67,5.46,13.98
T2M,1983,6.45,7.49,8.16,9.15,15.87,20.43,23.52,25.51,22.73,17.58,8.37,6.55,14.37
T2M,1984,6.61,6.77,9.87,10.65,17.73,22.4,28.86,25.94,23.51,13.39,7.8,4.37,14.86
T2M,1985,5.46,7.34,7.38,14.33,16.81,25.99,28.49,24.76,18.36,15.72,7.44,5.88,14.87
T2M,1986,8.15,8.75,11.5,11.76,16.23,23.71,26.05,26.8,18.42,15.8,11.61,6.94,15.52
T2M,1987,5.16,7.36,8.21,14.72,19.68,25.13,24.75,26.83,24.05,19.58,10.07,4.88,15.91
T2M,1988,5.65,8.55,10.2,13.19,15.73,22.52,29.84,27.15,23.69,19.63,9.3,5.58,15.95
T2M,1989,5.1,4.62,8.95,13.9,16.54,23.1,26.33,24.48,20.42,14.49,10.65,8.34,14.8
T2M,1990,6.3,5.68,10.25,15.55,16.55,21.05,27.71,25.9,22.58,17.75,10.69,4.0,15.39
T2M,1991,6.95,10.52,6.8,10.56,14.75,20.9,27.62,24.66,24.85,19.76,11.97,6.92,15.55
T2M,1992,6.32,8.58,10.43,13.54,20.73,22.66,25.65,27.76,23.0,17.93,10.01,5.01,16.0
T2M,1993,4.3,6.07,11.19,11.37,14.94,19.76,25.14,25.32,23.19,17.15,9.73,5.94,14.56
T2M,1994,7.26,5.87,10.73,13.16,17.64,22.89,28.09,26.09,22.93,16.19,5.99,4.6,15.19
T2M,1995,6.79,10.26,8.27,10.76,15.03,19.37,24.94,26.05,23.43,18.76,14.13,7.89,15.5
T2M,1996,7.09,8.39,10.27,12.37,15.97,22.88,29.12,28.11,21.92,16.68,10.68,7.69,15.96
T2M,1997,6.3,7.61,10.85,12.67,20.8,22.92,27.19,25.5,22.58,15.1,10.65,5.46,15.69
T2M,1998,6.98,5.89,9.16,10.72,11.88,18.4,25.92,27.79,23.93,15.44,8.62,4.84,14.19
T2M,1999,6.41,5.74,7.25,10.96,16.42,22.19,25.45,24.83,24.45,18.64,10.83,7.01,15.07
T2M,2000,6.4,7.76,9.65,13.45,16.64,24.4,25.63,26.65,21.91,15.81,8.15,7.19,15.33
T2M,2001,5.3,5.76,11.53,10.89,21.48,24.16,26.94,26.68,23.89,19.17,10.4,5.97,16.08
T2M,2002,5.11,8.05,8.65,12.96,17.08,24.34,28.65,26.59,23.96,17.55,11.19,7.04,15.98
T2M,2003,9.29,7.19,10.08,9.02,16.13,23.4,29.53,25.73,25.26,20.26,8.18,6.09,15.91
T2M,2004,5.81,6.88,13.08,13.58,18.22,24.43,27.71,26.68,23.44,16.23,9.46,7.29,16.1
T2M,2005,5.55,8.36,10.63,11.37,16.17,19.04,29.39,28.13,21.68,16.9,10.41,7.18,15.46
T2M,2006,6.08,7.69,5.51,11.06,17.83,24.02,29.4,26.08,23.29,16.2,9.93,5.89,15.29
T2M,2007,5.06,7.41,12.01,13.65,19.07,24.01,27.47,26.55,21.06,14.19,11.38,4.77,15.6
T2M,2008,4.24,7.15,9.01,11.4,18.55,24.19,27.94,27.42,24.14,17.02,11.62,5.3,15.69
T2M,2009,7.56,6.34,8.89,12.36,19.05,22.02,28.24,26.54,24.8,15.34,9.66,4.55,15.5
T2M,2010,6.31,7.7,8.62,9.76,12.84,21.45,27.75,25.3,23.26,16.87,8.92,6.69,14.66
T2M,2011,6.2,5.9,7.72,10.67,13.48,19.73,25.43,26.51,25.9,16.48,8.22,6.76,14.47
T2M,2012,7.12,7.48,7.94,12.24,17.87,22.52,26.58,28.13,25.19,17.88,10.96,5.38,15.8
T2M,2013,4.46,7.21,10.87,14.49,19.12,24.85,29.0,26.19,21.92,16.24,11.75,6.19,16.08
T2M,2014,9.87,8.76,11.11,14.05,19.26,25.55,29.44,26.56,23.94,18.25,11.11,8.14,17.23
T2M,2015,8.52,10.95,12.8,13.73,18.2,27.44,28.08,26.41,23.76,20.59,9.02,5.86,17.15
T2M,2016,6.41,9.89,10.38,13.91,18.04,24.39,28.12,27.62,23.75,15.31,10.48,5.25,16.14
T2M,2017,4.58,7.69,10.65,11.31,18.26,25.05,29.82,29.55,23.97,17.8,10.06,7.8,16.44
T2M,2018,7.91,8.28,8.83,13.11,19.27,24.9,30.83,26.19,23.24,17.8,12.19,6.76,16.65
T2M,2019,7.6,4.82,8.61,14.55,15.67,24.12,27.63,28.15,22.86,16.28,13.08,6.79,15.9
T2M,2020,6.76,9.39,9.23,15.04,19.04,25.08,28.69,28.58,25.1,20.76,10.47,7.44,17.15
QV2M,1981,5.37,5.37,5.55,6.59,6.59,5.43,4.03,4.39,4.88,5.49,6.35,5.92,5.49
QV2M,1982,4.33,5.49,5.31,5.86,7.57,7.39,5.55,4.88,5.0,5.19,4.88,5.0,5.55
QV2M,1983,5.31,5.92,6.29,5.8,8.3,7.75,5.98,6.35,6.04,5.74,5.92,5.8,6.29
QV2M,1984,5.25,5.13,5.86,5.74,6.47,5.49,4.64,5.07,4.76,5.49,5.62,4.58,5.31
QV2M,1985,4.52,4.94,4.88,6.77,5.43,5.19,4.76,4.15,6.1,4.82,4.27,4.76,5.07
QV2M,1986,5.86,6.41,6.96,6.41,7.14,6.41,4.94,4.33,5.37,5.49,4.39,4.39,5.68
QV2M,1987,4.27,5.0,5.43,6.35,6.77,4.7,5.13,4.39,4.15,4.94,5.43,4.94,5.13
QV2M,1988,5.07,5.37,5.31,5.98,5.86,6.71,5.55,5.0,3.66,4.58,5.74,4.52,5.25
QV2M,1989,4.46,4.15,6.16,7.26,7.08,6.77,4.7,5.13,5.49,5.74,5.0,4.27,5.49
QV2M,1990,4.88,4.64,5.8,6.9,5.92,6.96,6.41,5.86,5.31,4.27,4.09,3.11,5.31
QV2M,1991,3.97,5.25,5.25,5.8,6.35,6.16,6.35,5.86,4.58,4.21,5.13,4.33,5.25
QV2M,1992,4.76,6.16,6.53,7.2,8.18,7.39,6.47,4.88,4.82,6.04,4.94,4.7,5.98
QV2M,1993,4.76,5.31,6.9,6.41,7.75,7.51,5.92,5.25,4.27,5.92,3.48,4.76,5.68
QV2M,1994,4.94,4.76,5.74,6.23,7.45,5.07,4.88,4.39,5.19,4.64,4.27,4.7,5.19
QV2M,1995,6.1,6.53,5.86,6.35,8.18,8.3,7.39,4.7,5.31,4.03,5.49,5.86,6.16
QV2M,1996,5.37,6.47,6.1,6.65,7.32,7.02,5.86,4.64,4.64,4.88,5.62,5.92,5.86
QV2M,1997,5.31,5.25,6.1,6.23,7.02,6.29,5.68,6.23,5.8,5.49,6.16,4.76,5.86
QV2M,1998,6.16,5.49,5.98,6.41,7.02,9.58,8.79,5.07,6.47,4.33,5.68,4.46,6.29
QV2M,1999,4.88,5.0,5.25,5.92,6.77,6.1,4.64,6.04,4.15,3.91,6.1,4.52,5.25
QV2M,2000,5.31,6.1,5.92,7.08,7.51,6.65,5.37,5.37,5.92,5.49,4.64,4.52,5.8
QV2M,2001,4.21,4.88,6.77,5.98,6.71,5.0,5.86,5.92,5.68,4.94,5.92,5.43,5.62
QV2M,2002,4.82,5.55,5.31,7.02,6.59,6.1,5.49,5.13,4.39,3.78,4.94,5.55,5.37
QV2M,2003,6.59,5.19,6.23,5.86,8.18,8.06,5.98,6.35,4.76,4.46,5.07,5.49,6.04
QV2M,2004,5.19,5.49,7.08,6.77,6.96,6.23,6.35,6.1,4.7,5.62,5.19,5.37,5.92
QV2M,2005,5.13,5.98,6.29,6.29,8.61,7.81,7.51,5.25,4.64,5.0,5.37,5.8,6.16
QV2M,2006,5.37,5.43,5.13,7.08,8.91,8.91,6.41,5.25,4.46,4.39,5.92,4.52,5.98
QV2M,2007,4.03,5.49,6.47,6.16,6.29,5.25,6.53,5.8,5.68,5.8,4.82,4.27,5.55
QV2M,2008,4.64,5.19,5.31,5.37,6.41,4.7,5.68,6.16,4.39,4.82,6.1,4.15,5.25
QV2M,2009,4.64,5.07,5.55,5.86,7.26,6.84,5.19,5.25,5.0,5.68,4.82,4.27,5.43
QV2M,2010,5.55,5.92,5.49,5.74,6.41,8.0,6.41,5.55,5.31,5.8,5.49,5.8,5.98
QV2M,2011,5.07,4.58,5.86,6.1,6.59,8.36,7.39,5.13,5.0,6.77,4.64,3.54,5.74
QV2M,2012,4.39,4.82,5.25,6.77,6.65,5.86,5.55,4.52,3.91,5.43,6.16,5.0,5.37
QV2M,2013,4.46,4.76,6.16,6.29,5.92,6.16,5.49,5.92,6.1,3.66,4.27,3.36,5.19
QV2M,2014,3.72,5.49,6.16,6.65,5.86,4.88,5.31,5.55,5.92,6.16,5.86,6.47,5.68
QV2M,2015,5.68,6.47,6.65,6.04,6.59,5.37,6.04,5.68,4.76,5.86,4.76,5.13,5.74
QV2M,2016,5.68,6.04,6.59,7.26,7.75,6.1,4.7,4.09,4.52,6.47,6.47,4.76,5.86
QV2M,2017,4.88,6.04,6.59,6.41,7.75,7.2,4.27,4.94,5.74,3.97,5.98,4.27,5.68
QV2M,2018,5.74,4.58,5.43,6.41,7.32,5.55,4.7,4.39,4.03,5.13,3.91,5.19,5.19
QV2M,2019,5.8,4.94,5.92,8.12,8.0,7.32,5.25,5.25,5.74,3.23,3.97,5.74,5.8
QV2M,2020,5.49,5.07,5.07,6.29,6.41,5.92,4.94,5.8,4.88,3.78,4.09,4.21,5.19
WS2M,1981,1.45,1.4,1.83,1.88,2.16,2.55,1.73,1.52,1.58,1.61,1.79,1.59,1.76
WS2M,1982,1.91,1.84,1.79,2.13,2.03,1.55,1.68,1.48,2.02,1.73,1.54,1.94,1.8
WS2M,1983,1.66,1.82,2.02,1.73,1.71,1.83,1.99,1.54,1.66,1.34,1.79,1.6,1.73
WS2M,1984,1.75,1.6,1.91,2.04,2.24,2.26,1.61,1.61,1.93,1.9,1.98,1.48,1.86
WS2M,1985,1.48,2.02,1.91,1.89,1.9,2.21,1.64,1.57,1.57,1.98,1.66,1.73,1.8
WS2M,1986,1.64,2.27,1.69,1.71,1.92,1.8,1.62,1.24,1.56,1.63,1.94,1.36,1.7
WS2M,1987,1.8,1.87,1.91,1.68,1.87,1.71,1.81,1.38,1.44,1.15,1.55,2.41,1.71
WS2M,1988,1.73,2.0,2.14,1.54,1.98,1.98,1.83,1.42,1.84,1.36,1.88,1.89,1.8
WS2M,1989,1.76,1.52,1.94,1.62,1.88,1.86,1.81,1.49,1.3,1.72,1.73,1.67,1.7
WS2M,1990,1.79,1.7,1.52,1.8,2.26,1.97,1.47,1.58,1.47,2.09,1.8,1.75,1.77
WS2M,1991,1.49,1.57,2.21,1.81,2.0,1.94,1.42,1.39,1.24,1.88,2.05,1.84,1.73
WS2M,1992,1.51,1.95,1.41,1.73,1.79,1.75,1.38,1.45,1.77,1.59,1.71,2.2,1.69
WS2M,1993,1.84,1.64,1.41,1.84,1.84,2.18,2.09,1.68,1.45,1.45,2.07,1.77,1.77
WS2M,1994,1.73,1.51,1.55,1.74,1.45,1.93,1.41,1.38,1.31,1.7,1.85,1.32,1.57
WS2M,1995,2.12,1.24,2.13,2.08,1.32,1.83,1.65,1.63,1.4,1.9,1.3,1.64,1.69
WS2M,1996,1.63,1.84,1.77,1.88,2.01,1.87,1.51,1.52,1.64,1.8,1.89,2.28,1.8
WS2M,1997,1.56,1.88,1.95,2.12,1.73,2.18,1.6,1.52,1.76,1.88,1.4,1.95,1.8
WS2M,1998,1.57,1.99,1.62,1.49,1.45,1.41,1.35,1.45,1.53,2.04,1.79,1.71,1.61
WS2M,1999,1.8,1.73,1.48,2.26,1.92,1.78,1.65,1.45,1.51,1.66,1.47,1.87,1.71
WS2M,2000,1.59,1.69,1.76,1.52,1.88,1.85,1.32,1.41,1.87,1.69,1.35,1.51,1.62
WS2M,2001,1.62,2.04,1.69,1.48,2.16,1.94,1.43,1.45,1.34,1.8,1.59,1.8,1.7
WS2M,2002,1.48,1.55,1.74,1.48,1.74,2.01,1.45,1.45,1.45,1.66,1.78,2.06,1.66
WS2M,2003,1.15,1.54,1.63,1.73,1.43,1.7,1.62,1.54,1.84,1.88,1.48,1.55,1.59
WS2M,2004,1.36,1.77,1.77,1.87,1.53,1.84,1.51,1.56,1.88,1.77,1.77,1.95,1.71
WS2M,2005,1.45,1.38,1.77,1.67,1.57,1.95,1.45,1.5,1.47,1.68,1.91,1.98,1.65
WS2M,2006,1.56,1.84,1.84,1.58,1.49,1.58,1.49,1.38,1.59,1.66,1.5,1.8,1.61
WS2M,2007,1.78,1.84,1.56,1.59,1.86,1.9,1.47,1.53,1.48,1.65,1.7,1.89,1.69
WS2M,2008,1.95,1.66,1.66,1.8,2.03,2.08,1.55,1.74,1.51,1.98,1.65,1.51,1.77
WS2M,2009,1.82,1.81,1.97,1.65,1.83,1.54,1.58,1.52,1.65,2.03,1.82,1.35,1.71
WS2M,2010,1.61,1.27,1.75,2.03,1.92,1.95,1.51,1.45,1.57,1.64,1.88,1.52,1.68
WS2M,2011,1.44,2.02,1.99,1.8,1.86,1.67,1.58,1.27,1.48,1.69,1.6,1.86,1.69
WS2M,2012,1.73,1.77,2.15,1.65,2.02,2.45,1.56,1.35,1.3,1.52,1.66,1.88,1.75
WS2M,2013,1.49,1.76,1.72,2.44,1.97,2.16,1.51,1.51,1.85,1.8,1.73,1.88,1.81
WS2M,2014,1.67,1.59,1.83,1.62,2.02,1.87,1.73,1.51,1.7,1.77,1.34,1.66,1.7
WS2M,2015,1.48,1.95,1.55,1.89,1.46,1.64,1.68,1.63,1.53,1.46,1.67,1.72,1.63
WS2M,2016,1.55,1.67,2.05,1.89,1.67,1.8,1.71,1.37,1.68,1.91,1.28,1.8,1.7
WS2M,2017,1.97,2.18,1.78,2.07,1.96,1.85,1.59,1.33,1.67,2.21,1.56,1.69,1.82
WS2M,2018,1.34,2.36,1.93,1.73,1.81,2.02,1.62,1.27,1.55,1.93,1.98,1.69,1.77
WS2M,2019,1.71,2.16,1.59,1.87,1.66,2.0,1.58,1.47,1.96,2.22,1.69,1.65,1.79
WS2M,2020,1.41,2.09,1.93,1.65,2.05,1.85,1.6,1.34,1.58,2.06,1.71,1.77,1.75
GWETTOP,1981,0.72,0.87,0.86,0.77,0.55,0.34,0.12,0.09,0.17,0.5,0.73,0.89,0.55
GWETTOP,1982,0.95,0.93,0.92,0.91,0.7,0.45,0.27,0.12,0.29,0.41,0.66,0.87,0.62
GWETTOP,1983,0.91,0.97,0.97,0.91,0.84,0.55,0.3,0.2,0.3,0.35,0.74,0.93,0.66
GWETTOP,1984,0.94,0.91,0.88,0.79,0.57,0.34,0.13,0.11,0.23,0.42,0.73,0.87,0.58
GWETTOP,1985,0.85,0.84,0.81,0.68,0.49,0.23,0.11,0.12,0.41,0.36,0.53,0.77,0.52
