-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  35.4937   Longitude -118.8597 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 736.06 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.05,9.48,9.14,13.04,16.5,25.0,26.28,26.37,22.85,14.04,11.72,8.44,16.11
T2M,1982,5.54,8.73,8.48,11.23,17.26,19.26,24.89,26.03,20.98,15.57,9.12,6.87,14.54
T2M,1983,8.41,8.3,8.5,9.4,16.05,20.46,23.48,25.84,23.8,16.99,9.59,6.73,14.84
T2M,1984,8.48,8.62,10.98,11.87,19.99,21.83,28.53,26.82,25.4,13.3,9.38,5.65,15.93
T2M,1985,6.51,8.1,8.05,15.87,17.01,24.25,27.5,24.25,18.88,16.19,8.42,8.62,15.35
T2M,1986,10.39,9.5,12.31,12.54,17.62,23.35,25.01,26.83,17.98,16.61,12.09,8.83,16.14
T2M,1987,5.85,7.73,9.39,17.05,19.48,24.51,22.85,25.85,22.71,19.78,10.0,4.87,15.87
T2M,1988,6.94,10.74,11.59,13.8,16.45,22.41,27.94,26.19,23.71,20.12,9.73,6.79,16.39
T2M,1989,5.88,6.85,10.72,16.46,16.84,22.26,26.23,23.72,21.32,16.06,12.92,10.15,15.83
T2M,1990,7.12,6.84,10.8,15.3,16.49,21.91,26.91,24.51,21.98,18.5,11.69,5.2,15.65
T2M,1991,7.11,12.3,7.08,10.98,14.11,19.94,26.2,24.08,24.8,19.62,11.95,8.58,15.58
T2M,1992,7.69,9.92,10.53,15.12,20.91,22.08,24.54,27.09,23.44,18.69,10.78,5.68,16.39
T2M,1993,6.66,7.33,11.94,12.67,17.84,21.56,23.64,24.73,22.9,17.49,11.19,7.18,15.48
T2M,1994,9.19,7.29,12.03,13.61,16.58,23.5,26.54,27.02,22.65,15.72,6.93,7.33,15.76
T2M,1995,7.37,11.51,9.97,11.3,14.05,19.82,25.99,26.84,23.64,19.44,15.09,8.83,16.18
T2M,1996,8.19,9.83,11.19,14.58,17.83,23.31,28.14,27.76,22.22,16.25,10.83,8.64,16.58
T2M,1997,7.72,8.19,12.64,13.37,21.51,22.07,25.39,25.7,23.68,16.03,11.65,6.19,16.23
T2M,1998,7.92,6.49,9.43,10.55,12.15,17.91,25.76,28.19,21.91,15.16,9.58,6.45,14.35
T2M,1999,8.51,7.35,8.29,10.51,16.23,21.0,24.98,24.26,24.28,20.05,14.12,8.93,15.76
T2M,2000,8.54,9.09,10.23,14.53,18.63,24.51,24.04,26.0,22.43,15.86,8.52,10.29,16.08
T2M,2001,7.07,6.58,11.56,11.25,22.34,24.03,24.92,26.23,23.4,19.01,12.07,6.69,16.33
T2M,2002,6.69,10.3,10.38,14.08,17.17,22.78,27.18,24.48,23.55,15.86,12.48,7.59,16.07
T2M,2003,11.7,8.22,10.75,10.76,18.01,22.59,28.02,25.92,25.3,20.72,8.78,7.94,16.62
T2M,2004,7.45,7.35,14.9,15.37,18.72,22.47,25.94,25.58,22.65,15.83,9.34,8.52,16.21
T2M,2005,8.58,9.23,11.05,12.39,17.05,20.14,28.36,27.33,20.82,16.51,12.95,9.02,16.17
T2M,2006,7.4,9.93,7.33,12.0,18.87,24.58,29.39,25.58,23.6,15.57,12.07,8.02,16.23
T2M,2007,6.18,8.77,12.85,13.69,18.87,23.04,26.03,26.15,21.05,16.15,13.8,5.71,16.06
T2M,2008,6.1,8.6,10.83,13.44,17.84,23.99,26.74,26.65,24.19,18.77,13.32,6.81,16.46
T2M,2009,9.69,8.05,10.25,12.88,20.67,21.26,27.26,25.56,25.05,15.33,12.12,6.66,16.28
T2M,2010,8.54,8.37,9.92,11.23,14.25,21.52,25.31,24.44,23.15,17.37,10.11,8.4,15.26
T2M,2011,7.37,6.57,9.33,11.83,14.33,20.39,25.32,25.13,24.98,18.03,9.85,7.29,15.08
T2M,2012,9.76,8.3,10.33,13.99,18.38,22.12,25.62,28.15,25.4,17.73,13.43,7.09,16.72
T2M,2013,6.55,7.76,12.8,15.65,18.7,23.77,27.42,25.19,22.47,16.35,12.58,8.35,16.51
T2M,2014,12.05,10.65,12.91,15.29,19.43,23.45,27.07,25.76,24.37,19.93,13.07,8.87,17.78
T2M,2015,10.65,13.07,15.55,15.16,16.74,25.2,25.03,25.54,24.73,19.8,9.8,6.37,17.33
T2M,2016,7.95,11.96,11.84,15.03,17.9,25.1,26.73,25.93,22.8,17.71,13.4,7.52,16.99
T2M,2017,6.59,9.3,12.4,14.15,18.73,24.87,28.86,27.99,23.33,18.65,13.76,11.39,17.55
T2M,2018,11.23,9.37,10.78,14.97,17.8,23.82,29.42,26.2,24.13,18.32,13.76,8.15,17.37
T2M,2019,9.2,5.74,10.23,15.41,15.08,23.65,26.3,26.75,22.86,17.19,13.81,8.12,16.25
T2M,2020,7.79,10.49,10.05,13.37,19.08,23.12,26.14,27.51,25.47,20.3,12.4,9.37,17.11
QV2M,1981,3.91,4.27,5.19,5.37,5.68,4.33,3.42,4.39,5.07,4.52,4.88,4.76,4.64
QV2M,1982,3.72,4.52,4.94,5.86,6.47,5.92,5.43,5.37,5.62,4.52,4.09,4.15,5.07
QV2M,1983,4.58,5.31,6.23,5.43,6.84,5.98,4.64,7.32,5.74,6.1,5.25,5.07,5.74
QV2M,1984,4.09,3.91,4.76,4.27,4.94,4.27,5.98,6.59,6.47,4.88,4.39,4.03,4.88
QV2M,1985,3.72,3.91,4.33,4.82,4.39,4.82,5.0,4.64,5.86,4.27,4.21,4.21,4.52
QV2M,1986,4.94,5.68,6.35,5.62,5.31,4.82,5.19,4.33,4.94,4.09,3.66,3.78,4.88
QV2M,1987,3.6,4.09,4.58,5.19,5.68,4.7,5.31,5.07,5.0,5.25,5.19,4.03,4.82
QV2M,1988,4.03,4.09,4.33,4.88,5.07,5.49,5.98,6.47,4.52,4.33,4.82,3.54,4.82
QV2M,1989,3.42,4.15,5.55,5.43,5.31,5.13,4.52,5.0,5.13,4.46,3.05,2.26,4.46
QV2M,1990,3.78,3.78,4.88,5.55,4.64,5.07,5.8,5.86,5.37,3.72,2.93,2.5,4.52
QV2M,1991,3.6,3.66,4.76,5.49,5.49,4.94,5.8,6.1,6.04,4.7,3.85,3.48,4.82
QV2M,1992,3.6,5.49,6.16,6.35,6.9,5.92,6.9,5.74,4.88,5.55,3.91,3.85,5.43
QV2M,1993,4.88,5.19,6.53,6.23,6.47,5.49,5.68,5.62,4.64,4.76,3.11,3.42,5.19
QV2M,1994,3.48,4.09,5.25,5.37,6.04,4.39,4.82,5.07,5.31,4.64,3.66,4.15,4.7
QV2M,1995,5.37,5.92,6.16,6.23,7.14,6.35,5.86,5.43,5.13,3.72,4.21,4.7,5.49
QV2M,1996,4.58,5.98,5.49,5.49,5.62,4.94,5.74,5.19,4.7,4.33,5.31,5.13,5.19
QV2M,1997,5.49,4.94,5.31,5.43,5.86,5.62,5.86,6.47,6.47,4.64,5.07,3.6,5.37
QV2M,1998,5.31,5.62,6.04,5.98,6.71,7.75,6.53,5.68,7.45,4.39,4.7,3.6,5.8
QV2M,1999,4.09,4.64,4.82,4.7,5.43,5.0,5.8,5.49,5.55,3.48,3.72,2.75,4.64
QV2M,2000,4.88,5.13,5.37,5.8,5.8,6.1,5.0,5.49,5.37,5.8,3.6,3.17,5.13
QV2M,2001,3.3,4.52,6.23,5.25,6.04,4.64,6.59,5.98,5.8,5.0,5.25,4.39,5.25
QV2M,2002,3.78,3.97,4.21,5.37,5.31,5.37,6.04,5.19,5.0,4.76,4.46,4.76,4.88
QV2M,2003,5.13,4.52,5.13,5.13,5.62,6.04,6.23,6.65,5.74,4.46,4.39,4.21,5.25
QV2M,2004,4.09,4.39,5.49,4.82,4.64,5.55,5.8,6.1,4.52,5.62,4.76,4.03,5.0
QV2M,2005,5.37,5.55,5.86,5.49,7.32,5.98,7.14,6.1,5.07,5.37,4.21,4.7,5.68
QV2M,2006,4.52,3.85,4.58,6.35,7.39,7.02,7.51,5.37,4.58,5.0,4.46,3.54,5.37
QV2M,2007,2.99,4.76,4.76,4.94,4.52,4.82,6.41,6.1,6.04,4.76,3.85,3.85,4.82
QV2M,2008,3.97,4.58,4.64,4.03,4.88,4.03,6.41,6.04,5.0,3.78,5.19,3.91,4.7
QV2M,2009,3.97,4.52,4.76,4.52,6.04,6.35,5.19,5.25,5.37,5.19,3.54,3.78,4.88
QV2M,2010,4.46,5.37,4.94,5.43,5.49,6.35,5.98,5.13,4.82,6.47,4.46,5.13,5.31
QV2M,2011,4.39,4.33,5.68,6.41,5.62,6.23,6.53,5.13,5.92,5.37,4.27,2.81,5.25
QV2M,2012,3.05,4.03,4.27,5.49,5.0,4.64,5.62,5.49,5.0,5.25,4.46,4.7,4.76
QV2M,2013,3.54,3.72,5.0,4.7,4.76,5.74,6.04,5.92,6.29,3.78,4.03,2.93,4.7
QV2M,2014,2.99,4.39,4.7,4.76,4.33,4.64,7.08,5.92,6.23,4.46,4.88,5.49,5.0
QV2M,2015,4.76,5.25,5.07,4.33,5.49,5.74,7.69,6.41,6.23,7.32,4.03,4.03,5.55
QV2M,2016,4.88,4.88,5.86,6.04,6.29,4.94,4.94,4.88,5.07,5.19,4.33,4.52,5.13
QV2M,2017,4.82,5.98,6.35,6.1,6.35,6.35,5.62,7.08,6.96,3.6,5.13,2.2,5.55
QV2M,2018,4.64,3.72,5.07,5.55,6.41,5.13,6.9,5.31,4.76,5.0,3.48,4.27,5.0
QV2M,2019,4.82,4.52,5.74,6.84,6.84,7.02,5.74,5.68,5.92,2.99,3.42,4.82,5.37
QV2M,2020,4.94,4.39,5.31,6.65,6.16,5.68,5.25,7.02,5.49,4.58,3.72,2.93,5.19
WS2M,1981,1.87,1.74,1.98,1.74,2.23,2.33,1.92,1.77,1.59,1.76,1.52,1.52,1.84
WS2M,1982,1.95,1.74,1.95,2.12,1.93,2.17,1.88,1.63,1.75,1.61,1.87,1.88,1.88
WS2M,1983,2.05,1.84,2.25,2.23,2.09,2.23,1.94,1.57,1.8,1.55,1.84,1.83,1.94
WS2M,1984,1.68,1.91,1.98,2.37,2.36,2.26,1.69,1.7,1.58,1.94,1.77,2.47,1.98
WS2M,1985,1.86,1.73,2.02,2.1,2.1,2.09,2.01,1.76,1.68,1.55,1.68,1.56,1.84
WS2M,1986,1.97,1.85,1.74,2.11,2.2,2.02,1.96,1.76,1.71,1.55,1.7,1.55,1.84
WS2M,1987,1.56,1.95,2.28,1.88,2.13,1.84,2.0,1.84,1.68,1.48,1.73,1.91,1.86
WS2M,1988,2.09,1.82,1.88,2.05,2.34,2.06,1.96,1.65,1.62,1.34,1.77,1.97,1.88
WS2M,1989,1.72,2.14,1.95,1.87,2.18,2.22,2.0,1.81,1.81,1.76,1.85,1.66,1.91
WS2M,1990,1.66,1.7,1.8,2.02,2.32,2.17,1.91,1.8,1.64,1.71,1.86,1.98,1.88
WS2M,1991,1.59,1.72,2.38,2.11,2.35,2.07,1.85,1.76,1.58,1.77,1.81,2.24,1.94
WS2M,1992,2.05,2.01,1.77,1.74,1.88,2.31,1.96,1.75,1.67,1.67,1.83,1.87,1.88
WS2M,1993,2.29,2.31,1.67,2.01,2.39,2.23,2.07,1.81,1.68,1.74,2.12,2.14,2.04
WS2M,1994,1.67,2.27,1.65,2.09,1.89,2.09,1.88,1.84,1.61,1.57,1.95,1.64,1.84
