-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  38.0834   Longitude -122.7633 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 86.52 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.55,10.58,10.74,12.6,14.72,18.37,17.37,17.72,17.12,13.89,12.61,10.72,13.93
T2M,1982,7.16,9.9,9.76,11.29,13.66,14.21,16.48,17.18,17.01,15.01,11.08,9.02,12.66
T2M,1983,9.62,11.27,11.51,11.29,13.71,15.41,17.13,18.02,18.62,16.65,12.28,10.53,13.85
T2M,1984,8.95,9.76,11.66,11.12,14.74,15.86,18.31,18.05,19.42,14.22,11.19,8.26,13.48
T2M,1985,7.89,9.71,9.3,13.0,13.33,17.25,17.7,17.37,16.32,14.87,9.94,8.12,12.91
T2M,1986,11.14,11.92,12.8,11.99,13.49,16.2,16.91,16.99,15.48,15.14,12.96,9.85,13.75
T2M,1987,8.55,10.44,10.88,13.48,15.65,16.06,16.55,17.38,17.53,16.99,12.34,8.99,13.75
T2M,1988,9.01,10.48,11.55,12.44,13.54,16.28,18.49,17.44,17.13,15.37,11.83,9.18,13.57
T2M,1989,7.6,7.58,10.92,13.68,14.2,16.27,17.08,16.75,16.41,14.68,12.23,10.15,13.15
T2M,1990,9.4,8.27,10.76,13.61,14.21,16.26,17.37,18.31,18.11,16.0,12.04,7.07,13.48
