-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  39.55   Longitude -123.4384 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 245.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.55,9.75,9.35,10.72,12.42,16.04,17.29,17.13,16.4,12.96,11.48,10.21,12.87
T2M,1982,7.76,9.05,8.46,9.74,12.31,14.26,16.2,17.15,15.95,14.1,10.51,9.4,12.09
T2M,1983,9.76,10.01,10.08,9.7,12.7,14.48,15.97,17.81,17.38,15.24,11.05,9.6,12.83
T2M,1984,9.83,9.23,10.29,9.6,13.19,14.47,18.54,16.96,17.28,12.53,10.05,7.69,12.48
T2M,1985,8.78,8.8,7.84,11.47,11.94,16.65,17.8,16.56,15.14,13.58,8.31,9.66,12.23
T2M,1986,10.34,10.63,11.48,10.26,12.15,16.06,16.85,17.56,14.66,14.0,11.84,10.03,13.01
T2M,1987,8.31,9.63,9.51,11.9,14.39,15.94,15.67,18.06,16.83,16.37,11.45,8.1,13.03
T2M,1988,8.59,9.8,9.9,10.96,12.16,14.87,18.39,17.44,16.62,15.12,10.58,8.46,12.75
T2M,1989,7.73,6.39,9.19,12.26,12.33,15.35,15.49,16.23,15.4,13.44,11.89,10.72,12.23
T2M,1990,8.45,7.47,9.66,11.91,12.4,14.74,17.87,17.66,17.2,14.28,10.96,6.58,12.46
T2M,1991,8.91,10.83,8.01,9.58,10.94,13.71,17.83,16.88,17.88,16.23,11.66,8.85,12.62
T2M,1992,9.18,10.82,11.3,12.76,15.78,15.99,17.48,18.06,16.82,15.82,11.37,8.25,13.65
T2M,1993,7.72,8.83,11.0,10.82,12.94,14.95,16.38,17.39,16.54,15.23,11.34,9.08,12.71
T2M,1994,9.94,8.4,10.83,11.01,12.66,14.69,17.31,16.87,17.12,13.63,8.23,7.7,12.39
T2M,1995,9.44,11.08,9.97,10.37,12.11,14.22,17.48,16.98,16.48,14.78,12.95,10.7,13.05
T2M,1996,9.62,10.5,10.48,11.58,12.31,14.83,18.26,17.64,15.98,13.8,11.51,10.3,13.08
T2M,1997,9.12,9.3,10.17,10.76,15.47,15.26,17.61,17.62,17.67,14.1,12.69,9.58,13.3
T2M,1998,10.19,8.87,9.72,9.65,11.01,14.44,16.98,18.21,17.01,13.53,10.42,7.8,12.34
T2M,1999,8.58,7.69,7.67,9.53,11.24,13.94,15.69,17.19,17.59,14.91,11.76,9.21,12.11
T2M,2000,8.62,9.58,9.23,11.34,12.67,16.45,15.83,16.69,16.96,13.48,9.65,10.41,12.58
T2M,2001,8.41,7.64,10.32,8.98,14.46,14.52,16.55,16.8,16.48,15.26,11.15,8.73,12.48
T2M,2002,7.8,9.77,8.98,10.71,11.62,14.58,17.06,17.25,16.98,14.19,12.12,9.82,12.58
T2M,2003,11.53,9.4,10.28,9.07,11.83,15.27,17.32,17.5,17.68,15.62,9.73,9.11,12.89
T2M,2004,8.87,8.85,11.77,11.94,12.98,14.87,17.86,18.29,16.53,13.76,10.53,9.54,13.0
T2M,2005,8.94,10.46,11.24,10.36,13.26,13.46,17.88,17.69,15.08,13.41,11.52,10.36,12.83
T2M,2006,9.2,9.78,7.47,10.33,12.86,16.26,18.43,16.84,16.62,14.34,10.92,9.41,12.73
T2M,2007,7.68,8.7,10.7,10.24,12.33,14.28,17.18,17.63,15.96,13.09,11.73,7.23,12.25
T2M,2008,7.43,8.33,8.48,9.21,12.49,14.58,16.96,17.48,17.12,14.32,12.25,8.18,12.24
T2M,2009,9.85,8.48,8.68,9.92,12.78,14.87,17.01,17.28,17.51,13.26,10.69,8.1,12.39
T2M,2010,9.41,9.62,9.17,9.14,10.19,13.7,16.27,16.22,16.76,13.98,9.9,9.13,11.97
T2M,2011,9.21,7.62,8.67,8.99,10.33,13.38,15.98,16.69,17.64,14.55,9.83,8.62,11.82
T2M,2012,9.03,8.43,8.02,10.33,11.85,13.67,15.82,16.98,16.37,14.55,12.15,8.41,12.15
T2M,2013,8.28,8.12,9.29,10.98,12.98,15.32,17.58,17.01,16.3,13.43,11.44,9.01,12.5
T2M,2014,11.28,9.56,10.98,11.51,13.71,15.44,17.76,17.71,17.74,16.14,12.99,10.9,13.84
T2M,2015,11.37,12.36,12.0,10.92,12.46,16.54,18.3,17.98,17.11,16.55,10.51,9.15,13.78
T2M,2016,9.54,11.5,10.8,12.36,13.29,15.37,16.76,17.16,16.47,13.55,12.05,8.18,13.08
T2M,2017,8.02,9.28,10.41,10.37,12.76,15.37,17.12,18.87,18.31,14.76,11.31,10.56,13.12
T2M,2018,10.27,9.04,9.2,10.67,12.46,14.61,17.94,17.15,15.9,14.96,12.52,9.64,12.89
T2M,2019,10.21,7.35,9.56,11.92,12.34,15.9,16.44,18.06,16.82,14.43,12.3,9.56,12.94
T2M,2020,9.14,9.37,8.75,11.28,13.16,15.71,16.56,18.38,18.55,17.33,10.65,9.46,13.21
QV2M,1981,6.65,6.29,6.16,6.65,7.26,7.45,6.96,7.51,7.51,7.14,7.32,7.02,7.02
QV2M,1982,5.49,6.1,5.86,6.16,6.96,7.57,7.63,7.87,7.45,7.14,6.35,6.29,6.77
QV2M,1983,6.29,6.84,6.9,6.23,7.63,8.12,8.18,8.85,8.42,7.75,7.26,6.96,7.45
QV2M,1984,6.23,6.1,6.59,6.1,7.32,7.32,7.2,7.81,6.84,7.32,6.84,5.55,6.77
QV2M,1985,5.62,5.8,5.55,6.96,6.59,7.2,7.02,7.08,7.39,6.53,5.43,5.74,6.41
QV2M,1986,6.77,7.14,7.14,6.41,7.26,7.45,7.08,7.14,7.39,7.08,6.29,5.98,6.9
QV2M,1987,5.68,6.04,6.23,6.9,7.45,6.71,7.51,6.9,6.96,7.2,6.84,5.92,6.71
QV2M,1988,6.04,5.98,6.04,6.35,6.65,7.63,7.32,7.08,5.98,7.02,7.02,5.8,6.59
QV2M,1989,5.55,4.88,6.47,7.2,7.39,7.51,7.32,7.45,7.2,6.9,6.41,5.98,6.71
