-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  37.201   Longitude -120.712 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 167.96 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.84,10.76,11.08,14.95,18.86,26.48,27.12,26.64,23.87,16.19,13.4,9.87,17.54
T2M,1982,6.0,9.75,9.73,12.3,18.26,20.9,25.6,26.05,22.15,16.87,10.69,7.83,15.55
T2M,1983,9.22,9.97,10.7,11.31,16.63,21.27,24.1,26.46,24.46,18.58,11.45,9.34,16.16
T2M,1984,8.98,9.69,12.52,13.62,21.12,23.37,28.97,26.71,26.0,15.84,10.9,7.28,17.11
T2M,1985,7.62,9.77,9.85,17.15,18.2,26.05,28.68,25.0,20.8,17.12,10.08,9.24,16.66
T2M,1986,11.62,11.08,13.29,13.65,18.47,24.24,26.13,26.9,20.04,17.98,14.43,9.91,17.35
T2M,1987,7.76,10.21,11.61,17.58,21.05,24.9,23.81,26.31,23.86,20.83,12.05,7.37,17.31
T2M,1988,8.85,11.62,13.4,16.08,17.85,23.58,28.9,26.78,24.04,19.83,12.37,8.42,17.66
T2M,1989,7.31,8.15,12.39,17.29,18.5,23.85,26.13,24.73,21.56,17.09,12.84,9.94,16.69
T2M,1990,8.65,8.33,12.54,17.12,18.4,22.62,27.5,26.08,22.92,19.58,13.2,6.68,17.02
T2M,1991,8.87,13.08,9.51,13.1,16.67,21.51,27.15,24.55,24.82,21.16,12.99,9.56,16.94
T2M,1992,8.44,11.83,12.3,16.44,22.43,23.76,26.17,27.79,23.86,20.08,12.94,7.91,17.85
T2M,1993,8.3,9.31,13.12,13.8,18.67,22.77,25.53,25.63,23.49,19.5,12.38,8.94,16.83
T2M,1994,9.99,8.79,13.33,15.35,18.11,23.74,26.77,26.48,23.29,17.6,9.1,8.12,16.77
T2M,1995,9.65,11.98,11.08,12.82,16.02,20.73,26.06,26.87,23.62,20.17,16.02,10.78,17.18
T2M,1996,9.79,11.16,12.36,15.57,18.8,23.33,29.24,27.9,22.7,17.73,12.65,9.95,17.62
T2M,1997,9.01,9.57,13.05,15.57,22.68,23.37,26.44,26.59,24.65,17.86,14.01,7.73,17.59
T2M,1998,9.76,8.78,11.4,12.24,13.87,19.45,25.95,28.14,23.97,17.11,11.23,6.7,15.76
T2M,1999,8.62,8.76,9.75,12.87,16.88,21.19,24.76,24.42,24.41,20.49,13.57,9.35,16.3
T2M,2000,9.95,10.62,11.31,15.49,19.33,25.42,24.71,26.49,23.24,17.0,9.55,9.89,16.94
T2M,2001,8.05,8.4,13.15,12.89,23.12,25.44,26.29,26.3,23.87,20.19,13.88,8.73,17.58
T2M,2002,7.27,10.69,11.58,15.53,18.62,23.61,27.76,25.62,24.68,17.94,13.89,9.78,17.28
T2M,2003,11.73,9.88,12.65,12.53,18.61,23.73,29.34,26.19,25.34,20.94,11.33,9.58,17.71
T2M,2004,8.34,9.52,15.54,16.85,19.92,23.8,27.08,26.27,23.89,17.54,11.3,9.62,17.5
T2M,2005,8.69,11.15,12.51,13.39,18.52,21.48,29.26,27.73,21.95,18.44,14.67,10.68,17.42
T2M,2006,8.91,10.39,8.99,13.47,19.4,24.95,30.36,25.57,23.61,17.55,12.62,8.67,17.08
T2M,2007,6.81,10.38,14.28,15.33,20.12,24.12,26.87,26.73,22.15,17.15,13.4,7.33,17.09
T2M,2008,7.32,9.23,11.8,14.6,19.38,24.81,27.24,27.19,24.53,19.4,14.08,7.33,17.26
T2M,2009,9.45,9.8,11.34,14.67,21.42,22.69,27.59,26.21,25.37,16.57,12.01,7.9,17.13
T2M,2010,9.31,9.87,11.17,12.24,15.77,22.48,26.29,24.53,23.9,19.07,11.74,9.76,16.38
T2M,2011,8.33,8.33,10.76,13.11,15.82,20.98,26.04,25.87,25.65,18.59,11.44,8.12,16.13
T2M,2012,10.05,10.51,11.8,15.35,19.51,23.27,26.55,28.06,24.83,19.19,13.6,8.43,17.62
T2M,2013,7.58,9.05,13.92,17.31,20.63,25.43,28.23,25.79,22.87,17.69,14.17,8.78,17.66
T2M,2014,12.48,11.65,14.65,16.83,21.24,25.32,29.06,26.98,24.73,20.97,13.96,11.15,19.14
T2M,2015,10.77,13.63,16.32,16.63,18.75,26.69,27.21,26.78,25.04,21.36,11.16,7.99,18.55
T2M,2016,9.88,12.59,13.23,16.23,19.58,25.91,27.9,26.58,23.74,18.73,13.76,8.28,18.05
T2M,2017,7.91,10.65,12.61,14.51,19.95,25.45,29.86,28.66,25.14,19.03,14.4,9.39,18.17
T2M,2018,11.38,10.74,12.16,15.93,19.43,24.94,30.05,27.05,23.76,19.23,14.53,9.23,18.25
T2M,2019,10.38,7.82,11.76,17.07,17.67,25.44,27.87,28.05,24.18,18.44,13.86,9.81,17.75
T2M,2020,9.06,11.95,12.05,15.91,21.11,25.13,27.39,28.67,25.51,21.68,12.47,9.75,18.41
QV2M,1981,4.88,5.31,5.98,6.04,6.16,5.37,4.46,5.55,5.8,5.13,6.41,5.92,5.55
QV2M,1982,4.58,5.98,5.86,6.47,7.26,6.59,6.04,5.86,6.1,5.74,5.07,5.07,5.86
QV2M,1983,5.62,6.35,6.9,6.35,7.57,7.32,6.16,7.02,6.53,7.02,6.1,6.16,6.59
QV2M,1984,5.49,5.49,5.98,5.31,5.92,5.31,5.25,6.16,5.55,6.04,5.55,4.88,5.55
QV2M,1985,4.52,5.13,5.07,6.1,5.37,5.62,5.43,5.37,6.16,5.13,4.76,4.82,5.31
QV2M,1986,6.04,6.71,7.57,6.47,6.47,5.8,5.8,5.25,5.92,5.37,3.91,4.27,5.8
QV2M,1987,4.33,4.94,5.62,5.86,6.53,5.0,6.1,5.55,5.68,6.1,5.62,4.7,5.49
QV2M,1988,5.0,5.19,5.07,5.55,5.62,6.35,6.29,6.41,5.0,5.55,5.8,4.39,5.49
QV2M,1989,4.21,4.88,6.53,6.77,6.29,5.98,5.55,5.92,6.29,6.1,5.13,4.09,5.62
QV2M,1990,4.94,4.64,5.86,6.35,5.8,6.47,6.41,6.77,6.84,4.94,4.03,3.23,5.49
QV2M,1991,4.33,5.49,5.62,5.98,5.92,5.8,6.53,6.96,6.53,5.43,5.25,4.39,5.68
QV2M,1992,4.76,6.59,7.14,7.2,7.51,6.9,7.2,6.29,6.04,6.77,5.0,4.64,6.35
QV2M,1993,5.68,6.1,7.75,7.02,7.39,6.59,6.35,6.35,5.8,5.86,4.03,4.52,6.1
QV2M,1994,4.64,5.0,5.98,6.1,6.77,5.25,5.62,5.74,6.71,5.68,4.39,5.0,5.55
QV2M,1995,6.53,7.26,6.84,7.08,7.75,7.14,7.14,5.86,6.53,5.13,6.23,5.98,6.59
QV2M,1996,5.74,7.2,6.84,7.14,6.96,6.41,6.1,5.74,5.62,5.49,6.1,6.23,6.29
QV2M,1997,6.41,5.98,6.9,6.41,6.9,6.53,6.71,7.08,6.84,5.49,6.23,4.7,6.35
QV2M,1998,6.53,6.35,7.08,6.96,7.26,8.24,7.51,6.16,7.63,5.37,5.98,4.39,6.59
QV2M,1999,5.13,5.55,5.74,5.8,6.23,6.41,6.35,6.77,6.16,5.13,5.86,4.27,5.8
QV2M,2000,5.98,6.41,6.23,6.71,6.96,6.71,6.1,6.35,6.41,6.53,4.88,4.94,6.16
QV2M,2001,4.39,5.19,7.14,5.86,6.29,5.37,6.65,6.84,6.65,5.92,6.53,5.55,6.04
QV2M,2002,5.13,5.8,5.62,6.59,6.1,6.23,6.53,6.04,5.68,5.43,5.49,5.92,5.86
QV2M,2003,6.84,5.55,6.35,5.92,6.77,6.53,6.53,7.45,6.65,5.43,5.25,5.49,6.23
QV2M,2004,5.49,5.55,7.08,5.8,5.92,6.23,6.71,7.08,5.37,6.47,5.49,5.25,6.04
QV2M,2005,5.98,6.65,6.96,6.47,7.87,6.84,7.14,6.65,6.04,5.98,5.31,5.98,6.47
QV2M,2006,5.74,5.49,5.55,7.39,7.75,7.69,6.84,6.59,5.8,5.43,6.23,4.33,6.23
QV2M,2007,3.85,5.8,5.92,5.74,5.37,5.74,7.26,7.08,6.9,5.98,5.49,4.46,5.8
QV2M,2008,4.94,5.74,5.74,5.25,5.74,4.94,6.9,6.77,5.74,4.88,6.59,4.82,5.68
QV2M,2009,4.52,5.55,5.86,5.62,6.96,6.77,5.98,6.47,6.71,6.47,5.31,4.88,5.92
QV2M,2010,5.74,6.41,6.04,6.35,6.35,7.02,6.65,6.35,5.92,6.77,5.43,6.16,6.29
QV2M,2011,5.55,5.07,6.59,6.77,6.16,7.2,7.02,6.41,6.53,7.08,5.19,3.66,6.1
QV2M,2012,4.39,4.88,5.31,6.53,5.8,5.68,6.29,5.92,5.74,6.53,6.16,5.68,5.74
QV2M,2013,4.64,5.0,6.23,5.92,5.74,6.47,6.35,7.26,7.14,4.52,4.82,3.66,5.62
QV2M,2014,4.09,5.8,5.98,6.04,5.43,5.55,6.9,7.26,7.57,6.04,6.23,6.96,6.16
QV2M,2015,6.1,7.2,6.65,5.62,6.04,6.41,7.39,7.26,5.92,7.26,5.31,5.0,6.35
QV2M,2016,6.29,6.77,7.2,7.2,7.32,5.55,5.62,5.92,5.74,6.65,6.84,5.37,6.35
QV2M,2017,5.74,6.96,7.39,7.2,7.45,7.14,5.37,6.9,7.32,4.64,6.77,3.72,6.35
QV2M,2018,6.23,4.88,5.98,6.59,6.77,5.8,6.23,5.74,5.62,5.74,4.39,5.62,5.8
QV2M,2019,6.16,5.37,6.53,7.63,7.02,6.84,6.1,6.59,6.71,3.91,4.82,6.23,6.16
QV2M,2020,6.04,5.43,5.92,6.84,6.29,6.1,5.86,6.9,6.59,4.76,4.7,4.64,5.86
WS2M,1981,1.67,1.68,2.1,2.48,3.47,3.58,2.8,2.84,2.64,1.94,1.67,1.9,2.4
WS2M,1982,1.82,1.61,1.98,2.36,2.7,3.44,3.03,2.81,2.37,1.78,1.61,1.98,2.3
WS2M,1983,1.95,1.84,2.13,2.2,2.9,3.27,3.16,2.48,2.05,1.66,2.3,2.12,2.34
WS2M,1984,1.46,1.9,2.59,3.26,3.68,3.54,2.78,2.86,2.04,2.61,2.01,1.89,2.55
WS2M,1985,1.27,1.8,2.48,2.6,3.1,3.14,3.19,2.75,2.25,1.9,1.8,1.33,2.3
WS2M,1986,1.75,2.5,1.95,2.38,2.95,3.26,2.76,2.52,2.34,1.92,2.09,1.28,2.3
WS2M,1987,1.84,1.95,2.17,2.45,2.93,3.01,3.44,2.52,2.5,1.77,1.88,2.48,2.41
WS2M,1988,1.9,1.73,2.81,2.25,3.26,3.2,3.03,2.8,2.3,1.91,1.99,1.74,2.41
WS2M,1989,1.55,1.73,2.34,2.31,3.35,3.28,3.48,2.62,2.28,1.98,1.54,1.22,2.31
WS2M,1990,1.9,2.28,2.42,2.78,2.76,3.38,3.01,2.86,2.52,1.96,1.97,1.67,2.45
WS2M,1991,1.52,1.78,2.5,2.85,3.23,3.11,2.91,2.91,2.1,1.88,2.2,1.89,2.41
WS2M,1992,1.58,1.9,1.72,2.53,3.03,3.16,2.95,2.91,2.32,1.87,2.02,2.07,2.34
WS2M,1993,2.09,2.05,1.69,2.99,2.71,3.2,3.09,2.62,2.2,1.8,1.75,1.52,2.3
WS2M,1994,1.4,1.85,1.93,2.55,2.68,3.37,3.0,2.93,2.24,2.12,2.03,1.66,2.31
WS2M,1995,2.75,1.33,2.01,2.32,2.56,3.08,3.03,2.67,2.67,1.88,1.85,2.04,2.36
WS2M,1996,1.73,1.74,1.66,2.68,3.09,3.3,3.06,2.77,2.32,2.64,2.04,2.07,2.43
WS2M,1997,2.02,2.2,2.0,3.23,3.42,3.65,3.33,3.01,2.42,2.27,1.73,1.91,2.6
WS2M,1998,1.61,2.49,1.79,1.95,2.33,2.74,3.06,2.73,2.43,2.2,2.12,1.74,2.27
WS2M,1999,1.53,1.86,2.26,2.79,3.3,3.18,2.91,2.84,2.31,1.86,1.59,1.73,2.35
WS2M,2000,1.9,2.02,2.33,2.59,3.09,3.25,3.4,2.84,2.22,2.02,1.61,1.28,2.38
WS2M,2001,1.62,1.96,2.27,2.47,2.87,3.31,3.2,3.02,2.63,1.97,1.69,2.11,2.43
WS2M,2002,1.55,1.48,2.01,2.58,3.14,3.67,3.29,2.86,2.45,2.02,1.69,1.96,2.4
WS2M,2003,1.22,1.78,2.3,2.24,2.79,3.43,3.37,2.91,2.36,2.16,1.61,1.84,2.34
WS2M,2004,1.59,1.92,2.02,2.5,3.23,3.7,3.28,2.85,2.38,2.0,1.63,1.89,2.42
WS2M,2005,1.47,1.51,1.73,2.41,2.85,3.3,3.23,2.73,2.32,2.13,1.81,1.71,2.27
WS2M,2006,1.66,1.61,1.84,2.09,2.81,3.36,3.02,2.6,2.23,1.77,1.88,1.8,2.23
WS2M,2007,1.65,1.84,1.98,2.7,3.15,3.44,3.33,2.95,2.45,2.02,1.52,2.01,2.42
WS2M,2008,2.11,1.98,2.33,2.73,3.24,3.29,3.37,3.03,2.23,2.13,1.88,1.72,2.51
WS2M,2009,1.36,1.84,2.28,2.76,3.09,3.09,3.31,2.81,2.57,2.45,1.78,1.58,2.41
WS2M,2010,1.72,1.65,1.84,2.31,3.04,3.67,3.4,2.88,2.33,2.04,1.74,1.77,2.37
WS2M,2011,1.59,1.83,2.17,2.6,2.95,3.1,3.21,3.02,2.36,1.81,1.95,1.48,2.34
WS2M,2012,1.73,2.07,1.98,2.56,3.28,3.63,3.01,3.07,2.46,2.11,1.75,1.95,2.47
WS2M,2013,1.4,1.8,2.03,2.99,3.42,3.59,3.16,3.05,2.91,1.84,1.52,1.29,2.42
WS2M,2014,1.48,2.01,2.06,2.52,3.15,3.35,3.1,2.74,2.53,2.06,1.47,2.1,2.38
WS2M,2015,1.14,1.71,1.98,2.77,2.89,3.34,3.21,3.05,2.33,1.95,1.88,1.74,2.34
WS2M,2016,1.59,1.83,2.19,2.47,2.74,3.38,3.3,2.96,2.44,2.12,1.56,1.66,2.35
WS2M,2017,2.02,2.13,2.0,2.53,2.82,3.52,3.14,2.96,2.3,1.97,1.5,1.28,2.35
WS2M,2018,1.45,1.76,1.76,2.54,3.05,3.45,3.5,2.97,2.51,1.82,1.45,1.68,2.33
WS2M,2019,1.84,2.39,1.8,2.24,2.65,3.03,3.26,2.99,2.55,1.99,1.47,1.91,2.34
WS2M,2020,1.64,1.77,1.6,2.55,2.82,3.31,3.2,2.91,2.26,1.71,1.71,1.55,2.26
GWETTOP,1981,0.42,0.52,0.56,0.5,0.38,0.18,0.09,0.08,0.07,0.22,0.48,0.53,0.34
GWETTOP,1982,0.66,0.67,0.7,0.7,0.48,0.32,0.2,0.1,0.19,0.38,0.49,0.61,0.46
GWETTOP,1983,0.69,0.82,0.86,0.77,0.6,0.39,0.19,0.15,0.21,0.4,0.47,0.59,0.51
GWETTOP,1984,0.62,0.59,0.53,0.45,0.3,0.17,0.09,0.09,0.09,0.3,0.46,0.54,0.35
GWETTOP,1985,0.55,0.53,0.52,0.46,0.3,0.18,0.09,0.09,0.16,0.25,0.43,0.52,0.34
GWETTOP,1986,0.53,0.64,0.73,0.59,0.44,0.23,0.11,0.09,0.16,0.24,0.18,0.38,0.36
GWETTOP,1987,0.45,0.51,0.54,0.45,0.31,0.14,0.09,0.08,0.09,0.18,0.43,0.47,0.31
GWETTOP,1988,0.53,0.51,0.47,0.42,0.37,0.21,0.12,0.09,0.08,0.08,0.3,0.47,0.3
GWETTOP,1989,0.52,0.53,0.53,0.45,0.34,0.16,0.1,0.09,0.23,0.38,0.41,0.41,0.34
GWETTOP,1990,0.46,0.5,0.49,0.42,0.32,0.3,0.12,0.09,0.14,0.17,0.24,0.39,0.3
GWETTOP,1991,0.42,0.44,0.59,0.55,0.43,0.23,0.12,0.11,0.12,0.17,0.41,0.42,0.34
