-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  38.5025   Longitude -122.2654 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 266.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,8.69,8.76,9.36,12.77,16.76,23.17,23.6,23.43,20.73,13.98,11.24,8.86,15.14
T2M,1982,4.82,8.23,8.02,10.13,15.53,16.99,21.83,22.74,19.68,15.13,9.0,6.77,13.27
T2M,1983,7.56,8.93,9.46,9.73,14.23,17.83,20.55,21.99,21.09,17.23,9.95,8.3,13.94
T2M,1984,7.05,7.77,10.37,10.65,16.78,20.15,24.66,22.93,22.96,13.8,9.33,5.66,14.36
T2M,1985,5.96,8.25,7.99,13.66,15.02,22.35,24.23,21.55,17.79,15.6,8.61,6.42,13.98
T2M,1986,9.39,10.08,11.81,11.58,14.64,19.44,22.12,22.6,17.14,15.83,12.53,8.02,14.63
T2M,1987,6.32,8.47,9.19,14.01,18.3,21.05,21.02,22.69,21.35,18.65,10.74,6.43,14.88
T2M,1988,6.87,9.08,10.65,12.44,14.8,20.08,25.9,22.63,21.52,17.89,10.51,7.16,14.98
T2M,1989,5.9,5.8,9.76,13.56,15.82,20.07,22.83,21.1,18.58,14.92,11.14,8.58,14.05
T2M,1990,7.35,6.55,10.29,14.73,15.61,19.28,23.37,22.98,20.81,17.58,11.43,5.2,14.64
T2M,1991,7.51,11.29,7.86,10.87,14.26,18.81,22.94,20.89,21.99,19.01,12.22,7.83,14.64
T2M,1992,7.05,9.73,11.15,13.56,18.61,19.55,22.05,24.2,21.06,17.7,11.11,6.42,15.2
T2M,1993,6.02,7.55,11.44,11.61,14.28,18.98,22.11,22.44,21.29,16.89,10.47,6.91,14.2
T2M,1994,7.83,7.1,10.73,12.51,15.94,20.26,22.95,22.96,20.86,15.7,7.33,6.05,14.23
T2M,1995,8.59,10.37,9.21,10.94,14.0,17.15,21.23,22.63,20.69,18.15,14.24,9.09,14.72
T2M,1996,8.27,9.69,10.58,12.55,15.0,19.69,23.9,24.58,20.13,16.32,11.25,9.07,15.11
T2M,1997,7.77,8.44,11.28,12.53,18.69,20.47,23.23,21.73,21.23,15.36,12.12,6.7,15.0
T2M,1998,8.85,7.97,9.87,10.76,11.86,16.4,21.26,24.27,21.36,15.26,9.89,5.89,13.67
T2M,1999,7.34,7.05,7.76,10.94,14.25,18.94,21.03,21.84,21.55,17.84,11.65,8.12,14.07
T2M,2000,7.83,9.02,10.01,12.64,15.52,20.51,21.33,22.36,20.61,15.41,8.98,8.05,14.37
T2M,2001,6.48,7.18,11.57,10.65,19.57,21.43,21.92,22.14,20.37,18.06,11.55,7.58,14.92
T2M,2002,6.07,8.65,9.24,11.97,14.5,20.04,22.44,22.24,21.44,16.43,11.71,8.68,14.48
T2M,2003,10.08,7.99,10.51,9.25,14.8,19.45,23.76,21.73,22.07,19.0,9.26,7.76,14.69
T2M,2004,7.09,8.03,13.1,13.13,15.69,19.96,22.01,22.58,21.94,15.63,10.08,8.09,14.8
T2M,2005,6.87,9.46,11.15,11.07,14.88,16.69,23.31,22.83,19.04,16.25,11.4,8.58,14.33
T2M,2006,7.47,8.53,7.12,11.25,15.58,19.15,23.59,21.08,20.76,15.56,10.8,6.98,14.02
T2M,2007,5.73,8.46,11.72,12.7,16.34,19.94,22.34,22.31,19.19,14.24,11.48,6.13,14.24
T2M,2008,5.69,8.06,9.32,10.98,16.3,20.71,23.07,23.19,21.12,16.83,11.98,6.26,14.48
T2M,2009,7.89,7.85,9.53,11.9,16.68,18.84,22.66,22.4,22.65,15.01,10.25,5.76,14.32
T2M,2010,7.65,9.05,9.02,9.82,12.17,18.49,20.58,20.39,21.4,16.06,10.0,8.05,13.58
T2M,2011,6.93,6.71,8.76,10.47,12.3,16.98,20.34,21.05,22.42,16.4,9.26,7.05,13.26
T2M,2012,7.75,8.45,8.74,11.84,15.78,19.27,21.45,22.53,20.32,16.81,11.83,7.06,14.33
T2M,2013,5.23,7.57,10.71,13.92,17.05,20.76,22.29,21.27,19.79,15.93,12.08,6.8,14.48
T2M,2014,10.05,9.53,11.8,13.43,17.58,21.32,22.69,21.58,20.48,18.33,12.33,9.5,15.76
T2M,2015,8.78,11.36,12.73,12.8,14.7,21.07,22.12,21.64,21.42,19.41,9.76,7.35,15.28
T2M,2016,8.14,10.76,11.08,13.34,15.96,20.72,22.26,20.92,20.91,15.44,11.8,6.65,14.83
T2M,2017,6.23,8.85,11.28,11.66,15.44,19.78,22.87,23.41,22.09,17.58,11.22,8.24,14.93
T2M,2018,9.01,9.14,9.62,12.16,15.74,20.62,23.92,21.59,20.05,16.96,12.91,7.94,15.01
T2M,2019,8.9,6.35,9.4,13.9,13.58,19.9,21.81,23.35,21.08,16.48,13.12,8.39,14.73
T2M,2020,7.99,10.16,9.65,13.86,17.29,21.79,22.54,24.31,22.59,20.02,10.96,8.5,15.82
QV2M,1981,5.74,5.8,5.92,6.59,6.59,6.04,5.31,5.92,6.04,5.98,6.84,6.47,6.1
QV2M,1982,4.76,5.92,5.74,6.23,8.0,7.75,6.84,6.16,5.92,5.86,5.43,5.43,6.16
QV2M,1983,5.68,6.53,6.77,6.16,7.93,8.36,7.39,7.69,6.84,6.41,6.59,6.59,6.9
QV2M,1984,5.55,5.68,6.29,5.98,6.9,6.29,5.8,6.35,5.37,6.41,6.29,5.0,5.98
QV2M,1985,4.7,5.31,5.31,7.02,6.04,6.35,5.98,5.62,6.59,5.37,4.76,5.07,5.68
QV2M,1986,6.35,7.02,7.45,6.59,7.57,7.14,6.35,6.16,6.41,5.8,4.58,4.7,6.35
QV2M,1987,4.76,5.37,5.8,6.47,7.14,5.74,6.41,5.92,5.68,5.98,5.98,5.31,5.86
QV2M,1988,5.49,5.62,5.62,6.23,6.16,7.02,6.47,6.47,4.7,5.8,6.41,4.76,5.92
QV2M,1989,4.7,4.58,6.53,7.39,7.14,7.02,5.98,6.47,6.47,6.23,5.37,4.64,6.04
QV2M,1990,5.37,5.07,6.23,6.84,6.35,7.32,7.32,7.14,6.65,4.94,4.46,3.42,5.92
QV2M,1991,4.39,5.74,5.74,6.04,6.59,6.71,7.39,7.51,6.35,5.19,5.49,4.58,5.98
QV2M,1992,5.19,6.65,7.02,7.57,8.48,7.93,7.51,6.35,6.1,6.9,5.31,5.19,6.65
QV2M,1993,5.31,5.86,7.32,6.84,8.12,8.0,7.02,6.65,5.49,6.65,4.27,5.19,6.41
QV2M,1994,5.43,5.25,6.23,6.59,7.39,6.04,6.23,6.04,6.71,5.62,4.82,5.19,5.98
QV2M,1995,6.77,6.96,6.35,6.71,8.12,8.48,8.42,6.1,6.9,4.88,6.35,6.47,6.9
QV2M,1996,6.04,7.08,6.53,7.14,7.81,8.0,7.2,5.98,5.8,5.68,6.16,6.47,6.65
QV2M,1997,6.04,5.68,6.53,6.77,7.87,7.26,6.96,7.75,6.9,6.23,6.84,5.07,6.65
QV2M,1998,6.9,6.23,6.47,6.65,7.2,9.09,8.97,6.71,7.32,5.19,6.41,4.76,6.84
QV2M,1999,5.31,5.49,5.55,6.1,6.96,6.84,6.1,7.14,5.68,5.0,6.65,4.7,5.98
QV2M,2000,5.92,6.65,6.16,7.14,7.81,7.63,6.84,6.59,6.71,6.35,5.19,5.0,6.47
QV2M,2001,4.64,5.37,6.96,6.04,6.9,5.92,6.9,7.2,6.9,5.98,6.65,6.04,6.29
QV2M,2002,5.25,5.98,5.74,7.02,7.02,7.2,7.2,6.41,5.68,5.07,5.55,6.29,6.16
QV2M,2003,7.14,5.55,6.65,6.16,8.0,8.3,7.51,7.63,6.29,5.55,5.55,6.1,6.71
QV2M,2004,5.8,5.92,7.32,7.02,7.45,7.32,7.87,7.69,5.74,6.35,5.55,5.74,6.65
QV2M,2005,5.68,6.53,6.9,6.47,8.61,8.36,8.79,6.96,6.04,6.04,5.92,6.35,6.9
QV2M,2006,5.98,5.86,5.62,7.26,8.67,9.52,8.36,7.02,5.8,5.25,6.65,4.94,6.71
QV2M,2007,4.46,6.1,6.71,6.41,6.59,6.53,8.0,7.45,6.84,6.47,5.43,4.76,6.35
QV2M,2008,5.19,5.74,5.74,5.8,6.77,5.74,6.96,7.2,5.86,5.37,6.65,4.76,5.98
QV2M,2009,4.82,5.62,5.98,6.23,7.57,7.39,6.65,6.84,6.47,6.59,5.43,4.88,6.23
QV2M,2010,6.1,6.59,5.92,6.1,6.77,8.42,7.63,7.08,6.23,6.71,5.86,6.29,6.65
QV2M,2011,5.49,4.94,6.35,6.29,6.71,8.48,8.18,7.26,6.29,7.26,5.37,3.91,6.41
QV2M,2012,4.88,5.19,5.68,6.96,6.84,6.77,6.9,6.29,5.8,6.59,6.77,5.68,6.16
QV2M,2013,4.82,5.19,6.41,6.65,6.35,7.14,7.2,7.75,7.39,4.27,4.88,3.72,5.98
QV2M,2014,4.21,6.16,6.59,6.9,6.47,6.35,7.32,7.75,7.93,6.84,6.59,7.08,6.65
QV2M,2015,6.1,7.02,7.14,6.47,6.9,7.39,7.93,7.75,5.98,7.08,5.31,5.68,6.71
QV2M,2016,6.35,6.53,7.08,7.14,7.81,6.84,6.41,6.59,5.98,7.32,7.2,5.31,6.71
QV2M,2017,5.49,6.59,7.02,6.9,8.12,8.48,6.65,7.2,7.02,4.64,6.77,4.64,6.65
QV2M,2018,6.47,5.07,6.04,6.77,7.39,6.9,6.77,6.77,5.86,6.1,4.39,5.68,6.16
QV2M,2019,6.29,5.43,6.29,8.12,7.87,8.36,7.45,7.39,7.08,3.97,4.7,6.41,6.59
QV2M,2020,6.16,5.55,5.68,6.65,6.96,6.71,6.53,7.14,6.59,4.76,4.88,4.88,6.04
WS2M,1981,1.52,1.38,1.58,1.61,1.89,2.16,1.76,1.76,1.67,1.48,1.52,1.45,1.65
WS2M,1982,1.77,1.5,1.68,1.88,1.5,1.73,1.73,1.8,1.66,1.52,1.5,1.77,1.67
WS2M,1983,1.67,1.71,1.8,1.69,1.65,1.69,1.87,1.77,1.54,1.3,1.73,1.6,1.67
WS2M,1984,1.42,1.41,1.72,1.8,1.9,1.89,1.71,1.76,1.66,1.7,1.8,1.45,1.68
WS2M,1985,1.3,1.6,1.79,1.6,1.83,1.88,1.9,1.73,1.52,1.55,1.44,1.56,1.64
WS2M,1986,1.43,2.12,1.56,1.55,1.63,1.79,1.66,1.53,1.68,1.45,1.55,1.22,1.59
WS2M,1987,1.55,1.61,1.71,1.57,1.65,1.88,2.09,1.61,1.6,1.2,1.43,2.1,1.67
WS2M,1988,1.55,1.59,1.83,1.63,1.84,1.84,1.84,1.77,1.68,1.32,1.66,1.75,1.69
WS2M,1989,1.55,1.39,1.76,1.4,1.69,1.94,1.96,1.68,1.39,1.52,1.52,1.44,1.6
WS2M,1990,1.57,1.58,1.41,1.66,1.98,1.86,1.73,1.8,1.56,1.67,1.55,1.54,1.66
WS2M,1991,1.35,1.38,2.05,1.69,1.74,1.71,1.68,1.74,1.32,1.65,1.67,1.66,1.64
WS2M,1992,1.41,1.7,1.3,1.57,1.52,1.81,1.84,1.7,1.68,1.42,1.52,1.95,1.62
WS2M,1993,1.84,1.61,1.29,1.66,1.74,1.76,1.69,1.69,1.43,1.3,1.64,1.56,1.6
WS2M,1994,1.44,1.45,1.41,1.59,1.52,1.84,1.63,1.59,1.51,1.52,1.72,1.2,1.53
WS2M,1995,2.11,1.11,1.86,1.78,1.34,1.65,1.68,1.68,1.63,1.6,1.22,1.55,1.6
WS2M,1996,1.62,1.57,1.6,1.73,1.64,1.45,1.68,1.58,1.63,1.73,1.58,1.99,1.65
WS2M,1997,1.54,1.6,1.52,1.82,1.62,1.94,1.8,1.84,1.79,1.64,1.42,1.8,1.7
WS2M,1998,1.52,1.82,1.39,1.5,1.64,1.52,1.52,1.45,1.61,1.68,1.48,1.48,1.55
WS2M,1999,1.57,1.56,1.47,1.96,1.73,1.78,1.89,1.77,1.48,1.49,1.32,1.55,1.63
WS2M,2000,1.39,1.67,1.54,1.59,1.74,1.83,1.78,1.75,1.62,1.56,1.23,1.36,1.59
WS2M,2001,1.55,1.76,1.49,1.63,1.86,1.95,1.78,1.79,1.52,1.51,1.41,1.69,1.66
WS2M,2002,1.3,1.41,1.59,1.56,1.65,2.0,1.89,1.7,1.66,1.46,1.53,1.87,1.63
WS2M,2003,1.14,1.47,1.57,1.74,1.55,1.67,1.79,1.81,1.78,1.58,1.31,1.52,1.58
WS2M,2004,1.28,1.62,1.53,1.7,1.78,2.02,1.94,1.86,1.74,1.62,1.44,1.58,1.68
WS2M,2005,1.47,1.34,1.66,1.67,1.7,1.8,1.69,1.66,1.48,1.5,1.66,1.76,1.62
WS2M,2006,1.45,1.59,1.7,1.47,1.48,1.58,1.55,1.65,1.57,1.45,1.29,1.61,1.53
WS2M,2007,1.53,1.6,1.45,1.67,1.92,1.95,1.89,1.8,1.7,1.47,1.38,1.53,1.66
WS2M,2008,1.87,1.5,1.55,1.72,1.87,1.89,1.81,1.85,1.55,1.65,1.44,1.37,1.67
WS2M,2009,1.52,1.66,1.68,1.65,1.64,1.82,1.88,1.78,1.61,1.67,1.47,1.32,1.64
WS2M,2010,1.58,1.23,1.55,1.77,1.84,1.8,1.91,1.81,1.55,1.51,1.64,1.38,1.63
WS2M,2011,1.35,1.81,1.77,1.78,1.98,1.55,1.73,1.63,1.53,1.37,1.48,1.55,1.62
WS2M,2012,1.48,1.62,1.82,1.62,1.87,2.22,1.84,1.87,1.56,1.56,1.53,1.66,1.72
WS2M,2013,1.4,1.5,1.43,1.84,2.02,2.07,1.91,1.93,1.96,1.45,1.42,1.52,1.7
WS2M,2014,1.41,1.43,1.6,1.57,1.91,1.94,2.05,1.77,1.7,1.45,1.2,1.52,1.63
WS2M,2015,1.23,1.61,1.33,1.73,1.94,1.84,2.2,2.03,1.66,1.38,1.52,1.61,1.67
WS2M,2016,1.52,1.48,1.74,1.79,1.62,1.89,2.04,1.96,1.7,1.67,1.24,1.57,1.69
WS2M,2017,1.86,1.83,1.54,1.75,1.84,1.77,1.77,1.8,1.66,1.67,1.37,1.52,1.7
WS2M,2018,1.23,1.86,1.67,1.66,1.95,1.92,1.99,1.74,1.64,1.58,1.56,1.47,1.69
WS2M,2019,1.62,2.07,1.51,1.59,1.8,1.73,1.79,1.86,1.89,1.83,1.36,1.57,1.72
WS2M,2020,1.33,1.64,1.57,1.65,1.88,2.04,2.03,1.73,1.66,1.66,1.45,1.48,1.68
GWETTOP,1981,0.62,0.76,0.77,0.68,0.52,0.37,0.17,0.12,0.17,0.45,0.66,0.8,0.51
GWETTOP,1982,0.91,0.91,0.91,0.92,0.78,0.57,0.42,0.23,0.31,0.41,0.63,0.8,0.65
GWETTOP,1983,0.84,0.93,0.97,0.91,0.85,0.66,0.48,0.33,0.25,0.37,0.67,0.84,0.67
GWETTOP,1984,0.88,0.88,0.84,0.77,0.59,0.45,0.21,0.15,0.21,0.41,0.67,0.77,0.57
GWETTOP,1985,0.77,0.77,0.77,0.67,0.52,0.38,0.18,0.14,0.34,0.32,0.52,0.68,0.5
GWETTOP,1986,0.75,0.89,0.93,0.86,0.72,0.52,0.34,0.17,0.3,0.38,0.31,0.48,0.55
GWETTOP,1987,0.57,0.7,0.75,0.63,0.49,0.32,0.17,0.13,0.12,0.23,0.52,0.73,0.45
GWETTOP,1988,0.84,0.81,0.73,0.61,0.53,0.45,0.21,0.14,0.11,0.18,0.51,0.61,0.48
GWETTOP,1989,0.7,0.67,0.77,0.72,0.57,0.45,0.24,0.16,0.32,0.5,0.52,0.53,0.51
GWETTOP,1990,0.65,0.72,0.7,0.56,0.51,0.49,0.3,0.16,0.16,0.23,0.38,0.48,0.45
GWETTOP,1991,0.49,0.55,0.8,0.77,0.61,0.48,0.3,0.2,0.16,0.21,0.49,0.52,0.46
GWETTOP,1992,0.68,0.79,0.84,0.78,0.59,0.47,0.34,0.16,0.12,0.31,0.51,0.7,0.52
GWETTOP,1993,0.88,0.93,0.91,0.87,0.75,0.61,0.42,0.23,0.16,0.34,0.47,0.62,0.6
GWETTOP,1994,0.66,0.77,0.74,0.64,0.55,0.43,0.21,0.14,0.12,0.34,0.59,0.73,0.49
GWETTOP,1995,0.91,0.93,0.95,0.89,0.84,0.68,0.49,0.3,0.17,0.14,0.23,0.64,0.59
GWETTOP,1996,0.78,0.9,0.91,0.86,0.76,0.55,0.39,0.2,0.16,0.23,0.52,0.72,0.58
GWETTOP,1997,0.89,0.9,0.84,0.73,0.55,0.45,0.24,0.26,0.27,0.41,0.53,0.73,0.56
GWETTOP,1998,0.84,0.96,0.92,0.89,0.84,0.74,0.52,0.34,0.21,0.29,0.53,0.66,0.64
GWETTOP,1999,0.67,0.81,0.84,0.81,0.64,0.48,0.28,0.19,0.14,0.18,0.51,0.54,0.51
GWETTOP,2000,0.62,0.81,0.87,0.78,0.66,0.49,0.33,0.17,0.21,0.36,0.52,0.53,0.53
GWETTOP,2001,0.62,0.74,0.79,0.7,0.52,0.35,0.23,0.19,0.18,0.23,0.56,0.8,0.49
GWETTOP,2002,0.88,0.88,0.85,0.77,0.62,0.48,0.28,0.16,0.12,0.12,0.45,0.72,0.52
GWETTOP,2003,0.88,0.88,0.85,0.84,0.78,0.56,0.38,0.26,0.17,0.13,0.47,0.7,0.57
GWETTOP,2004,0.84,0.88,0.86,0.77,0.58,0.45,0.27,0.19,0.16,0.34,0.56,0.7,0.55
GWETTOP,2005,0.85,0.86,0.88,0.84,0.78,0.62,0.47,0.29,0.18,0.22,0.5,0.69,0.59
