-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  39.1347   Longitude -121.171 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 303.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.67,9.56,9.9,13.87,18.48,25.5,26.62,26.33,23.05,14.87,11.84,8.86,16.58
T2M,1982,4.36,8.53,8.24,10.95,17.18,19.69,24.29,25.09,21.3,15.81,9.55,6.67,14.34
T2M,1983,8.38,8.74,9.13,10.19,15.92,19.33,22.29,24.55,23.11,18.06,9.65,7.79,14.8
T2M,1984,7.94,8.13,11.0,11.55,19.12,22.23,27.79,25.75,24.66,14.34,9.18,6.4,15.7
T2M,1985,6.93,8.42,8.35,15.45,17.33,25.37,28.11,24.3,19.21,16.55,8.66,8.02,15.6
T2M,1986,10.62,9.79,12.4,12.34,16.24,22.27,24.53,25.62,18.51,16.83,13.07,8.9,15.97
T2M,1987,6.37,8.9,9.9,16.5,20.33,24.19,23.91,25.76,23.75,20.3,11.35,6.01,16.48
T2M,1988,7.28,10.48,11.8,14.32,16.67,22.62,28.77,26.27,23.94,19.65,10.12,7.15,16.62
T2M,1989,6.26,6.49,10.33,15.22,17.54,22.84,25.76,23.95,20.65,15.69,12.47,10.01,15.65
T2M,1990,7.6,6.66,11.24,15.81,17.02,21.88,26.58,25.55,22.88,18.94,12.28,5.8,16.08
