-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  39.0916   Longitude -120.8039 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1264.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,4.32,3.54,4.36,8.56,12.01,19.7,22.05,22.51,18.79,9.31,6.34,3.96,11.33
T2M,1982,-0.95,2.88,2.48,5.39,12.37,15.19,20.18,20.9,15.72,10.26,3.73,1.03,9.14
T2M,1983,2.85,2.82,3.35,4.52,11.86,15.13,18.01,20.27,17.88,12.83,3.94,2.3,9.69
T2M,1984,3.62,3.08,5.86,6.12,13.34,16.41,23.4,21.45,19.14,8.72,3.51,0.74,10.48
T2M,1985,2.4,2.58,2.48,9.94,11.37,20.26,23.57,19.99,13.73,11.28,2.91,2.65,10.31
T2M,1986,5.55,3.76,7.25,7.4,11.83,18.29,20.2,22.48,13.19,11.38,7.96,4.29,11.19
T2M,1987,0.94,3.07,4.12,11.01,14.25,19.51,19.12,21.67,19.33,15.15,5.98,0.42,11.25
T2M,1988,1.72,5.96,6.69,8.63,11.12,17.46,24.29,22.35,19.17,15.89,4.41,1.7,11.64
T2M,1989,0.33,0.32,5.02,10.05,11.22,17.48,21.48,19.12,16.09,10.52,7.52,5.38,10.44
T2M,1990,2.24,0.59,5.9,10.25,10.84,16.33,21.97,20.33,17.8,13.81,7.15,0.39,10.69
T2M,1991,3.72,7.33,1.38,6.35,9.26,14.95,21.94,19.94,20.28,15.09,7.44,3.68,10.96
T2M,1992,3.02,4.51,6.12,10.06,16.13,17.21,20.12,22.65,18.49,13.99,6.58,-0.13,11.58
T2M,1993,0.44,1.49,6.78,7.48,11.47,15.08,19.49,20.19,18.66,13.15,6.51,2.4,10.32
T2M,1994,4.29,1.32,6.8,8.55,12.46,18.14,23.24,21.97,17.51,11.02,1.09,1.51,10.73
T2M,1995,2.4,6.84,3.57,6.51,10.09,14.13,19.47,21.08,18.79,14.8,10.58,3.94,11.04
T2M,1996,2.98,3.67,5.76,8.87,11.52,17.54,23.59,23.13,16.89,11.73,6.87,3.44,11.36
T2M,1997,2.69,3.69,7.48,8.2,15.82,17.15,21.71,20.97,18.15,11.05,6.93,1.95,11.37
T2M,1998,2.7,1.2,4.91,5.95,7.26,13.84,21.24,22.8,18.03,10.53,4.29,1.61,9.58
T2M,1999,3.08,1.26,3.58,5.8,11.44,16.31,20.49,19.42,20.12,15.27,7.77,4.09,10.78
T2M,2000,2.99,3.23,5.47,9.19,12.28,19.6,20.3,21.94,17.15,11.18,4.12,4.56,11.03
T2M,2001,1.58,1.38,7.4,5.7,17.42,19.0,21.83,22.48,19.45,15.07,6.86,1.04,11.67
T2M,2002,0.25,4.38,4.39,8.57,11.62,18.78,23.95,21.77,19.01,12.9,7.82,2.51,11.37
T2M,2003,6.09,3.35,5.98,4.19,12.0,18.38,24.18,20.99,20.86,16.39,4.11,2.22,11.62
T2M,2004,2.01,2.13,9.21,9.37,12.93,19.16,22.7,21.74,18.19,11.02,5.02,3.42,11.44
T2M,2005,1.9,4.21,5.86,6.98,11.89,14.07,24.03,22.98,16.31,12.51,8.17,3.91,11.12
T2M,2006,2.15,4.2,0.51,6.96,13.55,19.24,24.23,21.15,18.66,11.87,6.23,2.98,11.01
T2M,2007,1.85,3.58,7.4,8.44,13.99,18.48,22.98,21.9,16.0,10.39,8.75,0.43,11.23
T2M,2008,-0.1,2.05,5.34,7.16,12.92,19.13,23.35,22.87,19.65,13.35,8.5,1.57,11.34
T2M,2009,4.26,2.45,4.58,7.68,14.55,16.23,23.23,21.69,20.51,10.98,6.65,0.79,11.19
T2M,2010,2.8,3.46,4.4,5.05,8.35,15.87,22.48,20.26,18.6,12.5,4.12,2.47,10.08
T2M,2011,2.92,0.77,2.73,6.57,8.48,14.4,20.26,21.87,20.91,12.57,4.83,3.89,10.08
T2M,2012,4.46,3.62,3.45,7.92,12.69,16.69,21.86,24.15,20.93,12.94,7.17,1.23,11.45
T2M,2013,0.63,3.18,7.35,9.9,13.32,19.42,24.01,20.73,16.87,11.76,7.86,3.65,11.61
T2M,2014,7.34,4.58,6.8,9.22,13.3,19.2,24.37,21.5,18.98,14.36,7.84,3.88,12.67
T2M,2015,6.05,7.96,9.12,9.17,12.29,21.05,22.04,21.84,19.04,15.25,4.21,0.76,12.42
T2M,2016,2.34,6.42,6.2,9.73,12.48,19.03,22.54,23.03,18.43,11.03,6.37,2.29,11.67
T2M,2017,0.15,3.12,6.57,7.7,13.41,19.05,24.65,24.46,18.3,13.69,6.73,5.01,11.97
T2M,2018,5.28,3.52,3.37,8.9,12.77,18.54,25.5,22.82,19.07,13.34,9.08,2.69,12.12
T2M,2019,3.8,-0.81,4.37,10.06,10.66,18.48,22.25,23.21,17.15,11.63,9.3,3.11,11.17
T2M,2020,3.29,5.65,4.05,9.48,13.47,18.82,23.62,24.46,21.38,17.13,6.86,4.09,12.72
QV2M,1981,4.21,4.46,4.7,5.55,6.23,5.55,3.42,3.91,4.46,4.46,5.25,4.94,4.76
QV2M,1982,3.54,4.52,4.52,4.88,6.77,7.14,6.04,4.88,5.07,4.94,4.27,3.97,5.07
QV2M,1983,4.39,4.82,5.13,4.82,6.96,7.51,5.74,6.47,5.49,5.31,5.07,4.88,5.55
QV2M,1984,4.27,4.21,4.88,4.88,6.59,5.49,5.37,5.07,4.64,4.76,4.58,3.85,4.88
QV2M,1985,3.66,3.91,4.09,5.62,4.94,5.55,5.19,3.97,5.19,4.33,3.91,4.15,4.52
QV2M,1986,5.13,5.07,5.92,5.49,6.71,6.35,5.31,3.78,4.64,4.64,3.36,3.42,5.0
QV2M,1987,3.36,3.85,4.46,5.55,6.29,5.0,4.52,4.15,3.85,4.33,4.39,3.91,4.46
QV2M,1988,4.21,4.27,4.21,5.0,5.0,6.53,5.43,5.07,3.6,3.54,4.76,3.6,4.58
QV2M,1989,3.66,4.03,5.37,6.1,6.29,6.71,4.58,4.76,4.88,4.7,4.03,3.48,4.88
QV2M,1990,3.97,3.72,4.88,6.23,5.43,5.98,6.29,5.55,4.46,3.78,3.23,2.56,4.7
QV2M,1991,3.11,4.03,4.27,4.88,5.8,6.1,6.41,5.86,4.76,3.85,4.39,3.66,4.76
