-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  38.4747   Longitude -121.3542 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 128.08 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.73,10.65,10.94,14.5,19.05,25.76,25.87,25.56,22.87,15.65,13.0,9.71,17.05
T2M,1982,5.43,9.57,9.36,11.8,17.04,19.33,23.87,24.71,21.56,16.6,10.64,7.65,14.83
T2M,1983,9.15,9.98,10.3,11.2,15.83,19.4,22.44,24.62,23.45,18.78,10.89,9.05,15.46
T2M,1984,8.68,9.04,11.72,12.44,19.83,22.48,27.42,25.44,25.3,15.47,10.49,7.53,16.34
T2M,1985,7.62,9.4,9.3,16.09,17.61,25.01,27.44,23.9,19.93,17.26,9.91,9.18,16.09
T2M,1986,11.48,10.87,13.13,12.96,16.55,22.08,24.51,25.12,19.12,17.51,14.21,9.75,16.48
T2M,1987,7.69,9.94,10.97,16.87,20.65,23.83,23.4,25.15,23.37,20.78,12.23,7.52,16.9
T2M,1988,8.68,11.24,12.78,15.4,17.26,22.8,28.08,25.43,23.55,19.27,11.61,8.4,17.06
T2M,1989,7.27,7.58,11.37,15.76,17.94,22.76,25.43,23.65,20.8,16.56,13.18,10.5,16.12
T2M,1990,8.69,7.51,11.85,16.41,17.66,22.12,26.04,25.3,22.96,19.4,13.18,6.68,16.53
