-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  34.9592   Longitude -116.4194 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 616.12 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.45,11.05,12.44,18.54,22.07,29.94,31.96,31.57,26.98,16.93,14.37,10.17,19.75
T2M,1982,6.35,10.04,11.65,15.8,21.99,25.62,30.05,29.86,25.11,17.98,10.46,7.43,17.74
T2M,1983,8.1,9.91,11.3,12.97,20.83,26.08,29.93,28.73,26.83,19.75,12.29,8.45,17.98
T2M,1984,7.73,9.78,14.12,16.46,25.73,27.55,31.16,29.19,27.85,16.94,11.48,6.22,18.71
T2M,1985,6.08,8.69,11.54,19.29,22.87,29.58,32.37,30.29,22.93,19.83,10.66,8.05,18.57
T2M,1986,10.98,11.23,15.76,16.91,22.87,29.32,29.58,31.96,22.62,18.69,12.9,8.23,19.31
T2M,1987,6.15,9.37,11.63,19.9,22.84,28.8,28.9,30.54,26.66,21.98,11.76,5.69,18.73
T2M,1988,6.61,11.11,13.68,17.18,21.63,27.58,32.76,29.6,25.65,23.47,12.72,7.25,19.12
T2M,1989,5.72,9.13,15.19,21.55,22.87,27.87,32.82,28.99,26.24,19.18,13.74,9.02,19.41
T2M,1990,7.62,8.75,14.65,19.48,21.66,27.94,31.7,29.45,26.32,20.87,12.8,4.96,18.9
T2M,1991,7.07,13.58,9.67,15.47,19.7,25.81,30.51,29.3,26.98,21.92,13.15,8.45,18.49
T2M,1992,6.8,11.28,12.39,18.51,23.69,26.58,29.97,31.58,27.77,21.76,11.17,5.6,18.94
T2M,1993,6.87,8.58,13.71,16.76,22.14,26.26,29.12,29.84,26.51,20.05,11.14,7.51,18.26
T2M,1994,9.37,8.06,15.15,18.12,22.01,30.4,32.4,32.29,27.3,19.01,8.47,7.95,19.28
T2M,1995,7.74,13.04,12.69,15.37,19.2,25.62,31.69,32.22,28.44,21.43,17.15,10.2,19.6
T2M,1996,9.81,12.32,13.95,18.92,23.13,28.99,33.74,32.26,26.57,19.3,13.1,8.9,20.11
T2M,1997,8.67,10.12,16.29,17.65,27.32,27.8,30.12,31.73,27.23,18.62,13.69,6.78,19.73
T2M,1998,9.2,8.8,12.73,14.4,17.99,24.33,32.31,33.19,25.62,18.61,12.65,8.24,18.24
T2M,1999,10.22,10.42,13.09,14.13,21.62,27.11,29.63,30.45,27.35,22.49,16.05,8.96,19.34
