-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  32.7157   Longitude -117.1611 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 393.62 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,13.52,13.96,12.84,15.37,16.84,23.51,24.3,24.9,22.66,16.89,15.87,13.66,17.87
T2M,1982,10.34,12.48,12.59,14.45,15.8,16.55,22.39,24.26,21.93,19.07,13.8,11.51,16.29
T2M,1983,12.21,12.66,12.69,12.9,16.69,17.75,21.91,24.34,23.96,19.75,14.95,12.3,16.87
T2M,1984,12.44,12.93,14.94,15.44,20.06,20.01,24.67,24.24,25.33,17.51,13.5,10.69,17.66
T2M,1985,10.06,11.41,11.83,16.48,15.97,21.08,24.35,22.98,20.11,18.9,13.15,11.73,16.53
T2M,1986,13.87,13.34,14.95,14.92,17.21,20.6,21.76,25.02,18.58,17.76,15.61,12.49,17.2
T2M,1987,10.93,12.06,12.82,17.55,18.36,20.34,19.58,22.0,21.92,20.19,14.21,10.14,16.69
T2M,1988,10.88,13.47,14.67,15.63,17.26,18.95,23.21,22.15,21.71,19.83,14.35,11.1,16.94
T2M,1989,10.05,11.4,14.36,17.27,17.02,19.69,23.35,21.28,22.55,18.06,16.05,13.33,17.06
T2M,1990,11.69,11.11,13.29,15.65,16.03,21.56,23.8,22.33,22.73,20.58,15.33,10.56,17.08
T2M,1991,11.82,14.92,11.26,14.16,14.74,16.76,20.26,21.51,21.9,20.73,15.76,11.85,16.31
T2M,1992,11.37,13.59,12.91,17.25,17.96,18.96,22.61,24.69,23.22,19.39,15.01,10.58,17.3
T2M,1993,11.33,11.62,14.39,16.16,17.47,20.51,19.42,22.33,22.07,19.16,14.55,11.58,16.74
T2M,1994,13.18,11.26,14.4,14.84,15.34,21.21,21.58,24.83,21.88,17.73,11.8,11.43,16.65
T2M,1995,11.3,14.47,13.84,14.15,14.36,17.9,22.87,25.08,23.49,19.6,17.55,13.19,17.33
T2M,1996,12.69,13.19,13.8,16.9,17.48,19.71,23.57,24.74,21.34,18.18,14.8,12.36,17.41
T2M,1997,11.76,12.02,15.61,15.57,20.14,18.42,20.76,23.7,24.13,18.37,16.37,11.6,17.4
T2M,1998,12.78,11.24,12.77,13.59,14.13,16.94,22.23,25.33,20.87,17.81,14.31,11.22,16.14
T2M,1999,12.23,11.66,11.2,12.53,14.66,18.07,21.44,22.65,20.38,21.23,16.01,12.76,16.26
T2M,2000,13.19,12.44,13.11,15.78,18.12,20.76,21.63,23.92,21.9,17.04,12.94,14.03,17.09
T2M,2001,10.83,10.68,13.12,13.28,18.34,20.83,21.51,23.01,21.87,19.13,15.43,11.05,16.62
T2M,2002,11.44,13.51,12.83,14.09,15.42,18.51,21.54,21.54,22.8,16.43,15.94,11.93,16.33
T2M,2003,15.07,12.61,14.0,13.17,15.94,17.61,23.52,24.06,22.9,21.12,13.65,12.06,17.19
T2M,2004,12.08,11.37,16.28,15.7,18.19,18.44,22.24,22.11,22.31,17.4,12.82,11.92,16.76
T2M,2005,12.14,12.24,13.63,14.45,17.31,17.58,23.41,23.23,20.55,18.15,16.02,13.48,16.88
T2M,2006,12.4,13.61,10.92,13.55,17.07,22.01,25.8,22.44,22.32,17.33,16.48,12.16,17.19
T2M,2007,10.17,12.15,14.31,14.37,16.24,19.08,22.51,23.73,20.75,18.55,15.79,10.51,16.54
T2M,2008,10.57,11.77,13.78,15.2,16.33,20.83,22.65,23.53,22.89,20.87,17.46,11.26,17.27
T2M,2009,12.92,11.8,13.07,14.16,17.49,17.87,23.04,22.86,23.73,18.08,15.51,11.15,16.83
T2M,2010,12.55,12.07,13.08,12.98,14.94,17.22,19.81,21.67,21.58,17.54,13.8,12.62,15.84
T2M,2011,11.93,10.32,12.83,14.55,15.11,16.73,21.16,22.44,21.71,19.22,13.8,10.8,15.92
T2M,2012,13.04,11.94,12.12,14.97,16.47,17.89,21.37,24.94,24.69,19.92,15.71,12.03,17.11
T2M,2013,10.7,11.4,14.23,14.77,17.62,18.98,22.21,22.21,22.32,17.57,15.3,12.26,16.66
T2M,2014,15.08,14.19,14.85,16.14,18.9,19.38,23.06,23.22,23.91,21.19,16.57,13.44,18.36
T2M,2015,13.56,15.5,17.11,16.16,15.73,20.73,21.52,23.58,23.75,21.78,14.91,11.94,18.04
T2M,2016,11.94,15.55,14.8,16.34,15.75,21.32,22.74,23.1,21.27,19.62,17.13,12.31,17.65
T2M,2017,11.12,12.62,15.44,15.95,16.59,20.38,23.87,23.41,21.83,20.62,17.35,14.9,17.87
