-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  37.9176   Longitude -121.171 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 97.83 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.55,10.57,11.01,14.63,18.58,25.05,24.88,24.44,22.12,15.4,13.11,9.73,16.7
T2M,1982,5.44,9.62,9.49,11.87,16.99,19.46,23.4,23.84,20.93,16.37,10.48,7.55,14.65
T2M,1983,8.8,10.08,10.61,11.31,15.48,19.76,22.31,24.49,23.18,18.5,11.13,9.36,15.45
T2M,1984,8.3,9.12,11.84,12.94,19.79,21.98,26.62,24.61,24.61,15.44,10.6,7.36,16.12
T2M,1985,7.32,9.26,9.54,16.09,17.3,24.13,26.23,23.04,19.66,16.76,9.74,8.46,15.66
T2M,1986,11.27,10.86,12.88,12.88,16.98,21.83,24.27,24.52,18.81,16.97,14.05,9.44,16.27
T2M,1987,7.58,10.08,11.21,16.59,20.03,22.9,22.25,24.17,22.19,19.92,11.94,7.55,16.4
T2M,1988,8.62,10.98,12.76,15.38,17.06,22.2,26.74,24.41,22.36,18.4,11.88,8.3,16.61
T2M,1989,7.05,7.73,11.8,16.09,17.87,22.26,24.17,23.06,20.19,16.23,12.44,9.64,15.76
T2M,1990,8.62,7.62,11.95,16.57,17.65,21.36,25.15,24.4,22.15,18.74,12.76,6.34,16.15
T2M,1991,8.64,12.76,9.4,12.82,16.25,20.3,24.78,22.76,22.8,19.89,12.73,9.37,16.05
T2M,1992,8.44,11.49,12.41,15.83,21.46,22.13,24.51,25.29,22.48,19.36,12.65,7.54,16.98
T2M,1993,7.76,9.05,13.01,13.19,17.64,21.55,23.75,24.22,22.11,18.56,12.09,8.58,16.01
T2M,1994,9.6,8.67,12.89,14.78,17.65,22.08,24.27,24.37,22.01,17.2,8.84,7.68,15.88
T2M,1995,9.72,11.51,10.55,12.33,15.48,19.62,23.7,24.57,22.03,19.44,15.53,10.55,16.28
T2M,1996,9.39,10.98,12.05,14.69,17.84,21.75,26.12,25.36,21.23,17.15,12.67,10.19,16.64
T2M,1997,9.0,9.49,12.58,14.96,21.39,22.27,24.82,24.48,23.77,17.27,13.8,7.94,16.85
T2M,1998,9.81,8.78,11.36,12.22,13.6,18.81,23.61,25.58,22.74,16.79,11.11,6.61,15.12
T2M,1999,8.44,8.61,9.66,12.9,16.49,20.69,23.12,23.19,22.73,19.34,13.51,9.3,15.7
T2M,2000,9.72,10.5,11.07,14.82,18.22,23.12,22.78,24.16,22.32,16.29,9.79,9.48,16.04
T2M,2001,7.76,8.48,12.94,12.63,21.78,23.53,24.08,23.82,21.99,18.98,13.65,8.72,16.58
T2M,2002,6.92,10.19,10.98,14.4,17.25,21.75,24.8,23.42,22.73,17.11,13.51,9.65,16.08
T2M,2003,11.21,9.58,12.34,11.81,17.7,22.09,26.44,24.22,23.37,19.8,11.15,9.48,16.65
T2M,2004,8.2,9.36,14.73,15.93,18.63,22.23,24.67,24.39,22.75,17.0,11.13,9.37,16.55
T2M,2005,7.98,11.11,12.44,13.19,17.83,20.29,26.23,25.22,20.44,17.51,13.79,10.47,16.41
T2M,2006,8.69,10.08,8.6,12.78,17.89,22.71,26.87,23.26,21.75,16.76,12.04,8.26,15.84
T2M,2007,6.57,10.09,13.55,14.66,18.26,21.77,24.41,24.32,20.81,16.18,12.82,7.04,15.9
T2M,2008,7.02,8.84,11.15,13.82,18.45,22.66,24.3,24.58,22.68,18.36,13.61,6.9,16.05
T2M,2009,9.09,9.61,10.97,14.24,19.45,20.82,24.36,23.9,23.4,15.99,11.65,7.24,15.93
T2M,2010,8.85,9.81,10.59,11.69,14.83,20.97,23.13,22.2,22.4,18.09,11.29,9.64,15.32
T2M,2011,7.8,7.99,10.45,12.55,14.71,19.58,23.13,23.29,23.51,17.94,11.12,7.76,15.02
T2M,2012,9.43,10.32,11.14,14.52,18.17,21.38,23.76,24.64,21.83,18.33,13.13,8.2,16.25
T2M,2013,6.91,8.72,13.01,16.29,19.34,23.15,25.19,23.39,21.38,16.94,13.55,7.9,16.35
T2M,2014,11.33,11.29,13.97,15.67,19.66,22.81,26.01,24.24,22.76,20.05,13.45,10.76,17.71
T2M,2015,9.65,12.69,14.98,15.3,16.83,23.33,25.01,24.44,23.14,20.4,10.87,8.04,17.08
T2M,2016,9.62,12.08,12.73,15.33,18.21,22.72,24.46,23.42,21.99,17.7,13.32,7.8,16.62
T2M,2017,7.35,10.62,12.33,13.55,17.49,21.97,25.53,25.12,23.75,18.73,13.68,9.15,16.64
T2M,2018,10.47,10.11,11.47,14.35,17.41,21.86,25.85,23.44,21.51,18.37,13.88,9.05,16.52
T2M,2019,10.26,7.6,11.33,15.47,15.9,22.48,24.12,25.26,22.46,17.89,13.44,9.69,16.37
T2M,2020,9.04,11.51,11.69,15.32,19.9,23.19,24.62,26.12,23.85,20.71,12.17,9.44,17.31
QV2M,1981,5.0,5.49,6.04,6.35,6.59,6.04,5.49,6.47,6.29,5.8,6.53,6.1,6.04
QV2M,1982,4.7,6.16,6.04,6.77,8.06,7.39,6.9,6.65,6.53,6.16,5.19,5.19,6.29
QV2M,1983,5.68,6.47,6.9,6.53,8.18,8.24,7.2,7.63,7.2,6.96,6.29,6.41,6.96
QV2M,1984,5.55,5.68,6.47,5.74,6.59,6.04,5.92,6.77,5.86,6.35,5.74,4.94,5.98
QV2M,1985,4.58,5.25,5.31,6.59,5.86,6.35,6.16,6.1,6.65,5.37,4.76,4.88,5.68
QV2M,1986,6.23,6.84,7.69,6.96,7.32,6.9,6.41,6.35,6.41,5.92,4.09,4.21,6.29
QV2M,1987,4.21,5.0,5.74,6.23,7.02,5.68,6.59,6.29,6.29,6.35,5.62,4.76,5.8
QV2M,1988,5.31,5.49,5.37,5.92,5.98,6.9,6.77,6.9,5.43,6.16,5.98,4.39,5.92
QV2M,1989,4.39,4.82,6.77,7.26,6.84,6.65,6.23,6.53,6.9,6.41,5.25,4.27,6.04
QV2M,1990,5.07,4.7,6.16,6.71,6.35,7.14,7.14,7.39,7.2,5.25,4.21,3.3,5.86
QV2M,1991,4.21,5.49,5.68,6.16,6.23,6.47,7.2,7.51,7.14,5.86,5.37,4.33,5.98
QV2M,1992,4.82,6.65,7.26,7.51,7.87,7.51,7.51,6.96,6.53,7.02,4.94,4.7,6.59
QV2M,1993,5.55,6.04,7.75,7.2,7.87,7.51,6.96,6.9,6.23,6.29,4.03,4.7,6.41
QV2M,1994,4.82,5.07,6.16,6.41,7.08,5.92,6.41,6.41,7.14,5.86,4.58,5.0,5.92
QV2M,1995,6.59,7.08,6.65,7.14,8.12,7.87,8.12,6.47,7.14,5.43,6.41,6.16,6.9
QV2M,1996,5.86,7.14,6.84,7.57,7.63,7.39,6.96,6.53,6.16,5.68,6.04,6.29,6.65
QV2M,1997,6.29,5.92,6.96,6.65,7.69,7.14,7.14,7.75,7.2,6.04,6.35,4.7,6.65
QV2M,1998,6.65,6.23,7.02,7.08,7.51,8.54,8.3,7.02,7.81,5.49,6.04,4.52,6.84
QV2M,1999,5.13,5.62,5.8,6.04,6.41,6.47,6.29,7.2,6.35,5.62,6.04,4.27,5.92
QV2M,2000,5.92,6.53,6.41,7.08,7.51,7.39,6.77,6.9,6.77,6.71,4.82,4.76,6.47
QV2M,2001,4.33,5.19,7.08,5.92,6.71,5.92,6.96,7.45,7.2,6.23,6.41,5.62,6.23
QV2M,2002,5.13,5.98,5.92,6.84,6.59,6.9,7.2,6.65,6.23,5.62,5.49,5.92,6.23
QV2M,2003,6.9,5.62,6.65,6.1,7.26,7.32,7.14,8.0,6.96,5.86,5.31,5.62,6.59
QV2M,2004,5.55,5.74,7.39,6.29,6.71,6.9,7.45,7.69,6.04,6.53,5.43,5.25,6.41
QV2M,2005,5.74,6.71,7.02,6.65,8.24,7.51,7.93,7.2,6.47,6.35,5.43,6.1,6.77
QV2M,2006,5.86,5.74,5.68,7.57,8.36,8.42,7.69,7.2,6.41,5.68,6.47,4.46,6.65
QV2M,2007,3.91,5.98,6.35,6.16,6.1,6.47,8.0,7.63,7.2,6.41,5.49,4.46,6.16
QV2M,2008,5.0,5.74,5.92,5.55,6.29,5.62,7.51,7.57,6.29,5.37,6.59,4.58,5.98
QV2M,2009,4.64,5.68,6.1,5.98,7.39,7.39,6.77,7.2,7.39,6.65,5.25,4.82,6.29
QV2M,2010,5.8,6.41,6.16,6.41,6.59,7.69,7.26,6.96,6.59,6.84,5.68,6.23,6.53
QV2M,2011,5.43,5.07,6.65,6.84,6.53,7.75,7.75,7.2,7.2,7.39,5.25,3.66,6.41
QV2M,2012,4.58,5.0,5.55,6.9,6.35,6.41,6.84,6.65,6.47,6.77,6.29,5.74,6.1
