-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  35.3102   Longitude -120.4358 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 328.48 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,11.27,10.81,10.53,13.9,17.26,23.59,22.76,23.16,20.82,15.65,13.18,10.47,16.14
T2M,1982,7.28,9.95,9.67,12.03,16.09,17.51,22.48,23.34,20.41,16.85,11.52,8.69,14.68
T2M,1983,10.1,10.42,10.56,10.54,15.55,19.24,21.94,22.98,22.2,17.65,11.83,9.51,15.24
T2M,1984,10.29,10.01,12.8,13.09,20.12,20.47,23.72,23.71,24.27,15.48,10.94,7.83,16.08
T2M,1985,8.39,10.09,9.58,15.72,16.17,21.37,24.9,22.4,18.62,16.65,10.74,10.26,15.44
T2M,1986,11.83,11.23,12.7,12.73,17.01,20.81,21.51,23.44,17.58,17.44,14.27,10.65,15.97
T2M,1987,8.37,10.17,10.92,16.06,18.47,20.23,19.9,20.84,21.77,19.23,12.16,8.07,15.54
T2M,1988,9.21,11.62,13.19,14.1,16.39,19.36,23.39,21.4,21.55,18.64,12.3,9.36,15.89
T2M,1989,7.93,8.28,12.01,16.51,17.19,20.4,24.0,20.62,20.12,16.4,14.08,11.69,15.81
T2M,1990,9.23,8.82,12.09,15.76,16.15,20.8,23.0,21.81,21.05,19.1,13.5,7.92,15.8
T2M,1991,9.48,13.01,8.97,11.62,14.33,17.19,20.39,21.25,21.3,19.81,13.62,10.51,15.13
T2M,1992,9.17,11.83,11.39,15.4,18.56,18.83,22.42,24.51,21.41,18.94,13.06,8.8,16.21
T2M,1993,9.12,9.55,12.51,12.95,16.05,21.04,20.55,21.82,21.12,18.34,13.18,9.69,15.52
T2M,1994,10.62,9.2,12.7,13.94,15.93,21.85,20.29,23.49,19.62,16.23,9.43,8.8,15.21
T2M,1995,10.07,12.18,11.23,12.3,13.93,18.28,22.23,22.01,21.19,18.53,15.72,11.11,15.75
T2M,1996,10.36,11.25,12.06,14.74,17.51,21.05,23.19,23.58,19.6,16.98,12.56,10.3,16.12
T2M,1997,9.76,9.69,12.32,14.21,21.11,19.65,20.73,22.5,22.4,17.47,14.08,8.69,16.08
T2M,1998,10.14,9.43,10.85,11.2,12.48,16.44,22.02,24.26,20.01,15.85,11.46,7.55,14.34
T2M,1999,9.74,9.05,9.23,11.55,14.63,18.17,20.33,21.11,19.6,19.12,13.19,10.37,14.71
T2M,2000,10.05,10.37,10.63,13.65,17.4,19.88,20.99,22.23,20.47,15.62,10.12,11.12,15.23
T2M,2001,8.76,8.56,11.95,11.35,19.33,21.33,20.15,21.65,19.9,17.98,13.48,9.12,15.33
T2M,2002,7.82,10.78,10.79,13.5,16.15,19.9,21.09,20.5,21.63,15.82,13.79,9.87,15.15
T2M,2003,11.95,10.12,11.99,11.33,16.44,19.35,23.61,22.08,21.24,19.9,11.25,9.7,15.8
T2M,2004,9.03,9.08,14.66,15.09,17.62,19.87,20.83,21.4,21.48,16.09,11.14,10.02,15.55
T2M,2005,9.58,10.86,12.06,11.97,16.29,17.38,22.38,22.16,18.62,16.72,14.19,11.07,15.3
T2M,2006,9.16,10.61,8.31,11.65,16.82,21.05,25.46,20.18,19.65,16.16,13.44,9.71,15.21
T2M,2007,7.82,10.31,13.61,14.37,16.68,19.87,22.3,22.09,19.3,16.26,14.05,8.21,15.43
T2M,2008,8.3,9.55,11.65,13.38,16.42,21.09,22.12,22.14,20.76,18.62,14.6,8.82,15.63
T2M,2009,10.51,9.87,11.18,13.02,17.87,18.1,21.95,21.55,22.77,15.64,12.12,8.87,15.32
T2M,2010,10.23,9.84,10.9,11.4,14.47,19.22,19.31,19.92,20.63,17.14,11.71,10.3,14.62
T2M,2011,9.49,8.52,10.48,12.18,14.33,17.32,20.62,20.96,21.09,17.33,11.85,8.9,14.46
T2M,2012,10.52,10.12,10.83,13.62,17.23,18.83,20.03,23.08,21.15,17.8,13.76,9.36,15.55
T2M,2013,8.25,9.4,13.02,15.51,18.13,20.32,20.63,21.23,20.54,16.47,13.9,10.14,15.66
T2M,2014,13.59,11.63,13.47,14.85,18.89,19.8,21.86,21.07,20.79,19.8,14.2,11.4,16.81
T2M,2015,11.87,13.69,15.64,14.78,14.93,20.9,20.85,22.02,22.58,20.51,11.85,8.75,16.55
T2M,2016,10.35,12.98,12.91,15.07,16.05,22.44,21.75,20.25,20.73,16.85,13.69,9.21,16.02
T2M,2017,8.76,10.38,12.26,13.5,16.63,20.83,23.71,22.69,21.46,18.66,14.28,11.47,16.25
T2M,2018,12.26,10.79,11.21,14.02,15.79,20.22,24.2,22.42,20.07,18.19,15.11,9.97,16.22
T2M,2019,10.7,8.14,10.9,14.51,14.69,19.08,22.08,22.41,21.74,17.56,14.3,10.35,15.58
T2M,2020,9.19,11.51,10.66,14.12,17.79,19.57,20.12,23.53,22.78,20.26,13.24,10.8,16.14
QV2M,1981,5.43,5.68,6.35,6.1,6.1,5.62,5.55,6.23,6.53,5.49,6.84,5.98,5.98
QV2M,1982,4.82,5.98,6.04,6.53,7.2,6.84,6.35,6.16,6.84,5.92,5.68,5.49,6.16
QV2M,1983,6.04,6.84,7.02,6.35,7.57,7.14,6.35,7.75,7.45,7.63,6.65,6.41,6.96
QV2M,1984,5.62,5.43,5.68,5.13,5.43,5.62,6.41,7.14,7.02,6.35,5.92,5.43,5.92
QV2M,1985,4.88,5.25,5.31,5.86,5.43,6.23,5.92,6.35,7.02,5.55,5.19,5.25,5.68
QV2M,1986,6.35,7.2,7.51,6.53,6.29,6.23,6.77,6.04,6.77,5.92,4.82,5.13,6.29
QV2M,1987,4.88,5.25,5.86,5.92,6.53,5.86,6.77,7.08,6.59,7.2,6.35,5.49,6.16
QV2M,1988,5.49,5.55,5.49,5.8,5.8,6.77,7.45,7.81,6.16,6.35,6.16,4.76,6.16
