-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  37.4337   Longitude -122.4014 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 65.91 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,11.83,11.51,11.3,11.97,12.95,15.05,14.56,15.11,15.4,13.66,13.3,11.77,13.21
T2M,1982,8.51,10.74,10.51,11.67,12.06,13.37,14.26,14.91,15.46,14.83,12.45,10.62,12.45
T2M,1983,11.3,12.52,12.28,11.78,13.15,13.99,15.26,16.67,17.52,16.37,13.65,11.69,13.86
T2M,1984,10.35,10.88,12.01,11.01,13.02,13.25,15.77,15.83,17.06,14.25,12.19,9.89,12.97
T2M,1985,9.61,10.43,9.78,12.04,12.16,14.6,15.12,15.57,15.35,14.2,10.6,9.59,12.43
T2M,1986,12.34,12.58,13.03,11.87,12.46,14.71,14.72,14.93,15.01,14.58,12.96,11.42,13.39
T2M,1987,10.15,11.53,11.61,12.61,13.73,13.84,14.57,15.34,15.62,15.88,13.21,10.58,13.23
T2M,1988,10.45,11.15,11.65,12.12,12.56,14.08,15.01,15.41,14.62,14.01,12.43,10.23,12.81
T2M,1989,8.83,8.65,11.25,13.23,12.98,14.29,14.27,14.81,15.22,14.55,12.85,11.29,12.7
T2M,1990,10.67,9.26,10.73,12.69,13.05,14.25,15.18,16.38,16.74,14.66,12.15,8.56,12.88
T2M,1991,10.05,11.73,10.44,11.15,11.29,12.66,14.4,15.64,15.08,15.19,12.21,10.54,12.54
T2M,1992,10.35,12.62,13.06,13.98,14.68,14.62,16.17,15.4,15.84,16.05,13.36,10.58,13.9
T2M,1993,10.13,11.11,12.53,12.44,13.84,15.1,14.65,16.29,15.21,15.46,12.83,10.64,13.37
T2M,1994,10.83,10.73,12.13,12.17,12.58,13.43,13.86,15.05,15.71,14.63,10.47,9.72,12.62
T2M,1995,11.73,11.81,11.94,11.72,12.27,13.48,15.8,15.1,15.41,14.77,13.29,11.98,13.29
T2M,1996,11.33,12.12,12.31,13.08,13.12,13.16,14.62,14.6,14.86,14.12,12.36,11.55,13.11
T2M,1997,10.88,10.95,11.28,12.01,15.08,14.38,15.29,17.06,18.01,15.47,14.87,11.55,13.91
T2M,1998,12.58,11.61,11.76,11.55,12.78,14.63,14.68,15.6,15.62,14.4,12.23,9.03,13.05
T2M,1999,9.68,9.89,9.73,10.59,10.81,12.51,13.73,15.31,15.03,14.85,12.9,10.48,12.14
T2M,2000,10.68,11.48,10.8,12.17,13.21,14.24,13.96,14.3,16.29,13.72,10.94,10.83,12.72
T2M,2001,9.92,10.07,11.74,10.4,13.52,13.55,14.39,14.8,14.71,14.73,13.01,10.81,12.65
T2M,2002,9.39,10.64,10.64,11.54,11.76,13.05,14.45,14.99,15.5,14.17,13.15,12.08,12.62
T2M,2003,12.3,11.28,12.08,11.26,12.45,14.02,14.3,16.56,16.58,14.8,12.18,11.49,13.29
T2M,2004,10.49,10.67,12.62,12.3,13.1,13.59,15.18,16.23,16.23,14.49,12.49,10.9,13.2
T2M,2005,10.47,11.98,13.05,11.77,14.15,13.47,14.62,14.81,14.46,13.98,13.33,11.71,13.16
T2M,2006,11.01,10.94,10.12,11.94,12.79,14.19,15.05,15.02,14.72,14.93,12.95,10.6,12.87
T2M,2007,8.87,10.77,11.6,11.19,12.12,13.02,15.17,15.45,16.02,14.07,12.68,9.69,12.56
T2M,2008,9.3,10.02,10.52,10.78,11.98,13.18,14.55,15.37,15.62,15.13,13.37,9.73,12.47
T2M,2009,10.23,10.65,10.77,11.13,12.05,14.13,14.3,15.44,15.92,14.01,11.93,9.61,12.52
T2M,2010,10.74,11.45,11.3,11.22,11.47,13.37,13.59,14.46,15.65,14.6,12.13,11.05,12.59
T2M,2011,9.95,9.7,11.07,11.06,11.57,13.11,14.23,14.45,15.41,15.45,11.68,9.95,12.32
T2M,2012,10.27,10.51,10.41,11.74,11.91,13.19,14.01,14.51,13.97,15.27,13.76,11.22,12.57
T2M,2013,9.19,9.79,10.8,12.01,13.17,14.15,14.89,15.76,16.58,13.94,12.71,9.95,12.76
T2M,2014,12.07,11.59,13.06,12.73,14.05,14.2,16.4,16.9,17.44,17.48,14.76,13.31,14.52
T2M,2015,12.11,13.7,13.67,12.28,12.26,14.61,17.05,17.64,17.47,17.4,12.62,11.36,14.36
T2M,2016,11.92,12.92,12.85,13.47,13.44,14.47,14.54,15.03,15.91,15.49,14.26,10.39,13.72
T2M,2017,9.95,11.76,12.4,12.8,12.87,14.07,14.55,16.33,18.33,15.76,14.08,11.34,13.69
T2M,2018,11.93,11.58,11.69,12.24,12.7,13.83,15.37,15.23,15.23,15.89,14.34,12.14,13.53
T2M,2019,12.05,10.34,11.87,13.06,12.77,15.13,15.07,16.83,17.54,15.55,13.01,11.97,13.79
T2M,2020,11.05,11.79,11.48,12.47,14.23,14.73,14.49,16.18,16.98,16.59,12.47,10.97,13.62
QV2M,1981,6.71,6.71,6.77,7.02,7.57,8.18,8.48,8.97,8.97,7.93,7.81,7.45,7.69
QV2M,1982,5.68,6.71,6.53,6.84,7.51,8.18,8.67,8.91,8.73,8.06,6.84,6.35,7.39
QV2M,1983,6.71,7.39,7.45,6.9,7.87,8.54,9.09,9.89,9.83,9.22,7.87,7.51,8.18
QV2M,1984,6.65,6.65,7.2,6.59,7.39,7.81,8.79,9.28,8.67,8.24,7.39,6.16,7.57
QV2M,1985,5.86,6.29,6.16,7.26,7.26,8.42,8.54,8.91,8.67,7.57,6.1,6.04,7.26
QV2M,1986,7.32,7.69,7.93,7.02,7.57,8.54,8.61,9.03,8.67,8.18,6.84,6.23,7.81
QV2M,1987,5.92,6.47,6.71,7.14,7.93,7.81,8.48,8.85,8.91,8.61,7.69,6.29,7.57
QV2M,1988,6.47,6.53,6.65,6.9,7.2,8.24,8.73,9.09,8.06,8.36,7.63,5.86,7.51
QV2M,1989,5.68,5.55,7.08,7.69,7.75,8.12,8.48,8.79,9.03,8.3,7.2,6.04,7.51
QV2M,1990,6.59,5.74,6.84,7.57,7.57,8.48,9.09,9.64,9.77,7.93,6.53,5.07,7.57
QV2M,1991,5.98,7.14,6.47,6.71,6.96,7.57,8.73,9.46,9.16,8.24,7.02,6.1,7.45
QV2M,1992,6.35,7.57,7.81,8.24,8.79,8.91,9.46,9.28,9.03,9.22,7.26,6.23,8.18
QV2M,1993,6.29,6.71,7.87,7.57,8.42,8.54,8.67,9.28,8.73,8.54,6.47,6.41,7.81
QV2M,1994,6.53,6.35,7.2,7.32,7.75,7.81,8.42,9.16,9.4,8.12,6.1,6.16,7.57
QV2M,1995,7.57,7.51,7.14,7.32,7.81,8.18,9.52,8.91,9.34,7.93,8.12,7.63,8.12
QV2M,1996,7.08,7.81,7.32,7.75,7.87,8.06,8.79,8.79,8.67,8.0,7.57,7.39,7.93
QV2M,1997,7.14,6.77,7.08,7.26,8.91,8.61,9.22,10.13,10.13,8.48,8.36,6.47,8.24
QV2M,1998,7.87,7.08,7.26,7.02,7.69,8.79,9.09,9.34,9.28,7.93,7.75,5.74,7.93
QV2M,1999,6.29,6.35,6.16,6.47,6.9,7.75,8.18,9.22,8.61,8.36,7.93,6.16,7.39
QV2M,2000,7.08,7.39,6.65,7.45,8.0,8.54,8.73,8.79,9.22,8.3,6.71,6.47,7.75
QV2M,2001,5.92,6.23,7.39,6.59,7.87,8.06,8.67,9.09,8.91,8.36,7.81,7.08,7.69
QV2M,2002,6.29,6.77,6.47,7.2,7.32,7.93,8.79,8.73,8.91,7.81,7.26,7.45,7.57
QV2M,2003,8.0,6.65,7.39,6.84,7.63,8.36,8.85,10.01,9.16,8.0,7.02,7.2,7.93
QV2M,2004,6.84,6.77,7.63,7.26,8.0,8.42,9.34,9.7,8.85,8.12,6.96,6.71,7.87
QV2M,2005,6.65,7.26,7.75,7.14,8.79,8.36,9.28,9.09,8.48,8.24,7.32,7.39,8.0
QV2M,2006,7.02,6.71,6.29,7.51,8.12,8.97,9.34,9.03,8.54,7.75,7.87,6.16,7.75
QV2M,2007,5.55,6.84,7.14,6.96,7.14,8.0,9.34,9.46,9.03,8.0,7.08,6.04,7.57
QV2M,2008,6.04,6.47,6.53,6.35,7.14,7.26,8.79,9.22,8.79,7.75,7.93,6.04,7.39
QV2M,2009,5.92,6.59,6.71,6.59,7.69,8.48,8.73,9.22,9.58,8.24,6.96,6.29,7.57
QV2M,2010,7.14,7.45,6.71,6.77,7.08,8.24,8.42,8.67,8.91,8.24,6.96,7.14,7.63
QV2M,2011,6.53,5.86,7.02,6.84,7.08,8.12,8.85,9.03,9.22,8.91,6.9,5.49,7.51
QV2M,2012,6.1,6.23,6.47,7.26,7.26,7.87,8.54,8.85,8.67,8.61,7.87,6.84,7.57
QV2M,2013,5.8,6.23,6.84,7.02,7.57,8.54,8.97,9.7,9.83,7.14,7.02,5.37,7.51
QV2M,2014,6.16,7.32,7.57,7.51,7.81,8.42,9.64,10.13,10.56,9.58,8.3,8.3,8.42
QV2M,2015,7.39,8.18,8.06,7.08,7.57,8.97,10.01,10.44,9.34,10.19,7.08,6.71,8.42
QV2M,2016,7.45,7.63,7.93,7.87,8.18,8.61,8.85,9.16,8.97,9.09,8.48,6.53,8.24
QV2M,2017,6.41,7.51,7.63,7.69,7.81,8.61,8.79,9.64,9.95,7.57,8.18,5.92,8.0
QV2M,2018,7.51,6.29,6.84,7.32,7.75,8.36,9.22,9.28,9.03,8.85,6.96,7.14,7.87
QV2M,2019,7.26,6.23,7.08,8.06,7.81,8.54,9.34,10.13,10.01,7.14,7.26,7.63,8.06
QV2M,2020,7.14,6.65,6.59,7.45,8.36,8.61,8.73,9.52,9.89,8.54,7.08,6.65,7.93
