-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  34.4208   Longitude -119.6982 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 313.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,13.05,12.77,11.6,14.01,16.65,22.17,22.24,22.58,20.66,16.15,14.58,12.79,16.62
T2M,1982,9.89,12.3,11.14,13.0,15.87,17.26,21.15,22.33,20.27,18.07,13.74,11.21,15.54
T2M,1983,12.5,12.11,11.94,11.56,15.53,18.59,21.28,22.84,22.11,18.69,14.0,11.69,16.1
T2M,1984,12.65,12.23,14.23,13.9,19.55,20.04,23.08,23.13,23.83,16.56,12.8,10.01,16.85
T2M,1985,10.38,11.59,10.97,15.8,15.87,20.48,23.41,21.85,18.82,17.56,12.8,12.35,16.01
T2M,1986,13.55,12.43,13.73,13.51,16.55,19.95,20.51,22.55,17.73,17.98,15.78,13.04,16.47
T2M,1987,10.52,11.69,12.04,16.26,17.82,19.48,19.4,20.77,21.57,19.49,14.03,10.16,16.12
T2M,1988,10.94,13.36,14.3,14.7,16.06,18.05,22.2,20.94,20.92,18.64,13.69,11.1,16.25
T2M,1989,9.99,10.14,13.18,16.62,16.49,19.43,22.59,20.1,20.2,17.37,16.2,13.82,16.37
T2M,1990,11.51,10.56,12.83,15.62,15.98,19.99,22.24,21.61,21.08,19.38,15.14,10.62,16.41
T2M,1991,11.29,14.27,10.19,12.51,13.95,16.89,20.08,20.87,20.85,19.57,15.35,12.16,15.67
T2M,1992,11.56,13.02,12.46,15.82,17.76,18.18,21.39,23.45,21.51,18.99,15.08,10.74,16.67
T2M,1993,10.94,11.04,13.7,14.04,16.02,20.09,20.19,21.33,20.61,18.51,14.69,11.9,16.12
T2M,1994,12.92,10.98,13.6,13.9,15.3,20.84,20.51,23.2,20.0,17.07,11.58,11.12,15.95
T2M,1995,11.33,13.6,12.65,12.68,13.7,17.49,21.23,21.51,21.12,18.98,16.9,12.86,16.19
T2M,1996,12.35,12.33,13.0,15.42,17.3,19.97,22.4,22.87,20.01,17.68,14.11,12.11,16.64
T2M,1997,11.55,11.48,14.03,14.69,20.3,18.92,20.7,22.34,22.62,18.65,15.81,11.69,16.93
T2M,1998,12.04,11.08,12.19,12.12,13.06,16.37,21.71,23.76,19.95,16.92,13.27,10.74,15.3
T2M,1999,12.16,10.88,10.29,11.96,14.77,17.7,20.55,20.79,19.24,19.59,14.62,12.68,15.47
T2M,2000,12.05,11.58,11.9,14.09,16.96,19.51,20.69,22.02,20.64,16.3,12.37,13.51,15.98
T2M,2001,10.8,10.07,12.55,11.8,18.29,20.58,20.15,21.25,20.48,18.53,14.51,10.69,15.84
T2M,2002,10.58,12.7,11.77,13.46,15.6,19.11,21.01,20.51,20.96,16.29,15.32,11.57,15.75
T2M,2003,14.19,11.9,12.77,11.82,15.49,18.54,22.94,21.9,21.14,20.47,12.9,11.47,16.33
T2M,2004,11.2,10.68,15.17,14.93,17.25,19.07,20.89,21.01,21.57,16.69,12.98,12.47,16.18
T2M,2005,12.04,12.23,12.99,12.6,16.16,16.76,22.12,22.01,18.72,16.97,15.29,12.95,15.94
T2M,2006,11.26,12.48,9.47,12.09,16.19,20.53,24.32,20.72,20.37,16.95,15.75,12.36,16.05
T2M,2007,10.46,11.85,13.96,14.21,16.09,19.08,21.87,22.05,19.26,17.12,15.4,10.42,16.01
T2M,2008,10.14,11.33,12.58,13.59,15.82,20.18,21.74,22.23,21.34,19.35,16.04,11.16,16.3
T2M,2009,13.27,11.15,12.15,13.3,17.36,17.71,21.69,21.15,22.62,16.94,14.58,11.02,16.11
T2M,2010,12.4,11.56,12.15,12.07,14.3,18.61,19.58,20.09,20.3,17.12,13.45,11.8,15.31
T2M,2011,11.87,10.14,11.51,13.04,14.12,16.62,20.51,21.12,20.44,17.92,13.43,11.48,15.22
T2M,2012,12.9,11.63,11.71,13.65,16.67,18.34,19.61,23.1,22.01,18.87,15.29,11.27,16.27
T2M,2013,10.73,10.9,13.65,14.99,17.44,19.69,21.09,21.03,20.69,17.15,15.3,12.65,16.3
T2M,2014,15.45,13.37,14.15,14.91,18.33,19.4,21.98,21.33,21.58,20.23,16.44,13.28,17.57
T2M,2015,14.18,14.85,16.43,15.19,15.07,20.29,20.92,22.45,22.83,21.08,14.51,11.76,17.48
T2M,2016,12.03,14.98,13.86,15.3,15.56,21.03,21.58,21.11,20.7,18.04,15.79,11.84,16.81
T2M,2017,10.87,11.68,13.71,14.01,16.06,20.15,22.65,22.44,20.87,19.75,16.17,14.62,16.95
T2M,2018,14.28,12.46,12.22,14.35,15.25,19.17,23.78,22.82,20.31,18.77,16.71,12.42,16.9
T2M,2019,12.47,9.65,11.96,14.3,14.29,18.35,21.3,21.64,21.34,18.46,15.87,11.94,16.0
T2M,2020,11.73,13.28,11.74,14.34,17.06,18.99,20.24,22.94,22.69,21.04,15.11,13.19,16.87
QV2M,1981,6.1,6.04,6.71,6.47,6.84,6.47,7.08,7.51,7.51,6.59,7.02,6.29,6.71
QV2M,1982,5.13,6.16,6.29,6.65,7.51,7.32,7.2,7.57,8.12,6.71,6.29,5.8,6.71
QV2M,1983,6.41,7.14,7.45,6.65,8.0,8.0,7.57,9.4,8.85,8.85,7.32,6.71,7.69
QV2M,1984,5.98,5.68,6.16,5.62,6.47,6.71,8.12,9.22,9.64,6.84,6.35,5.86,6.9
QV2M,1985,5.43,5.55,5.62,6.35,6.16,6.9,7.45,7.69,7.93,6.71,5.98,5.8,6.47
QV2M,1986,6.77,7.26,7.75,6.96,6.77,6.84,7.81,6.96,7.57,7.02,6.16,6.04,7.02
QV2M,1987,5.25,5.74,6.16,6.53,7.2,6.84,7.69,8.18,7.87,8.36,6.9,5.86,6.9
QV2M,1988,5.86,6.1,6.16,6.53,6.47,7.32,8.61,8.79,7.45,7.39,6.59,5.25,6.9
QV2M,1989,4.94,5.68,6.84,6.84,6.65,7.14,7.39,7.81,7.39,7.14,5.62,5.07,6.53
QV2M,1990,5.62,5.19,6.23,7.08,6.59,6.96,8.3,8.79,8.12,6.84,5.55,4.33,6.65
QV2M,1991,5.74,6.23,6.23,6.84,6.65,7.08,8.42,8.54,8.42,7.39,5.74,5.74,6.96
QV2M,1992,5.68,7.26,7.69,8.06,8.91,8.24,9.03,8.67,7.93,8.36,6.23,5.74,7.63
QV2M,1993,6.65,6.84,7.87,7.51,8.12,7.63,8.91,8.85,7.75,7.75,5.92,5.62,7.45
QV2M,1994,5.43,5.86,6.9,6.71,7.26,6.53,7.63,8.12,8.24,7.2,5.37,5.8,6.77
QV2M,1995,7.32,7.63,7.63,7.2,7.87,8.0,8.3,7.81,7.69,7.45,7.14,6.77,7.57
QV2M,1996,6.23,7.57,7.2,6.9,7.2,6.9,8.18,7.75,8.06,6.71,7.02,6.96,7.2
QV2M,1997,7.02,6.41,6.77,6.65,7.45,8.0,8.48,9.52,9.58,7.32,7.69,6.23,7.57
QV2M,1998,7.26,7.14,7.39,7.08,7.81,8.79,8.91,8.91,9.58,6.96,6.59,5.0,7.63
QV2M,1999,6.04,5.92,6.1,6.1,6.9,6.96,8.18,7.45,8.18,6.47,6.96,4.94,6.65
QV2M,2000,6.53,7.08,6.77,7.39,7.63,8.42,7.63,8.12,8.48,8.12,5.8,5.8,7.32
QV2M,2001,5.43,6.04,7.57,6.59,8.24,7.45,8.67,8.12,8.48,7.93,7.69,6.1,7.39
QV2M,2002,5.55,5.8,5.98,6.71,6.59,7.32,8.54,7.75,7.39,7.2,6.65,6.71,6.84
QV2M,2003,7.08,6.35,6.71,6.53,7.32,7.87,8.3,8.42,8.48,7.26,6.59,6.35,7.26
QV2M,2004,5.92,6.04,7.39,6.65,6.65,7.45,8.42,8.79,7.81,8.0,6.71,6.16,7.2
QV2M,2005,6.96,7.32,7.63,7.02,8.48,8.0,9.16,8.85,7.69,7.26,6.59,6.53,7.63
QV2M,2006,6.1,5.62,5.92,7.45,8.54,8.61,9.46,8.67,7.75,7.26,6.53,5.43,7.26
QV2M,2007,4.82,6.23,6.23,6.29,6.35,7.08,8.36,8.67,8.3,6.96,6.16,5.49,6.77
QV2M,2008,5.92,6.29,6.41,5.86,6.59,6.53,8.79,9.09,8.18,6.41,7.26,5.86,6.96
QV2M,2009,5.68,6.29,6.35,6.1,7.26,8.3,7.87,7.69,8.18,7.57,6.35,5.8,6.96
QV2M,2010,6.47,6.77,6.41,6.71,6.71,7.81,8.24,7.51,7.32,8.42,6.1,6.77,7.08
QV2M,2011,5.98,5.68,6.84,7.26,6.84,8.06,8.73,7.81,8.3,7.69,6.16,4.94,7.02
QV2M,2012,5.37,5.62,5.86,6.65,6.65,7.14,8.0,8.12,8.06,7.87,7.14,6.47,6.9
QV2M,2013,5.07,5.37,6.35,6.53,6.84,7.87,8.61,8.36,8.3,6.71,6.53,4.88,6.77
QV2M,2014,5.25,6.23,7.02,6.53,6.41,7.51,9.52,8.97,9.22,8.18,7.14,7.57,7.45
QV2M,2015,6.77,7.39,7.02,6.29,7.14,8.18,10.07,9.7,10.07,9.95,6.04,5.68,7.87
QV2M,2016,6.9,6.53,7.32,7.2,7.87,7.26,8.18,8.61,8.06,8.0,7.02,6.23,7.45
QV2M,2017,6.53,7.45,7.45,7.39,7.69,8.18,8.73,9.52,9.46,6.77,7.63,4.88,7.63
QV2M,2018,6.77,5.68,6.65,6.84,7.57,7.69,9.34,9.22,8.42,8.12,7.08,6.53,7.51
QV2M,2019,7.2,6.1,7.08,8.0,8.06,8.97,8.18,8.54,8.67,6.35,6.35,7.26,7.57
QV2M,2020,6.71,6.47,6.9,7.63,7.69,7.93,8.12,9.22,8.54,7.81,5.98,5.31,7.39
WS2M,1981,2.62,2.92,3.44,3.3,3.77,3.26,2.29,2.47,2.52,2.87,2.51,3.13,2.92
WS2M,1982,3.3,2.55,3.19,3.36,2.96,3.59,2.55,2.62,2.87,2.75,2.77,3.49,3.0
WS2M,1983,3.09,3.34,3.98,3.79,3.59,3.4,3.3,2.42,2.53,2.58,3.7,3.76,3.29
WS2M,1984,2.47,3.52,3.98,4.7,4.12,3.77,2.26,2.38,2.28,3.78,3.24,3.53,3.34
WS2M,1985,2.54,2.85,3.7,3.16,3.6,2.84,2.65,2.7,2.91,2.84,3.33,2.4,2.96
WS2M,1986,2.7,3.59,2.87,3.36,3.23,3.17,2.52,2.25,3.03,2.55,3.01,2.37,2.88
WS2M,1987,3.16,3.46,3.57,2.89,3.34,2.74,3.05,2.34,2.62,2.07,3.14,3.8,3.02
WS2M,1988,3.22,2.77,3.51,3.17,4.06,3.2,2.19,2.48,2.29,2.12,3.45,2.94,2.95
WS2M,1989,2.89,3.4,3.67,3.05,3.9,3.32,2.89,2.39,2.73,2.89,2.5,2.27,2.99
WS2M,1990,3.41,3.57,3.27,3.34,3.63,3.67,2.67,3.01,2.89,2.45,2.82,3.27,3.16
WS2M,1991,2.55,2.74,4.02,3.8,4.06,2.95,2.27,2.91,1.94,2.51,2.92,2.84,2.96
WS2M,1992,2.88,3.23,3.05,3.06,2.58,3.11,2.83,2.53,2.43,2.58,3.04,3.16,2.88
WS2M,1993,3.42,3.52,2.77,4.02,3.1,3.12,2.62,2.55,2.46,2.46,2.75,2.88,2.97
WS2M,1994,2.42,3.52,2.73,3.5,3.05,3.38,2.54,2.7,2.63,2.88,3.23,2.72,2.93
WS2M,1995,3.7,2.13,3.37,3.42,3.34,3.39,2.85,2.48,2.86,2.2,2.34,3.61,2.98
WS2M,1996,3.06,2.91,2.7,3.56,3.63,3.01,2.4,2.4,2.47,3.34,2.9,3.1,2.95
WS2M,1997,2.9,3.59,2.8,3.98,3.46,3.63,2.8,3.08,2.7,3.27,2.89,3.77,3.23
WS2M,1998,3.02,4.45,3.23,3.29,3.66,3.15,2.76,2.45,2.69,3.13,3.34,3.16,3.19
WS2M,1999,2.7,3.44,3.7,3.77,3.88,3.2,2.92,3.02,2.0,2.41,2.48,2.68,3.02
WS2M,2000,2.84,3.14,3.41,3.52,3.52,2.82,3.38,2.52,2.8,2.77,2.92,2.4,3.0
WS2M,2001,2.75,2.93,3.46,3.47,2.26,2.77,2.49,2.46,2.59,2.09,2.81,3.12,2.77
WS2M,2002,2.79,2.65,3.32,3.3,3.39,3.2,2.39,2.45,2.41,2.37,2.48,2.74,2.79
WS2M,2003,2.41,3.47,3.41,3.38,3.06,3.07,2.68,2.98,2.44,2.35,2.79,2.96,2.91
WS2M,2004,2.84,3.19,2.82,3.02,3.59,3.27,2.59,2.43,2.69,2.94,2.75,2.9,2.92
WS2M,2005,2.73,2.98,2.92,3.36,3.16,3.13,2.38,2.16,2.55,2.67,2.88,2.43,2.77
WS2M,2006,3.38,2.86,3.25,2.93,2.73,2.87,2.38,2.49,2.48,2.53,3.41,3.08,2.87
WS2M,2007,2.7,3.13,2.76,3.45,2.98,2.84,2.83,2.49,2.88,2.95,2.15,3.41,2.88
WS2M,2008,3.8,3.01,3.51,3.68,3.35,3.18,2.48,2.19,2.42,2.77,3.01,2.98,3.03
WS2M,2009,2.44,2.91,3.16,3.5,3.11,2.73,2.31,2.34,2.45,3.28,2.69,2.8,2.81
WS2M,2010,2.7,2.94,3.05,3.48,3.66,3.33,2.66,2.57,2.45,2.48,2.91,3.09,2.95
WS2M,2011,2.62,2.96,3.46,3.48,3.7,2.83,2.69,2.77,2.16,2.53,2.88,2.38,2.87
WS2M,2012,2.76,3.39,3.0,3.42,3.67,3.43,2.45,2.28,2.33,2.89,2.67,2.9,2.93
WS2M,2013,2.7,2.98,2.7,3.34,3.87,3.09,2.47,2.73,3.06,2.65,2.47,2.4,2.87
WS2M,2014,2.51,3.24,3.0,3.22,3.43,2.98,2.48,2.16,2.84,2.62,2.56,3.29,2.86
WS2M,2015,1.85,2.45,2.45,3.26,3.06,2.73,2.59,3.09,2.38,2.8,3.22,3.78,2.8
WS2M,2016,2.9,3.1,3.65,3.31,2.81,2.79,2.6,2.6,2.64,2.7,2.82,2.76,2.89
WS2M,2017,3.09,3.02,3.12,3.37,3.05,3.18,2.3,2.46,2.76,2.84,2.55,2.09,2.81
WS2M,2018,2.73,2.91,2.88,3.27,3.14,2.81,2.62,2.56,2.38,2.51,2.52,3.25,2.8
WS2M,2019,2.98,4.09,2.98,2.73,2.96,2.12,2.63,2.45,2.8,2.79,2.37,3.41,2.85
WS2M,2020,3.47,2.7,3.19,3.24,3.2,2.89,2.62,2.49,2.4,2.28,2.87,2.87,2.85
GWETTOP,1981,0.4,0.59,0.75,0.6,0.43,0.2,0.12,0.1,0.1,0.28,0.42,0.48,0.38
GWETTOP,1982,0.55,0.55,0.63,0.68,0.5,0.3,0.18,0.12,0.3,0.32,0.53,0.66,0.45
GWETTOP,1983,0.72,0.88,0.91,0.85,0.73,0.47,0.23,0.28,0.21,0.51,0.53,0.62,0.58
