-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  37.3337   Longitude -121.8907 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 233.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.8,9.48,9.61,12.27,15.11,20.49,20.1,19.71,18.57,13.89,12.08,9.23,14.22
T2M,1982,5.26,8.72,8.45,10.4,13.73,15.69,18.55,19.5,18.14,15.05,9.74,7.23,12.56
T2M,1983,8.27,9.91,10.0,10.04,13.13,16.1,18.33,20.38,20.58,16.66,10.78,9.12,13.63
T2M,1984,7.69,8.57,10.53,10.82,16.17,17.73,22.3,20.0,21.66,13.87,9.9,6.58,13.83
T2M,1985,6.75,8.33,8.23,13.55,14.01,19.8,21.59,19.09,17.3,14.9,9.04,6.98,13.32
T2M,1986,10.48,10.58,11.83,11.19,13.89,18.05,19.98,20.24,16.4,15.44,12.65,8.83,14.15
T2M,1987,7.05,9.13,9.83,14.15,16.78,18.67,17.86,20.52,19.48,18.11,11.13,7.4,14.2
T2M,1988,8.06,9.62,11.15,13.01,14.19,18.11,21.91,20.35,19.0,16.43,11.05,7.84,14.24
T2M,1989,6.51,6.65,10.53,13.8,14.58,18.1,18.96,19.12,17.57,15.14,11.24,8.81,13.45
T2M,1990,7.98,7.18,10.44,14.01,14.86,17.33,20.79,21.04,18.94,16.5,11.51,5.87,13.9
T2M,1991,7.91,11.59,8.59,10.73,13.42,16.27,20.46,18.68,19.85,18.08,11.69,8.43,13.82
T2M,1992,7.64,10.74,11.27,13.44,17.4,18.23,20.52,20.93,19.4,17.6,11.74,7.28,14.69
T2M,1993,7.26,8.42,11.69,11.61,14.62,18.2,19.59,20.61,19.16,16.73,11.11,7.74,13.93
T2M,1994,8.5,8.1,11.04,12.46,14.37,17.44,19.37,19.26,19.15,15.51,8.04,6.95,13.38
T2M,1995,9.69,10.82,9.82,10.94,13.05,16.11,19.61,20.37,18.55,16.99,13.84,10.08,14.18
T2M,1996,8.98,10.48,10.99,12.93,14.6,17.49,21.78,21.24,18.37,15.11,11.4,9.58,14.43
T2M,1997,8.59,8.76,11.01,12.37,17.69,17.77,20.0,20.26,20.45,15.45,12.85,7.18,14.4
T2M,1998,9.73,8.6,10.35,10.8,11.88,15.25,18.87,21.65,19.66,14.69,10.4,6.08,13.19
T2M,1999,7.77,7.91,8.15,10.63,12.35,15.91,18.15,19.11,19.43,17.25,12.18,8.53,13.14
T2M,2000,9.06,9.72,9.59,12.28,14.73,18.4,17.9,19.31,19.37,14.4,9.29,8.77,13.58
T2M,2001,7.08,7.74,11.26,10.26,17.63,18.56,19.06,18.86,18.13,16.72,12.5,8.59,13.9
T2M,2002,6.79,9.25,9.5,11.8,13.67,16.62,19.33,19.51,20.01,15.44,12.18,9.72,13.67
T2M,2003,10.59,8.8,10.86,10.02,13.94,17.68,20.51,20.21,20.49,17.19,10.08,9.03,14.15
T2M,2004,8.1,8.71,12.89,13.24,15.11,17.1,19.5,20.42,19.78,14.97,10.43,8.55,14.08
T2M,2005,7.8,9.92,11.55,11.08,14.56,16.19,20.95,20.55,17.47,15.54,12.71,9.91,14.05
T2M,2006,8.24,9.07,7.86,11.29,14.18,18.2,21.76,19.17,18.87,15.33,11.33,7.89,13.62
T2M,2007,5.9,9.28,11.78,12.31,14.75,17.35,19.55,20.2,18.01,14.48,11.57,6.93,13.53
T2M,2008,6.71,8.15,9.58,11.35,14.53,18.48,19.62,20.1,19.71,16.69,12.52,6.87,13.7
T2M,2009,7.95,8.83,9.69,11.65,15.43,16.93,19.38,19.95,20.33,14.4,10.5,6.94,13.52
T2M,2010,8.62,9.59,9.48,10.01,11.78,16.37,17.76,17.96,19.89,16.03,10.33,9.12,13.1
T2M,2011,7.73,7.45,9.47,10.48,11.83,15.22,17.96,17.85,20.49,16.3,9.96,7.33,12.7
T2M,2012,8.5,9.09,9.65,12.08,14.06,16.7,18.48,19.24,17.72,16.44,12.42,8.08,13.55
T2M,2013,6.1,7.91,10.65,13.55,15.65,18.72,19.8,19.16,18.43,15.39,12.35,7.37,13.78
T2M,2014,10.8,10.34,12.31,13.18,16.53,18.53,21.27,20.4,19.65,18.55,13.09,10.33,15.45
T2M,2015,9.37,12.04,12.77,12.5,13.51,18.38,20.69,20.54,20.58,18.65,10.27,7.95,14.79
T2M,2016,9.52,11.25,11.48,13.0,14.74,18.08,19.25,18.69,19.15,15.77,12.4,7.33,14.23
T2M,2017,7.19,9.94,11.44,12.11,14.54,17.44,19.74,20.74,21.18,17.23,12.61,8.45,14.4
T2M,2018,10.05,9.41,10.3,12.04,14.11,17.31,20.47,18.93,18.16,16.85,13.37,8.9,14.19
T2M,2019,9.66,7.3,10.23,13.31,12.87,18.0,18.65,20.95,19.79,16.23,12.93,9.43,14.15
T2M,2020,8.48,10.23,10.05,12.68,16.63,18.98,19.19,21.76,20.79,19.16,11.42,8.93,14.87
QV2M,1981,5.68,5.92,6.16,6.59,6.77,6.65,6.47,7.39,7.2,6.29,6.96,6.53,6.53
QV2M,1982,4.94,6.23,6.04,6.53,7.75,7.57,7.57,7.32,7.02,6.59,5.68,5.49,6.53
QV2M,1983,5.86,6.65,6.9,6.35,7.69,8.24,7.87,8.24,7.63,7.51,6.77,6.77,7.2
QV2M,1984,5.86,5.98,6.53,5.98,6.65,6.59,6.47,7.57,6.41,6.9,6.35,5.31,6.41
QV2M,1985,4.94,5.68,5.49,6.96,6.35,6.96,6.71,6.96,7.14,5.92,5.19,5.19,6.1
QV2M,1986,6.47,7.14,7.51,6.65,7.26,7.32,7.08,7.08,7.02,6.47,4.76,4.88,6.65
QV2M,1987,4.88,5.43,5.98,6.23,7.14,6.16,7.32,6.84,7.02,6.84,6.35,5.37,6.29
QV2M,1988,5.62,5.74,5.62,5.98,6.35,7.26,7.39,7.51,6.16,6.71,6.65,4.82,6.35
