-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  37.0454   Longitude -121.958 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 211.23 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.81,10.16,10.12,12.2,14.15,18.41,18.01,17.97,17.23,13.81,12.4,10.11,13.8
T2M,1982,6.69,9.56,9.16,11.0,13.29,14.85,17.12,17.8,17.17,15.01,10.83,8.57,12.6
T2M,1983,9.9,10.83,10.82,10.64,13.39,15.48,17.31,18.76,19.3,16.53,11.76,10.02,13.75
T2M,1984,9.19,9.61,11.18,11.07,15.38,16.08,19.73,18.43,20.25,13.94,10.56,7.83,13.62
T2M,1985,7.98,9.23,8.81,13.4,13.22,17.55,19.1,17.62,16.29,14.62,9.75,8.82,13.05
T2M,1986,11.37,11.34,12.21,11.52,13.51,16.79,17.73,18.09,15.7,15.26,13.3,10.04,13.92
T2M,1987,8.55,10.13,10.47,13.86,15.65,16.52,16.4,18.3,18.05,17.4,11.92,8.7,13.84
T2M,1988,9.26,10.65,11.75,12.82,13.6,16.25,19.06,18.3,17.3,15.67,11.58,9.03,13.78
T2M,1989,7.73,7.48,10.85,13.77,13.9,16.58,17.09,17.23,16.6,15.11,12.28,10.33,13.28
T2M,1990,9.06,8.3,10.62,13.52,14.02,16.07,18.5,19.15,17.8,15.94,12.2,7.23,13.56
T2M,1991,9.12,11.83,9.15,10.82,12.5,14.66,17.49,17.34,18.08,17.14,12.18,9.68,13.34
T2M,1992,8.87,11.56,11.65,13.66,16.29,16.5,18.86,18.95,17.89,17.12,12.69,8.78,14.4
T2M,1993,8.72,9.41,12.05,12.02,14.4,17.16,17.46,18.79,17.73,16.37,12.16,9.33,13.83
T2M,1994,9.8,9.04,11.43,12.3,13.62,15.83,16.75,17.35,17.6,15.15,8.99,8.19,13.03
T2M,1995,10.6,11.43,10.65,11.36,12.85,15.23,18.15,17.94,17.17,16.3,13.87,10.84,13.88
T2M,1996,9.98,11.19,11.57,13.15,14.12,16.07,18.98,18.77,16.87,14.88,11.88,10.36,13.99
T2M,1997,9.51,9.67,11.29,12.54,16.78,16.27,17.92,18.62,19.36,15.61,13.62,8.9,14.19
T2M,1998,10.77,9.69,10.87,11.04,12.11,14.91,17.32,19.19,18.05,14.47,11.01,7.39,13.09
T2M,1999,8.87,8.56,8.57,10.69,11.72,14.58,16.36,17.42,17.37,16.47,12.47,9.64,12.75
T2M,2000,9.74,10.31,10.05,12.35,14.33,16.82,16.08,17.2,18.14,14.09,9.89,10.22,13.27
T2M,2001,8.3,8.62,11.35,10.38,16.29,16.64,16.97,17.05,16.62,15.88,12.69,9.51,13.39
T2M,2002,7.71,9.98,9.98,11.83,13.04,15.43,17.16,17.65,18.25,14.88,12.75,10.56,13.28
T2M,2003,11.44,9.66,11.34,10.57,13.6,16.63,18.33,18.61,19.03,16.51,10.82,9.98,13.91
