-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  40.7909   Longitude -121.8474 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1050.41 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,3.41,3.05,4.62,8.47,11.69,18.61,22.88,23.4,18.86,9.09,5.61,2.89,11.09
T2M,1982,-1.73,2.65,2.73,5.61,12.55,16.75,20.8,21.49,15.58,9.9,2.7,0.17,9.14
T2M,1983,2.1,2.88,3.76,4.98,12.32,15.76,19.01,21.31,17.94,12.44,3.21,1.39,9.81
T2M,1984,1.91,2.26,5.53,5.57,12.11,16.26,24.08,21.69,17.17,7.77,2.72,-0.14,9.78
T2M,1985,1.34,2.0,2.69,10.01,12.26,20.51,24.29,20.66,13.47,10.14,1.35,1.54,10.07
T2M,1986,3.86,4.09,7.29,7.37,11.44,19.16,21.23,23.62,13.65,11.22,5.99,2.52,11.01
T2M,1987,-0.1,2.9,3.69,10.37,15.03,20.33,19.8,22.55,19.99,15.54,5.35,0.1,11.33
T2M,1988,0.2,4.32,5.42,8.76,10.61,17.61,24.87,23.29,19.15,15.82,3.87,0.23,11.2
T2M,1989,-1.2,-0.15,4.27,9.86,11.15,17.75,21.64,20.21,16.57,10.37,5.3,3.5,9.99
T2M,1990,1.55,0.3,5.62,10.75,11.35,16.23,23.26,21.23,18.15,11.75,5.12,-1.27,10.4
T2M,1991,2.15,5.83,2.23,6.22,9.4,15.62,23.4,21.04,20.9,14.71,6.37,1.98,10.84
T2M,1992,1.9,4.21,6.62,9.5,16.99,18.46,21.33,23.55,18.45,13.45,4.51,-0.56,11.56
T2M,1993,-1.77,0.92,7.25,6.73,11.2,14.53,18.89,20.56,18.87,12.37,4.3,0.76,9.61
T2M,1994,2.6,1.01,6.26,8.34,13.22,17.5,24.65,22.21,18.51,10.91,-0.02,-0.7,10.44
T2M,1995,2.38,6.38,3.75,6.54,11.12,14.55,20.53,21.3,19.52,13.2,8.63,2.86,10.92
T2M,1996,1.85,4.06,5.63,8.16,10.83,17.48,24.62,23.83,16.92,11.33,6.1,2.99,11.18
T2M,1997,1.66,2.84,6.11,7.58,15.67,17.3,22.57,21.61,17.4,10.14,6.26,0.06,10.82
T2M,1998,2.74,1.4,4.78,6.85,7.93,14.96,22.35,23.44,19.65,10.05,3.65,-0.0,9.87
T2M,1999,1.73,0.34,3.24,6.47,11.9,17.27,21.93,20.62,20.0,13.99,6.58,2.05,10.57
T2M,2000,1.9,3.37,5.11,9.44,12.2,20.08,21.77,22.8,16.57,11.15,2.9,2.7,10.86
T2M,2001,1.04,0.83,6.92,6.44,16.73,18.66,23.21,23.41,19.77,13.85,5.76,0.68,11.51
T2M,2002,0.65,3.71,4.18,8.94,12.05,19.42,25.6,23.16,19.49,12.5,6.63,2.48,11.61
T2M,2003,5.4,2.87,5.66,4.78,11.89,19.44,25.41,21.8,20.51,15.02,3.62,1.7,11.57
T2M,2004,0.73,2.35,8.82,9.41,12.8,19.55,24.34,22.98,18.45,11.32,4.55,2.79,11.54
T2M,2005,1.54,3.87,6.24,7.2,12.08,14.26,24.7,24.16,17.01,12.26,5.18,2.94,11.01
T2M,2006,1.35,3.1,1.33,7.29,13.75,19.72,25.29,22.65,18.94,11.53,4.98,1.83,11.02
T2M,2007,0.42,3.07,7.6,8.8,14.73,19.28,23.69,22.52,16.96,9.54,6.69,-0.39,11.12
T2M,2008,-1.17,1.83,4.33,6.55,13.53,18.9,24.22,23.46,20.3,12.55,7.35,0.18,11.03
T2M,2009,2.46,2.33,4.08,7.69,14.3,17.31,24.45,22.46,20.23,10.22,4.56,0.28,10.91
T2M,2010,2.73,3.54,4.36,5.3,8.23,16.0,23.98,21.75,17.9,12.48,3.57,1.74,10.18
T2M,2011,1.85,0.37,2.86,5.68,8.93,14.71,21.47,22.98,21.48,11.79,3.48,2.63,9.91
T2M,2012,2.66,2.88,3.47,7.99,12.82,16.7,22.8,24.45,21.19,12.73,6.37,0.09,11.2
T2M,2013,-0.86,2.34,6.39,8.87,13.61,19.45,25.4,22.24,17.65,10.98,6.71,1.63,11.25
T2M,2014,5.21,4.26,6.19,9.3,14.51,20.12,26.23,23.15,19.78,13.3,6.61,3.85,12.76
T2M,2015,4.42,6.66,8.84,8.8,14.0,22.78,23.98,23.12,19.18,15.52,4.13,0.55,12.7
T2M,2016,1.78,5.62,6.24,10.41,13.23,19.36,23.15,24.71,18.98,10.39,5.86,0.08,11.66
T2M,2017,-1.17,3.4,6.48,7.02,13.73,19.41,25.76,26.2,19.38,12.3,5.74,2.46,11.78
T2M,2018,4.07,2.65,4.08,8.63,14.19,19.44,26.09,23.08,18.47,12.5,6.91,1.65,11.87
T2M,2019,3.52,-0.12,4.67,10.01,12.08,18.71,23.08,23.82,17.44,10.21,8.44,2.5,11.26
T2M,2020,2.19,3.68,4.31,9.47,13.17,18.6,24.51,24.82,21.53,15.55,5.32,1.87,12.12
QV2M,1981,4.46,4.46,4.7,5.68,6.29,6.1,4.33,3.97,4.39,4.88,5.43,4.88,4.94
QV2M,1982,3.48,4.46,4.39,4.88,6.47,7.57,6.47,5.0,4.94,4.82,4.03,4.03,5.07
QV2M,1983,4.39,4.76,5.13,4.82,7.26,7.2,5.92,5.8,5.49,5.55,5.0,4.52,5.49
QV2M,1984,4.15,4.21,4.88,4.82,6.41,5.8,5.68,4.64,5.19,4.76,4.64,3.72,4.88
QV2M,1985,3.66,3.91,4.03,5.74,4.94,5.68,4.88,3.91,5.43,4.58,3.66,4.03,4.52
QV2M,1986,5.0,5.19,5.86,5.31,6.9,7.14,5.07,3.97,5.0,5.0,3.97,3.66,5.19
QV2M,1987,3.6,4.09,4.46,5.86,6.29,5.25,5.07,4.46,3.78,4.03,4.52,3.91,4.58
QV2M,1988,3.97,4.21,4.27,5.43,5.49,6.9,5.8,4.46,3.42,4.09,4.88,3.6,4.7
QV2M,1989,3.54,3.48,5.19,6.35,6.59,7.02,4.76,5.0,4.94,4.64,4.27,3.78,4.94
QV2M,1990,4.09,3.66,4.82,6.29,5.37,6.53,6.53,5.86,4.76,3.97,3.54,2.5,4.82
QV2M,1991,3.17,4.33,4.27,4.94,5.74,5.98,6.53,5.68,4.27,3.66,4.52,3.66,4.76
QV2M,1992,4.03,5.07,5.43,5.98,6.77,6.77,6.59,4.76,4.27,5.07,4.27,3.66,5.25
QV2M,1993,3.54,4.15,5.98,5.37,7.08,7.2,5.92,5.55,4.39,5.43,3.05,3.97,5.13
QV2M,1994,4.21,3.91,4.7,5.43,7.08,5.25,4.58,3.54,4.7,4.09,3.6,3.85,4.58
