-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  38.3105   Longitude -121.9018 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 67.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.61,10.07,10.88,14.51,19.05,25.62,24.87,24.73,22.25,15.38,12.62,9.49,16.62
T2M,1982,5.03,9.26,9.32,11.44,16.84,18.69,23.29,24.35,21.51,16.37,9.92,7.28,14.48
T2M,1983,7.95,10.05,10.43,11.09,15.55,19.21,21.9,23.68,22.86,18.63,10.81,9.06,15.13
T2M,1984,7.49,8.51,11.53,12.5,19.48,22.24,26.33,24.55,24.79,15.37,10.37,6.59,15.83
T2M,1985,6.62,8.97,9.39,15.52,17.23,24.54,26.44,23.24,19.76,17.0,9.58,7.01,15.48
T2M,1986,10.4,10.77,13.01,12.89,16.24,21.23,23.7,23.95,18.72,17.19,13.71,8.76,15.91
T2M,1987,7.08,9.53,10.59,16.3,20.48,23.03,23.01,24.49,22.91,20.33,11.98,7.35,16.46
T2M,1988,7.8,10.03,12.33,14.76,17.08,22.47,27.47,24.4,23.25,19.3,11.62,7.88,16.55
T2M,1989,6.42,7.1,11.34,15.3,17.87,22.31,24.88,22.84,20.26,16.04,11.8,9.08,15.48
T2M,1990,8.23,7.35,11.79,16.42,17.48,21.74,25.29,24.8,22.69,19.2,12.64,5.76,16.16
