-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  38.578   Longitude -122.9888 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 172.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,10.33,9.89,10.05,11.99,14.13,18.26,18.76,18.92,17.46,13.62,11.93,10.37,13.83
T2M,1982,7.38,9.44,9.02,10.51,13.82,14.99,17.73,18.33,17.37,14.8,10.76,8.99,12.78
T2M,1983,9.57,10.47,10.73,10.41,13.4,15.77,17.59,18.8,18.62,16.47,11.59,9.9,13.63
T2M,1984,9.23,9.36,11.04,10.46,14.44,16.23,19.73,18.78,19.71,13.57,10.62,7.83,13.43
T2M,1985,8.07,9.33,8.59,12.44,13.09,17.93,19.16,18.04,16.03,14.61,9.43,8.52,12.96
T2M,1986,10.5,11.37,12.26,11.42,13.42,16.85,18.33,18.73,15.58,14.77,12.72,9.73,13.82
T2M,1987,8.33,9.88,10.11,12.64,15.48,16.75,16.94,18.69,18.23,17.05,11.96,8.33,13.72
T2M,1988,8.66,10.15,10.84,11.74,13.25,16.71,20.13,18.55,17.95,15.9,11.25,8.77,13.67
T2M,1989,7.65,6.85,9.98,13.08,13.78,16.4,17.67,17.73,16.51,14.51,12.26,10.55,13.12
T2M,1990,8.81,7.96,10.2,12.99,13.73,16.0,18.62,19.18,18.17,15.84,11.76,7.12,13.4
T2M,1991,8.95,11.46,8.83,10.61,12.41,15.35,18.38,17.74,18.63,17.37,12.32,9.3,13.45
T2M,1992,9.09,11.14,11.85,13.55,16.46,16.81,18.17,19.48,18.19,16.63,12.2,8.48,14.35
T2M,1993,7.92,9.23,11.69,11.77,13.65,16.74,18.05,18.87,18.05,16.03,11.84,8.96,13.59
T2M,1994,9.51,8.73,11.3,11.76,13.78,16.43,18.3,18.66,18.0,14.76,8.9,7.83,13.19
T2M,1995,9.9,11.19,10.61,11.09,13.06,15.17,18.2,18.75,17.68,16.48,13.73,10.54,13.88
T2M,1996,9.87,10.84,11.3,12.57,13.61,16.61,19.3,19.73,17.31,15.08,11.89,10.37,14.05
T2M,1997,9.25,9.76,11.17,11.99,16.8,17.0,18.88,18.68,19.08,15.19,13.33,9.39,14.23
T2M,1998,10.52,9.7,10.51,10.83,11.92,15.31,17.9,20.12,18.17,14.68,10.95,7.78,13.23
T2M,1999,8.58,8.15,8.36,10.56,12.15,15.35,16.75,18.32,18.33,16.18,12.15,9.33,12.87
T2M,2000,9.1,10.02,10.15,12.06,14.08,17.12,17.36,18.01,18.24,14.36,10.01,9.9,13.37
T2M,2001,8.38,8.44,11.43,10.05,16.19,16.8,17.42,17.98,17.25,16.46,11.85,9.02,13.48
T2M,2002,7.78,9.9,9.74,11.45,12.87,16.13,17.72,18.01,18.18,15.26,12.58,10.25,13.33
T2M,2003,11.31,9.7,11.07,9.86,13.12,16.17,18.46,18.31,18.87,16.89,10.3,9.44,13.65
T2M,2004,8.8,9.33,12.68,12.65,14.08,16.39,18.19,18.92,18.59,14.74,11.19,9.69,13.79
T2M,2005,8.72,10.7,11.93,11.1,14.12,14.5,18.68,18.63,16.47,14.84,12.3,10.05,13.52
T2M,2006,9.31,10.05,8.36,11.26,13.84,16.65,19.53,17.75,17.8,15.08,11.67,9.12,13.38
T2M,2007,7.55,9.38,11.52,11.33,13.7,15.69,18.15,18.4,16.99,13.77,12.08,7.76,13.05
T2M,2008,7.49,9.07,9.57,10.46,13.86,16.42,18.3,18.95,17.96,15.53,12.58,8.23,13.21
T2M,2009,9.44,9.08,9.78,11.07,13.7,15.83,17.64,18.47,19.2,14.19,11.08,7.84,13.13
T2M,2010,9.29,10.12,9.9,10.08,11.4,15.28,16.23,16.86,18.2,14.93,10.75,9.29,12.71
T2M,2011,8.78,8.05,9.56,10.2,11.34,14.69,16.72,17.49,18.69,15.8,10.33,8.81,12.57
T2M,2012,9.23,9.02,8.9,11.23,12.95,15.43,16.94,17.75,16.63,15.57,12.52,9.08,12.94
T2M,2013,7.7,8.71,10.28,12.38,14.38,16.54,17.71,17.49,17.36,14.57,12.23,8.96,13.22
T2M,2014,11.37,10.01,11.83,12.37,14.93,16.8,18.34,18.26,18.12,17.44,13.59,11.34,14.56
T2M,2015,10.83,12.59,12.88,11.99,12.87,16.94,18.51,18.52,18.45,17.87,11.23,9.42,14.35
T2M,2016,9.83,11.87,11.61,12.99,14.0,16.58,17.31,16.95,17.77,14.76,12.6,8.38,13.72
T2M,2017,8.34,10.01,11.44,11.59,13.71,16.4,17.88,19.01,19.69,16.42,12.09,10.41,13.94
T2M,2018,10.51,10.05,10.05,11.31,13.14,16.24,18.44,17.69,16.83,15.83,13.39,9.87,13.63
T2M,2019,10.55,8.09,10.28,12.92,12.65,16.84,17.2,19.01,18.39,15.65,13.13,9.94,13.75
T2M,2020,9.51,10.62,9.82,12.26,14.63,17.16,17.18,19.49,19.24,18.31,11.54,9.93,14.15
QV2M,1981,6.53,6.35,6.35,6.9,7.14,7.14,6.71,7.32,7.45,7.02,7.39,7.08,6.96
QV2M,1982,5.43,6.29,6.04,6.35,7.45,7.57,7.45,7.45,7.14,6.96,6.23,6.04,6.71
QV2M,1983,6.41,7.02,7.14,6.35,7.63,8.12,8.06,8.73,8.36,7.63,7.39,7.08,7.51
QV2M,1984,6.23,6.23,6.77,6.23,7.14,6.96,7.02,7.63,6.65,7.39,6.96,5.62,6.71
QV2M,1985,5.43,5.92,5.74,7.08,6.53,7.2,7.08,7.08,7.63,6.53,5.43,5.8,6.47
QV2M,1986,6.9,7.39,7.57,6.65,7.32,7.51,7.14,7.39,7.45,7.02,5.98,5.62,6.96
QV2M,1987,5.55,6.16,6.41,6.96,7.51,6.77,7.45,7.2,7.02,7.26,6.9,5.92,6.77
QV2M,1988,6.16,6.16,6.16,6.53,6.65,7.57,7.32,7.51,6.1,7.08,7.14,5.62,6.65
QV2M,1989,5.49,5.07,6.71,7.45,7.57,7.57,7.26,7.51,7.63,7.08,6.29,5.68,6.77
QV2M,1990,6.04,5.55,6.53,7.26,6.9,7.93,8.3,8.24,8.12,6.29,5.55,4.33,6.77
QV2M,1991,5.19,6.47,6.1,6.35,6.84,7.02,7.93,8.42,7.39,6.53,6.41,5.43,6.65
QV2M,1992,5.98,7.14,7.32,7.81,8.61,8.3,8.48,7.57,7.39,7.87,6.41,5.92,7.39
QV2M,1993,5.74,6.23,7.45,7.08,8.24,8.12,7.63,7.75,6.84,7.45,5.37,5.98,7.02
QV2M,1994,6.16,5.86,6.71,6.96,7.57,6.9,7.08,7.51,8.0,6.77,5.55,5.74,6.77
QV2M,1995,7.2,7.14,6.65,6.84,7.81,8.18,8.67,7.14,8.12,6.29,7.32,7.14,7.39
QV2M,1996,6.65,7.45,6.77,7.32,7.57,7.63,7.69,7.14,7.08,6.84,6.9,7.02,7.2
QV2M,1997,6.47,6.23,6.71,6.9,8.12,7.87,8.0,8.85,8.54,7.32,7.63,5.98,7.39
QV2M,1998,7.45,6.65,6.71,6.71,7.26,8.73,8.67,7.51,8.0,6.47,7.08,5.49,7.26
QV2M,1999,5.92,5.92,5.8,6.23,6.84,7.14,7.08,8.12,6.84,6.35,7.39,5.68,6.59
QV2M,2000,6.53,6.96,6.29,7.08,7.75,7.93,7.81,7.69,7.81,7.2,6.04,5.86,7.08
QV2M,2001,5.37,5.86,7.08,6.23,7.14,6.84,7.57,8.12,7.81,6.96,7.08,6.53,6.9
QV2M,2002,5.8,6.35,6.04,7.02,6.96,7.39,7.75,7.26,7.02,6.23,6.47,6.84,6.77
QV2M,2003,7.63,6.16,6.96,6.47,7.63,8.18,8.06,8.61,7.39,6.84,6.29,6.71,7.26
QV2M,2004,6.41,6.41,7.32,7.08,7.57,7.81,8.61,8.67,7.08,7.2,6.41,6.41,7.26
QV2M,2005,6.16,6.96,7.2,6.71,8.48,8.36,8.91,7.87,6.9,7.02,6.71,6.96,7.39
QV2M,2006,6.53,6.35,5.92,7.2,8.06,8.73,8.42,7.75,6.9,6.35,7.2,5.8,7.08
QV2M,2007,5.31,6.47,6.96,6.77,7.14,7.32,8.67,8.36,7.75,7.2,6.29,5.49,6.96
QV2M,2008,5.74,6.1,6.04,5.98,6.9,6.35,7.57,8.0,7.14,6.59,7.39,5.49,6.59
QV2M,2009,5.62,6.1,6.29,6.35,7.57,7.75,7.51,7.87,7.81,7.45,6.29,5.62,6.84
QV2M,2010,6.65,6.96,6.29,6.29,6.84,8.24,7.87,7.81,7.39,7.32,6.65,6.71,7.08
QV2M,2011,6.04,5.49,6.59,6.35,6.71,8.12,8.3,8.06,7.39,7.93,6.04,4.94,6.84
QV2M,2012,5.62,5.86,5.98,6.96,7.2,7.32,7.75,7.45,7.08,7.32,7.32,6.35,6.84
QV2M,2013,5.49,5.68,6.53,6.84,6.84,7.75,8.06,8.61,8.42,5.55,5.86,4.58,6.71
QV2M,2014,5.13,6.71,7.14,7.26,7.26,7.39,8.24,8.67,9.09,8.18,7.51,7.63,7.51
QV2M,2015,6.84,7.45,7.51,6.84,7.2,8.0,8.85,9.09,7.51,8.42,6.16,6.41,7.51
QV2M,2016,6.9,6.96,7.39,7.39,8.0,7.63,7.63,7.87,7.32,8.18,7.87,5.92,7.45
QV2M,2017,6.04,6.96,7.14,7.14,7.81,8.18,7.63,8.36,8.12,5.92,7.45,5.74,7.2
QV2M,2018,6.96,5.92,6.35,6.9,7.63,7.63,8.0,8.0,7.26,7.45,5.68,6.59,7.02
QV2M,2019,6.96,5.86,6.59,7.93,7.69,8.3,8.24,8.61,8.36,5.43,5.92,7.02,7.26
QV2M,2020,6.65,6.29,6.16,7.08,7.57,7.69,7.51,8.0,8.0,6.23,5.92,5.8,6.9
WS2M,1981,2.55,2.05,2.58,3.05,3.53,3.43,2.77,2.97,2.5,2.0,2.16,2.43,2.67
WS2M,1982,2.23,2.21,2.59,2.73,2.93,2.37,3.1,2.62,2.54,2.05,2.3,2.47,2.52
WS2M,1983,2.61,2.72,2.82,2.58,2.66,3.24,3.22,2.36,1.99,2.17,2.83,2.67,2.66
WS2M,1984,1.7,2.12,2.65,3.02,3.13,3.24,2.27,3.02,2.48,2.36,2.62,2.34,2.58
WS2M,1985,1.7,2.28,2.86,2.33,2.76,2.27,2.11,2.58,1.8,2.28,2.38,1.72,2.26
WS2M,1986,2.1,2.84,2.34,2.87,2.72,2.27,2.55,2.11,2.05,1.77,1.95,1.79,2.27
WS2M,1987,2.25,2.6,2.64,2.21,2.82,2.37,3.05,1.7,2.36,1.52,2.27,2.89,2.39
WS2M,1988,2.23,2.05,2.69,2.13,2.91,2.95,2.62,2.2,2.14,1.79,2.27,2.21,2.35
WS2M,1989,1.85,2.31,2.51,1.68,3.12,2.47,3.52,2.14,1.74,2.14,2.03,1.47,2.25
WS2M,1990,2.59,2.35,2.23,2.47,2.66,2.78,2.04,2.2,2.24,2.32,2.21,2.37,2.38
WS2M,1991,1.77,2.15,3.09,2.75,3.01,2.85,1.9,2.19,1.72,2.16,2.34,2.16,2.34
WS2M,1992,1.88,2.23,2.23,2.47,2.17,2.21,2.12,2.36,2.09,1.73,2.24,2.49,2.19
WS2M,1993,2.53,2.56,2.02,2.45,2.45,3.06,2.62,2.44,2.24,1.77,2.2,2.27,2.38
WS2M,1994,1.9,2.23,2.06,2.59,2.7,3.09,2.2,3.05,1.91,2.33,2.52,2.02,2.38
WS2M,1995,3.27,1.48,2.65,2.76,2.45,2.49,2.12,2.54,2.25,2.09,1.95,2.38,2.38
WS2M,1996,2.35,2.2,2.38,2.26,2.84,3.23,2.06,2.72,2.1,2.38,2.3,2.59,2.45
WS2M,1997,2.25,2.53,2.48,2.69,2.25,3.48,2.58,2.2,2.29,2.22,2.21,2.78,2.49
WS2M,1998,2.55,3.11,2.54,2.59,2.77,2.48,2.52,2.65,2.05,2.29,2.22,2.02,2.48
WS2M,1999,2.09,2.41,2.62,3.07,3.27,3.1,2.59,2.47,1.66,1.77,2.17,2.09,2.45
WS2M,2000,2.28,2.52,2.79,2.3,3.1,2.1,3.06,2.51,1.88,2.2,1.96,1.68,2.37
WS2M,2001,2.28,2.59,2.76,2.86,2.52,3.38,2.25,2.69,1.97,1.8,2.08,2.8,2.49
WS2M,2002,2.26,1.6,2.27,2.34,2.92,3.36,2.19,2.16,1.91,2.01,1.84,2.85,2.31
WS2M,2003,1.66,2.27,2.43,2.55,2.97,2.61,2.63,2.03,2.01,2.37,2.27,2.49,2.36
WS2M,2004,2.3,2.59,2.34,2.29,3.05,3.38,2.08,2.04,2.59,2.08,1.95,1.85,2.38
WS2M,2005,2.17,2.08,2.45,2.59,2.48,2.7,2.14,2.0,2.2,2.09,1.91,2.3,2.26
WS2M,2006,2.23,2.14,2.75,2.4,2.66,2.25,2.41,2.17,2.16,1.69,1.93,2.25,2.25
WS2M,2007,2.12,2.49,2.25,2.88,2.77,2.98,2.36,2.16,2.15,1.99,1.57,2.42,2.34
WS2M,2008,2.49,2.33,2.62,2.73,2.93,3.04,2.58,2.49,1.72,1.9,1.95,2.2,2.41
WS2M,2009,1.77,2.46,2.96,2.91,2.51,2.53,2.4,2.23,2.29,2.47,1.98,1.96,2.37
WS2M,2010,2.29,2.13,2.38,2.8,2.98,3.08,1.95,2.27,2.06,1.96,2.04,2.35,2.36
WS2M,2011,1.88,2.3,2.39,2.77,3.04,2.84,2.37,2.52,1.84,1.67,2.39,1.55,2.3
WS2M,2012,2.06,2.64,2.34,2.45,3.04,2.93,2.56,2.3,1.88,1.8,2.12,2.6,2.39
WS2M,2013,2.15,2.43,2.36,2.66,2.87,2.78,1.94,1.98,2.22,1.93,1.97,1.88,2.26
WS2M,2014,1.49,2.19,2.12,2.23,2.74,2.73,1.87,1.98,1.78,1.87,1.88,2.52,2.12
WS2M,2015,1.57,2.15,1.89,2.65,2.36,2.32,1.91,1.91,2.25,1.84,2.33,2.55,2.14
WS2M,2016,2.52,1.87,2.71,2.36,2.2,2.8,2.52,2.09,2.52,2.12,1.98,2.36,2.34
WS2M,2017,2.46,2.79,2.42,2.5,2.73,2.86,2.73,2.12,2.08,2.03,1.85,1.8,2.36
WS2M,2018,1.97,2.55,2.19,2.41,2.8,3.27,2.34,2.33,2.45,1.81,1.98,2.49,2.38
WS2M,2019,2.52,3.23,2.22,2.55,2.45,2.48,3.12,2.35,2.51,1.89,1.87,2.52,2.47
WS2M,2020,2.24,2.35,1.87,2.59,2.41,2.72,2.5,2.3,1.86,1.62,2.12,2.07,2.22
GWETTOP,1981,0.77,0.88,0.89,0.82,0.66,0.52,0.34,0.25,0.3,0.55,0.77,0.93,0.64
GWETTOP,1982,0.96,0.95,0.94,0.93,0.79,0.6,0.48,0.32,0.37,0.47,0.73,0.91,0.7
GWETTOP,1983,0.93,0.97,0.97,0.92,0.88,0.7,0.54,0.45,0.45,0.43,0.77,0.95,0.74
GWETTOP,1984,0.94,0.91,0.9,0.84,0.7,0.55,0.37,0.25,0.3,0.49,0.79,0.9,0.66
GWETTOP,1985,0.88,0.88,0.87,0.8,0.64,0.5,0.31,0.24,0.46,0.45,0.59,0.81,0.62
GWETTOP,1986,0.87,0.95,0.94,0.87,0.73,0.55,0.39,0.25,0.38,0.52,0.52,0.58,0.62
GWETTOP,1987,0.73,0.84,0.89,0.8,0.63,0.5,0.34,0.24,0.22,0.32,0.59,0.86,0.58
GWETTOP,1988,0.93,0.9,0.83,0.71,0.64,0.55,0.37,0.24,0.21,0.32,0.65,0.77,0.59
GWETTOP,1989,0.84,0.83,0.9,0.86,0.74,0.57,0.45,0.29,0.41,0.58,0.62,0.64,0.64
GWETTOP,1990,0.77,0.84,0.83,0.71,0.65,0.64,0.49,0.32,0.28,0.34,0.49,0.55,0.58
