-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  37.5091   Longitude -120.9876 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 253.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.87,9.65,10.04,13.63,17.23,24.26,24.84,24.32,21.9,14.9,12.41,9.09,16.05
T2M,1982,4.98,8.8,8.62,10.93,16.19,18.8,23.22,23.64,20.37,15.76,9.61,6.93,14.02
T2M,1983,8.1,9.35,9.87,10.33,14.77,19.07,21.85,24.19,22.8,17.68,10.51,8.73,14.8
T2M,1984,7.75,8.58,11.08,12.08,18.78,21.17,26.82,24.34,24.14,14.61,9.82,6.48,15.49
T2M,1985,6.69,8.51,8.71,15.33,16.24,23.85,26.3,22.84,19.08,15.96,9.08,7.72,15.06
T2M,1986,10.55,10.28,12.1,12.02,16.4,21.71,24.07,24.83,18.5,16.51,13.35,8.82,15.8
T2M,1987,6.94,9.25,10.4,15.89,19.08,22.67,21.49,24.32,22.04,19.41,11.12,6.74,15.81
T2M,1988,7.92,10.12,11.95,14.51,16.12,21.52,26.72,24.56,22.19,18.3,11.31,7.65,16.09
T2M,1989,6.49,6.93,11.08,15.4,16.73,21.43,23.45,22.76,19.77,15.87,11.64,8.87,15.08
T2M,1990,7.85,7.23,11.26,15.65,16.79,20.34,25.24,24.14,21.27,18.12,12.04,5.79,15.52
T2M,1991,8.01,12.07,8.65,11.8,15.19,19.48,25.07,22.37,22.96,19.74,12.05,8.52,15.51
T2M,1992,7.62,10.87,11.44,14.82,20.52,21.77,24.08,25.48,22.14,18.87,12.01,7.0,16.4
T2M,1993,7.19,8.27,12.22,12.37,16.65,20.74,23.44,23.78,21.78,18.01,11.33,7.86,15.35
T2M,1994,8.93,7.88,12.02,13.92,16.62,21.37,24.49,24.07,21.61,16.56,8.15,7.11,15.28
T2M,1995,9.07,10.87,9.9,11.54,14.62,18.87,23.58,24.56,21.69,18.8,14.82,9.94,15.72
T2M,1996,8.87,10.27,11.3,13.87,16.79,20.9,26.73,25.53,20.96,16.48,11.78,9.34,16.09
T2M,1997,8.33,8.76,11.63,13.94,20.41,21.26,24.4,24.13,22.98,16.48,13.0,6.98,16.06
T2M,1998,9.16,8.15,10.58,11.38,12.66,17.88,23.69,25.89,22.34,15.96,10.5,5.96,14.55
