-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  40.0982   Longitude -122.1746 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 469.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,7.9,7.63,8.64,12.69,16.23,24.21,27.58,27.47,23.23,13.9,10.3,7.29,15.63
T2M,1982,2.9,7.05,6.75,9.51,16.65,20.26,24.87,25.83,20.77,14.76,7.58,5.1,13.55
T2M,1983,6.77,7.01,7.64,9.05,15.55,19.48,23.1,25.55,22.96,17.15,7.83,6.03,14.06
T2M,1984,6.83,6.76,9.73,10.14,17.05,21.58,28.91,26.15,23.27,12.79,7.23,4.69,14.62
T2M,1985,6.03,6.95,7.03,13.98,16.69,26.07,28.69,25.05,18.44,15.48,6.55,6.76,14.86
T2M,1986,8.8,8.4,11.37,11.47,15.31,22.8,25.63,26.94,18.23,15.82,11.45,7.62,15.37
T2M,1987,4.74,7.4,8.14,14.6,19.51,25.0,24.76,26.9,24.44,20.22,10.09,4.28,15.88
T2M,1988,5.37,9.08,10.22,12.83,15.23,22.09,29.86,27.63,24.2,20.13,8.38,5.3,15.89
T2M,1989,4.33,4.67,8.47,13.65,15.49,22.29,26.25,24.42,20.6,14.7,10.87,8.73,14.59
T2M,1990,6.12,5.32,10.0,14.67,16.19,21.01,27.71,25.94,22.92,18.0,10.5,3.85,15.24
T2M,1991,7.02,10.98,6.22,10.26,13.87,20.32,27.5,24.8,25.42,19.99,11.63,7.36,15.47
T2M,1992,6.4,8.56,10.44,13.71,20.26,22.27,25.54,27.9,23.1,18.34,10.17,3.88,15.9
T2M,1993,3.89,5.71,11.18,11.21,14.81,19.05,24.61,25.29,23.65,17.28,9.8,5.94,14.42
T2M,1994,7.58,5.29,10.67,12.65,17.18,22.75,28.51,26.53,22.9,16.1,5.17,4.51,15.05
T2M,1995,6.54,10.65,7.8,10.58,14.51,18.27,24.05,26.0,23.62,18.83,14.22,7.81,15.26
T2M,1996,6.37,8.44,10.1,12.35,15.3,21.94,28.65,28.33,21.71,16.23,10.89,7.2,15.65
T2M,1997,6.34,7.35,10.65,12.03,20.03,22.59,27.28,25.65,22.83,15.28,10.65,5.34,15.55
T2M,1998,6.81,5.44,8.99,10.54,11.64,17.44,24.68,27.58,24.18,15.2,8.08,4.62,13.82
T2M,1999,6.55,5.44,7.15,10.58,15.76,21.83,25.74,24.93,24.87,19.23,11.27,7.14,15.09
T2M,2000,6.5,7.65,9.5,13.39,16.4,24.24,25.47,26.82,21.87,15.62,7.87,8.13,15.31
T2M,2001,5.8,5.28,11.19,10.49,21.51,24.09,27.26,27.22,24.19,19.15,10.8,5.4,16.11
T2M,2002,4.95,8.22,8.34,12.78,16.57,23.88,29.11,27.04,24.25,17.83,11.94,6.66,16.01
T2M,2003,9.71,7.15,9.9,8.51,15.58,22.74,29.41,25.77,25.67,20.61,8.35,6.15,15.86
T2M,2004,5.79,6.56,13.12,13.55,17.47,24.3,27.99,27.08,23.54,15.93,9.26,7.44,16.04
T2M,2005,6.34,8.69,10.56,11.19,15.89,18.48,29.34,28.29,21.76,16.98,10.94,7.73,15.57
T2M,2006,5.89,7.69,5.12,10.8,17.44,23.48,28.97,26.26,23.69,16.69,9.8,6.4,15.23
T2M,2007,5.28,7.51,11.99,12.96,19.02,24.02,27.56,26.8,21.32,14.44,12.17,4.23,15.65
T2M,2008,3.96,6.51,9.1,11.48,18.47,24.36,28.25,27.83,24.63,17.41,11.92,5.17,15.78
T2M,2009,7.55,6.69,8.61,12.12,18.74,21.8,28.45,26.67,25.12,15.33,9.9,4.88,15.55
T2M,2010,6.98,7.67,8.37,9.31,12.37,20.8,27.68,25.58,23.38,17.24,8.51,6.54,14.58
T2M,2011,6.7,5.38,7.23,10.46,12.94,18.51,24.84,26.48,26.11,16.77,8.69,7.13,14.33
T2M,2012,7.66,7.56,7.77,11.9,17.51,22.25,26.92,28.38,25.58,17.59,11.23,4.72,15.78
T2M,2013,4.52,7.05,10.76,13.65,18.48,24.48,29.37,26.33,22.01,16.14,11.84,7.12,16.03
T2M,2014,10.77,8.79,10.8,13.47,19.08,25.44,29.7,26.58,24.19,18.23,11.36,7.71,17.23
T2M,2015,9.09,11.07,13.11,13.58,17.87,27.29,28.23,26.95,23.76,20.16,8.85,5.44,17.15
