-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  40.6329   Longitude -123.0623 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1018.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,4.03,4.12,4.55,7.87,10.17,16.35,21.48,22.01,17.71,9.93,5.76,3.98,10.7
T2M,1982,-0.1,3.15,2.96,5.36,11.9,15.88,19.41,20.25,15.12,10.26,3.25,1.54,9.12
T2M,1983,2.79,3.11,4.11,4.58,11.72,14.08,17.21,19.95,16.56,12.47,3.93,2.4,9.46
T2M,1984,3.33,2.91,5.58,5.49,10.74,14.55,23.14,20.29,17.62,8.33,3.19,0.53,9.67
T2M,1985,2.59,2.94,2.98,9.78,10.48,18.95,23.04,19.73,13.96,10.67,1.94,3.09,10.06
T2M,1986,3.97,4.9,7.23,7.06,10.9,18.3,20.48,23.03,13.48,11.18,6.44,3.03,10.87
T2M,1987,0.79,3.43,4.03,9.86,13.12,19.25,18.66,22.55,19.45,15.65,5.79,0.83,11.15
T2M,1988,1.38,4.96,5.68,7.99,9.48,15.33,23.16,22.64,18.93,15.49,4.75,1.97,11.01
T2M,1989,1.57,0.1,4.31,9.51,10.58,16.8,19.27,19.73,16.36,10.87,6.55,4.62,10.08
T2M,1990,2.11,1.39,5.81,10.2,10.17,14.37,21.97,20.34,17.45,12.11,5.62,-0.45,10.14
T2M,1991,3.05,5.87,2.44,5.93,8.72,14.09,22.8,20.54,20.87,15.06,7.16,2.16,10.75
T2M,1992,2.47,4.8,7.05,9.12,15.33,17.6,20.43,22.46,17.9,13.33,5.52,0.76,11.42
T2M,1993,-0.1,1.87,7.01,6.39,10.58,13.35,17.65,19.91,18.73,13.01,5.49,2.02,9.71
T2M,1994,3.44,1.86,6.89,7.91,11.65,16.01,23.39,20.71,18.37,11.19,1.18,0.65,10.33
T2M,1995,2.71,6.87,4.48,6.3,11.07,14.2,20.07,20.28,18.54,13.12,9.0,4.15,10.92
T2M,1996,2.92,4.63,5.64,8.05,10.27,16.09,23.81,22.72,16.8,11.26,6.58,4.0,11.09
T2M,1997,2.27,3.61,6.04,7.33,13.9,15.27,21.18,20.79,16.9,10.38,6.37,1.32,10.49
T2M,1998,2.97,1.39,4.73,6.37,7.65,14.76,22.02,23.33,19.48,10.17,4.23,1.03,9.9
T2M,1999,2.59,0.79,2.94,6.15,10.48,15.59,20.37,19.81,19.83,13.92,6.44,2.9,10.21
T2M,2000,2.19,3.42,5.19,9.12,10.47,18.58,20.27,21.68,16.82,11.29,4.09,4.05,10.62
T2M,2001,1.49,1.05,7.03,5.95,15.23,16.69,22.15,22.33,19.26,14.63,6.09,1.58,11.19
T2M,2002,1.75,4.65,4.38,8.71,11.14,18.06,24.33,22.3,19.01,13.37,7.23,2.86,11.52
T2M,2003,6.11,3.93,5.82,4.51,11.18,18.04,23.83,21.32,20.23,14.65,3.72,2.19,11.35
T2M,2004,1.83,2.87,8.97,9.59,11.88,18.05,23.46,21.91,17.69,11.41,5.42,3.38,11.4
T2M,2005,2.1,4.68,6.72,6.75,11.3,12.98,22.73,23.23,17.12,11.94,6.18,3.79,10.84
T2M,2006,2.12,4.28,1.23,7.15,13.24,18.9,24.64,21.87,18.69,12.23,5.4,2.89,11.09
T2M,2007,1.91,3.21,7.54,8.21,12.89,16.95,22.48,21.59,16.82,9.32,7.4,0.55,10.79
T2M,2008,-0.1,2.86,4.19,6.18,12.22,17.1,22.55,21.97,20.01,12.41,7.23,1.58,10.7
T2M,2009,4.21,1.93,4.36,7.3,13.08,16.21,23.36,21.79,19.51,10.46,5.12,1.4,10.79
T2M,2010,2.76,3.8,4.49,5.1,7.84,14.16,22.62,21.05,18.02,12.24,4.12,2.53,9.94
T2M,2011,3.53,1.88,3.06,5.46,8.15,13.86,20.3,21.99,20.88,11.56,3.73,2.75,9.81
T2M,2012,2.93,2.94,2.85,7.33,11.8,14.87,21.32,23.69,20.58,12.96,6.6,1.16,10.78
T2M,2013,0.77,3.08,6.3,8.61,11.76,18.09,24.51,21.13,16.43,11.07,6.55,3.22,11.01
T2M,2014,6.5,4.47,6.52,8.8,12.33,18.11,24.94,22.51,19.21,13.11,6.88,4.44,12.37
T2M,2015,5.58,7.51,8.76,8.27,13.41,21.73,23.26,21.57,18.15,15.3,4.87,1.84,12.55
T2M,2016,2.38,5.8,5.85,9.98,12.84,18.09,22.22,23.71,18.1,9.98,6.11,0.92,11.34
T2M,2017,0.48,3.44,6.06,6.4,12.86,18.15,24.32,25.17,19.05,12.67,5.62,4.01,11.58
T2M,2018,4.08,3.33,4.01,8.15,13.34,17.73,25.05,22.5,17.97,12.53,8.06,2.83,11.69
T2M,2019,4.22,0.28,4.58,10.04,11.84,17.95,21.45,23.08,16.65,10.71,9.44,3.06,11.17
T2M,2020,2.81,4.74,4.51,9.21,12.25,17.44,23.29,23.8,20.06,15.88,6.04,3.34,11.98
QV2M,1981,5.0,4.76,4.82,5.68,6.35,6.16,4.76,4.7,4.82,5.25,5.68,5.37,5.31
QV2M,1982,3.66,4.64,4.46,4.88,6.47,7.08,6.1,5.37,5.0,5.07,4.52,4.46,5.13
QV2M,1983,4.58,5.07,5.37,4.82,7.26,7.08,6.35,6.71,6.59,5.74,5.37,4.94,5.8
QV2M,1984,4.46,4.58,5.07,4.88,6.47,6.41,5.43,5.25,4.64,5.31,4.94,4.03,5.13
QV2M,1985,3.97,4.21,4.27,6.23,5.68,5.98,5.0,4.39,5.43,4.7,4.09,4.09,4.82
QV2M,1986,5.19,5.49,5.8,5.37,6.84,6.65,5.13,4.27,5.31,5.37,4.7,4.39,5.37
QV2M,1987,3.91,4.46,4.76,6.16,6.84,5.62,5.43,4.21,3.91,4.58,5.07,4.21,4.94
QV2M,1988,4.27,4.46,4.58,5.62,5.86,6.96,5.86,4.52,3.66,4.88,5.37,4.21,5.0
QV2M,1989,4.09,3.66,5.25,6.29,6.77,6.9,5.37,5.37,5.0,4.88,4.82,4.27,5.25
QV2M,1990,4.46,4.09,5.13,6.59,5.92,7.39,7.32,6.16,5.43,4.39,4.03,3.05,5.31
QV2M,1991,3.85,5.0,4.52,5.0,5.92,6.41,6.77,5.68,4.39,4.03,5.19,4.15,5.07
QV2M,1992,4.33,5.31,5.62,6.16,7.69,6.96,7.02,5.13,4.82,5.55,4.94,4.09,5.62
QV2M,1993,3.85,4.39,5.98,5.49,7.2,7.57,6.16,5.8,4.33,5.43,3.11,4.27,5.31
