-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  36.1342   Longitude -118.8597 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1091.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,8.08,7.67,7.13,11.33,14.7,23.26,24.99,25.16,21.4,12.18,9.78,7.38,14.46
T2M,1982,3.57,7.19,6.11,9.24,15.29,17.78,23.33,24.31,19.08,13.36,7.34,5.26,12.69
T2M,1983,6.8,6.37,6.49,7.05,14.2,18.69,21.87,23.93,21.97,15.14,7.73,5.23,13.0
T2M,1984,7.01,6.98,9.05,9.61,18.31,20.13,26.73,25.09,23.07,11.36,7.25,3.65,14.05
T2M,1985,4.87,6.37,6.05,13.83,15.37,23.15,26.18,23.11,16.78,14.33,6.48,7.25,13.69
T2M,1986,9.23,7.23,10.18,10.37,15.81,21.95,23.26,25.51,15.97,14.29,10.63,7.3,14.37
T2M,1987,4.63,6.04,7.33,14.85,16.96,22.99,21.59,24.48,21.28,17.65,8.42,3.41,14.17
T2M,1988,5.87,9.15,9.73,11.8,14.65,20.82,26.61,24.78,21.69,18.69,8.06,4.99,14.76
T2M,1989,4.16,4.85,8.83,14.52,14.97,20.78,25.21,22.21,19.62,14.2,11.32,8.88,14.18
T2M,1990,5.73,4.87,9.27,13.22,14.28,20.19,25.33,22.97,20.43,16.77,10.12,3.96,13.98
T2M,1991,5.88,10.68,4.68,9.19,12.15,18.4,25.1,22.9,22.83,17.65,10.21,6.97,13.9
