-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  38.7646   Longitude -121.9018 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 57.4 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,9.76,9.98,11.07,14.65,19.55,26.75,27.7,27.53,24.16,15.97,12.61,9.4,17.47
T2M,1982,4.72,9.32,9.47,11.75,17.95,20.3,25.3,26.58,22.65,16.87,9.93,7.28,15.22
T2M,1983,8.34,9.92,10.41,11.37,16.8,20.44,23.36,25.77,24.33,19.21,10.6,8.81,15.82
T2M,1984,7.83,8.5,11.79,12.58,19.38,23.25,28.79,26.75,25.64,15.51,10.15,6.63,16.43
T2M,1985,6.87,8.96,9.44,15.8,18.32,26.72,29.21,25.39,20.55,17.42,9.61,7.19,16.33
T2M,1986,10.56,10.8,13.52,13.48,16.8,22.73,25.65,26.5,19.78,17.66,13.63,8.85,16.7
T2M,1987,6.96,9.48,10.59,16.69,21.43,25.3,25.5,26.95,24.84,21.39,12.19,6.96,17.4
T2M,1988,7.73,10.34,12.3,15.02,17.65,23.82,30.43,27.36,25.1,20.62,11.4,7.54,17.47
T2M,1989,6.3,6.99,11.31,15.44,18.15,23.6,27.01,24.95,21.49,16.29,12.14,9.37,16.14
T2M,1990,8.15,7.51,12.0,16.65,18.28,22.76,27.92,27.05,24.07,19.84,12.97,6.04,16.99
T2M,1991,8.65,12.94,9.05,12.68,16.64,22.01,26.94,24.87,25.22,21.52,13.76,9.23,16.98
T2M,1992,8.11,10.9,12.58,15.76,21.68,23.34,26.43,28.3,24.22,19.94,12.4,6.88,17.57
T2M,1993,6.73,8.49,13.16,13.33,16.72,21.04,25.41,25.84,24.33,18.96,11.61,7.54,16.14
T2M,1994,8.87,7.97,12.4,14.84,19.15,24.21,27.36,26.73,23.91,17.94,8.13,6.86,16.58
T2M,1995,9.36,11.82,10.12,12.58,16.4,19.54,24.27,26.03,24.09,20.65,16.26,9.91,16.78
T2M,1996,9.16,10.63,12.2,14.4,17.51,23.05,28.23,28.43,23.19,18.51,12.66,9.62,17.33
T2M,1997,8.58,9.38,12.76,14.49,21.67,24.15,27.68,26.2,24.54,17.31,13.08,7.33,17.31
T2M,1998,9.3,8.44,11.21,12.66,13.81,18.71,24.67,27.37,24.65,17.16,10.73,6.23,15.45
T2M,1999,8.01,8.17,9.51,12.83,17.43,22.86,25.34,25.63,24.92,20.35,13.24,8.76,16.47
T2M,2000,8.65,10.12,11.44,14.87,18.11,24.27,25.19,26.84,23.34,17.31,9.73,8.89,16.58
T2M,2001,7.19,8.07,13.31,12.87,23.15,25.55,26.81,26.51,24.1,20.34,13.29,8.02,17.5
T2M,2002,6.54,9.66,10.78,14.44,17.94,23.9,27.56,26.35,25.15,18.73,13.06,9.27,16.98
T2M,2003,10.8,9.07,12.01,11.19,17.65,23.48,29.06,25.92,25.69,21.66,10.54,8.51,17.19
T2M,2004,7.67,8.97,14.63,15.26,19.42,24.73,27.03,26.95,24.96,17.7,11.1,9.01,17.31
T2M,2005,7.44,10.59,12.58,13.35,17.78,20.58,28.6,27.68,21.98,18.4,12.62,9.26,16.79
T2M,2006,8.05,9.25,7.98,12.92,18.55,23.11,27.85,25.33,23.93,17.55,11.99,7.52,16.2
T2M,2007,6.51,9.52,13.56,15.16,19.71,24.26,26.98,26.69,22.22,16.22,12.97,6.83,16.76
T2M,2008,6.25,8.62,11.13,13.5,19.99,24.88,27.72,27.61,24.84,19.05,13.47,6.64,17.0
T2M,2009,8.23,9.01,11.07,14.36,19.98,22.58,27.21,26.57,25.93,17.02,11.49,6.48,16.7
T2M,2010,8.41,9.65,10.4,11.76,14.62,22.54,26.05,24.59,24.6,18.54,10.94,9.08,15.97
T2M,2011,7.26,7.42,9.98,12.71,14.71,19.89,24.46,25.22,26.25,18.21,10.64,7.85,15.43
T2M,2012,8.76,9.78,10.47,14.08,19.19,23.48,26.18,27.68,24.66,19.31,13.12,7.52,17.04
T2M,2013,5.8,8.69,12.98,16.18,20.53,25.46,27.76,25.97,23.08,17.98,13.9,7.37,17.19
T2M,2014,11.01,11.18,13.15,15.89,20.94,25.73,28.33,26.08,24.55,20.45,13.02,10.16,18.42
T2M,2015,9.47,12.32,14.58,15.47,18.32,26.19,27.48,26.44,24.76,22.05,11.05,7.83,18.03
T2M,2016,8.76,11.62,12.62,15.62,19.37,25.05,27.19,26.18,24.32,17.4,12.94,7.32,17.37
