-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2020 
Location: Latitude  39.2547   Longitude -121.3999 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 729.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
WS2M                    MERRA-2 Wind Speed at 2 Meters (m/s) 
GWETTOP                 MERRA-2 Surface Soil Wetness (1) 
GWETPROF                MERRA-2 Profile Soil Moisture (1) 
GWETROOT                MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR             MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,6.91,6.6,7.32,11.4,15.26,22.82,25.2,25.25,21.46,12.4,9.1,6.4,14.22
T2M,1982,1.72,5.9,5.63,8.33,15.04,17.62,22.76,23.58,19.08,13.44,6.72,4.11,12.04
T2M,1983,5.88,5.98,6.44,7.6,14.26,17.27,20.31,23.06,21.08,15.8,6.87,5.14,12.52
T2M,1984,5.86,5.76,8.59,8.89,15.9,19.7,26.41,24.14,21.96,11.57,6.31,3.69,13.26
T2M,1985,4.89,5.65,5.71,12.9,14.87,23.67,26.62,22.86,16.78,14.26,5.89,5.48,13.34
T2M,1986,7.94,7.15,10.09,10.11,14.08,20.41,22.94,24.87,16.36,14.41,10.45,6.47,13.82
T2M,1987,3.72,6.12,7.09,13.74,17.8,22.69,22.29,24.71,22.27,18.24,8.79,3.24,14.26
T2M,1988,4.51,8.31,9.17,11.42,13.76,20.51,27.35,25.35,22.33,18.4,7.3,4.51,14.44
T2M,1989,3.51,3.69,7.54,12.59,14.49,20.67,24.19,22.31,18.96,13.26,9.95,7.87,13.3
T2M,1990,5.12,3.96,8.8,13.4,14.25,19.43,25.25,23.75,21.09,16.6,9.57,3.26,13.76
T2M,1991,5.96,9.87,4.93,9.1,12.57,18.39,25.11,22.74,23.27,18.32,10.43,6.48,13.95
T2M,1992,5.74,7.57,9.05,12.65,18.81,20.37,23.46,25.77,21.27,16.83,9.19,3.14,14.51
T2M,1993,3.27,4.78,9.93,10.08,13.8,17.4,22.31,22.76,21.63,15.95,8.92,5.0,13.04
T2M,1994,6.74,4.37,9.52,11.55,15.54,21.01,25.86,24.65,20.95,14.3,4.3,4.11,13.64
T2M,1995,5.46,9.58,6.61,9.32,12.97,16.78,21.73,23.55,21.49,17.55,13.01,6.8,13.76
T2M,1996,5.76,7.19,8.68,11.35,14.2,20.47,26.58,26.11,20.01,14.56,9.73,6.29,14.26
T2M,1997,5.53,6.3,9.99,10.95,18.62,20.56,24.98,23.64,21.27,13.79,9.6,4.58,14.2
T2M,1998,5.81,4.51,8.05,9.08,10.08,16.12,22.7,25.18,21.58,13.57,6.95,4.01,12.36
T2M,1999,5.67,4.41,6.32,9.27,14.53,19.72,23.21,22.63,22.84,17.8,10.17,6.3,13.62
T2M,2000,5.62,6.38,8.3,11.93,14.99,22.26,23.12,24.54,20.35,14.01,6.83,7.04,13.8
T2M,2001,4.6,4.39,10.25,9.03,20.14,21.94,24.72,24.98,22.15,17.54,9.75,4.26,14.55
T2M,2002,3.89,7.18,7.3,11.4,14.81,21.76,26.4,24.59,22.2,15.85,10.55,5.58,14.33
T2M,2003,8.78,6.16,8.66,7.26,14.51,21.01,26.99,23.73,23.62,19.0,7.05,5.32,14.4
T2M,2004,4.73,5.35,11.88,12.16,15.81,22.0,25.33,24.66,21.45,14.26,7.88,6.16,14.34
T2M,2005,5.28,7.35,9.08,9.94,14.59,17.15,27.03,25.91,19.45,15.35,10.23,6.69,14.06
T2M,2006,5.24,6.73,4.07,9.72,16.03,21.31,26.41,23.78,21.57,14.75,8.63,5.44,13.68
T2M,2007,4.08,6.46,10.64,11.57,17.15,21.55,25.29,24.63,19.09,13.04,10.99,3.56,14.05
T2M,2008,3.17,5.38,8.07,10.13,16.33,22.15,25.79,25.54,22.56,16.16,10.87,4.02,14.2
T2M,2009,6.74,5.6,7.58,10.69,17.39,19.51,25.87,24.43,23.13,13.81,8.96,3.84,14.01
T2M,2010,5.79,6.44,7.26,8.12,11.3,19.08,24.95,22.84,21.46,15.57,7.3,5.6,13.01
T2M,2011,5.64,4.15,6.05,9.27,11.33,17.08,22.6,24.12,23.98,15.23,7.63,5.98,12.8
T2M,2012,6.74,6.23,6.59,10.8,16.09,20.05,24.52,26.47,23.58,15.9,10.18,4.12,14.3
T2M,2013,3.56,5.81,9.93,12.8,16.68,22.46,26.79,23.87,19.91,14.51,10.54,6.01,14.45
T2M,2014,9.66,7.62,9.65,12.41,17.19,22.72,27.06,24.19,22.01,16.98,10.24,6.7,15.58
T2M,2015,8.13,10.19,11.72,12.01,15.28,24.24,25.3,24.48,21.91,18.37,7.29,3.93,15.26
T2M,2016,5.26,9.17,9.18,12.56,15.32,21.55,24.89,25.35,21.47,13.83,9.21,4.73,14.38
